Verkiezing;;Gemeenteraad Alblasserdam 2022;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Alblasserdam;;;;;;;;;;;;;;;;;;;
Nummer;;0482;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;De Damsteen;Stichting De Poort;Zwembad De Blokweer;De Loopplank (IKC De Twijn);Ds. Joannes Beukelmanschool;MFC Maasplein;Sportpark Molenzicht;De Rederij (gemeentehuis);De Havenkerk;De Postduif;De Ontmoetingskerk;De Damsteen;De Loopplank (IKC De Twijn);Sportpark Molenzicht;De Damsteen;De Loopplank (IKC De Twijn);Sportpark Molenzicht
Gebiednummer;;;;;1;3;5;6;7;9;11;12;13;14;15;301;306;311;401;406;411
Postcode;;;;;2951 ED;2951 AK;2951 HL;2951 SC;2951 BZ;2953 CH;2953 BD;2951 ED;2951 CB;2951 XT;2954 PC;2951 ED;2951 SC;2953 BD;2951 ED;2951 SC;2953 BD
;;11;Fiole, N.;11;0;0;1;0;0;1;0;0;0;0;0;3;1;2;3;0;0
;;12;van Duin, G.;48;0;5;10;0;0;5;1;4;3;0;5;6;0;3;2;4;0
;;13;Stehouwer, S.;11;1;0;1;0;0;0;0;3;1;0;0;0;4;0;0;1;0
;;14;Ooms, A.;34;0;3;1;2;3;6;0;5;6;1;0;0;0;0;5;0;2
3;CDA;;;1369;39;119;148;82;29;100;60;122;100;65;106;81;54;45;82;80;57
;;1;de Deugd-Bos, M.;945;29;86;101;59;20;70;35;78;75;38;69;50;43;28;60;64;40
;;2;Strop, A.C.;70;3;3;9;5;2;4;2;10;6;2;5;7;1;4;4;1;2
;;3;Hartsuiker, E.J.;40;2;2;2;3;0;4;11;1;1;2;4;3;1;1;0;1;2
;;4;Ruikes, A.C.C.M.;87;1;14;12;7;3;9;2;4;6;5;6;4;2;1;6;5;0
;;5;van der Rhee, R;43;3;1;11;1;1;6;3;2;5;3;1;0;1;0;4;0;1
;;6;de Kok, J.;43;0;5;2;1;2;2;1;6;1;7;0;4;0;4;2;2;4
;;7;Verloop, H.G.;17;0;4;0;0;0;0;0;2;1;3;1;2;0;0;3;1;0
;;8;de Jong, D.H.E;29;0;1;2;1;1;1;0;4;0;0;5;4;0;2;1;2;5
;;9;van 't Zelfde, A.C.;14;0;1;2;1;0;0;0;1;0;0;0;0;6;2;1;0;0
;;10;Hamer-de Kloe, M.;8;0;0;0;1;0;0;0;4;0;1;0;2;0;0;0;0;0
;;11;Veerman, S. J.;10;0;0;1;0;0;0;1;0;0;2;5;0;0;0;0;0;1
;;12;Wesselius, J.H.;4;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0
