Verkiezing;;Gemeenteraad Gorinchem 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Gorinchem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0512;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stadhuis;De Nieuwe Doelen;Gorcums Museum;De Bazuin;Schoolgebouw De Regenboog;Fortes Lyceum;Sporthal Oosterbliek A;Sporthal Oosterbliek B;Sporthal Oosterbliek C;Buurthuis West;Dorpshuis De Elzenhof;Gemeenschapshuis De Bogerd;Lingewijkgebouw;Gebouw Leger des Heils;Schoolgebouw Anne Frank;Wijkcentrum Rozenobel;Centraal Punt;Schoolgebouw De Rotonde;Schoolgebouw Koelmanschool;Stationshal Gorinchem;Gildenplein;WonenLerenZorggebouw;Brede School Dalemplein;Avres Gorinchem;Woonzorgcentrum Steijndeld;Verpleeghuis Het Gasthuis;Woonzorgcentrum De Schutse;Stadhuis;De Nieuwe Doelen;Dorpshuis De Elzenhof;Gemeenschapshuis De Bogerd;Centraal Punt;Gildenplein;Avres Gorinchem;Stadhuis;De Nieuwe Doelen;Dorpshuis De Elzenhof;Gemeenschapshuis De Bogerd;Centraal Punt;Gildenplein;Avres Gorinchem
;;10;Yildiz, A.;84;1;2;0;1;0;0;1;0;0;1;1;3;0;2;0;4;5;5;16;0;5;18;7;0;0;0;0;6;0;0;0;2;0;0;2;0;0;0;2;0;0
;;11;Klunder, R.;23;1;0;0;1;3;0;0;0;1;0;1;1;3;1;5;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0
;;12;Voultsidis, P.;22;2;2;1;0;1;0;0;0;0;0;0;0;0;0;1;3;1;0;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;6;0;0;1;0;0
;;13;van Boxtel, A.;11;0;1;0;1;0;0;3;0;0;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
;;14;van der Zijden, S.;29;2;1;0;0;0;1;2;1;1;2;2;1;3;2;1;2;0;1;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0
;;15;van Weenen, C.;21;1;0;0;1;2;2;2;0;0;0;1;1;2;2;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0
;;16;Varitis, T.;18;1;2;0;2;0;0;0;1;0;0;2;0;0;0;0;3;2;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
;;17;Wijkamp, A. W. A.;16;0;1;1;1;0;0;1;0;1;1;1;1;3;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
;;18;Tuncer, T.;12;0;0;0;0;0;0;0;0;0;0;0;0;0;9;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;de Vos, L.;38;3;0;0;2;0;1;0;6;2;2;1;2;6;2;0;0;0;0;0;0;0;0;1;2;0;0;0;1;0;0;0;0;0;0;1;0;3;0;0;0;3
;;20;Koops, E.M.;13;1;0;0;0;0;1;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;1;0
;;21;Khan, R.;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Adjei, R. B.;13;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;1;4;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
;;23;Polatli, F.;233;14;8;4;1;3;0;3;5;2;7;8;4;8;18;15;15;9;11;22;0;12;0;5;4;0;1;0;6;5;0;0;8;3;0;3;6;1;2;12;8;0
2;DemocratenGorinchem;;;2194;83;139;110;99;123;62;82;97;62;74;92;66;55;63;59;57;28;93;63;0;57;50;118;46;1;1;1;35;45;18;20;40;13;13;45;49;28;28;37;16;26
;;1;Schefferlie, P.C.J.;444;16;24;11;17;24;15;16;18;9;9;23;20;15;12;16;6;5;25;24;0;16;14;25;10;0;0;1;9;9;0;10;2;1;3;12;5;3;5;4;5;5
;;2;Pellikaan, L.P.W.;356;11;21;18;13;23;10;7;19;13;13;23;11;9;13;10;4;5;14;5;0;4;7;27;11;0;0;0;5;9;8;0;0;1;3;8;11;5;3;6;0;6
;;3;van Willigen, C.;287;7;15;14;7;14;13;21;17;10;11;13;6;8;8;11;3;1;12;8;0;1;10;24;5;0;0;0;3;8;0;3;1;1;1;2;7;7;9;2;0;4
;;4;Versluis, M.;144;5;6;12;15;13;7;4;10;3;3;4;2;3;7;1;0;1;7;2;0;4;4;11;3;0;0;0;2;2;1;0;0;0;0;3;1;0;0;3;2;3
;;5;Koolhoven, A.;86;4;7;4;2;4;2;6;8;3;6;5;2;1;0;0;2;0;1;2;0;0;2;4;3;0;0;0;1;5;0;0;0;0;1;4;2;1;0;0;0;4
;;6;Rosier, M.J.A.;44;1;3;1;0;4;2;2;1;0;1;1;3;3;0;0;2;0;2;1;0;1;1;2;0;0;0;0;2;1;0;3;1;0;0;0;3;1;1;0;0;1
;;7;Boutachkourt, A.;172;8;3;6;5;1;2;4;3;2;1;2;4;2;4;5;10;6;3;5;0;18;3;1;0;0;0;0;2;1;5;0;27;8;2;8;0;1;1;14;2;3
;;8;Chaaby, H.;124;6;6;5;4;1;0;9;2;5;18;4;2;1;1;0;15;4;6;4;0;4;3;1;6;0;0;0;0;0;0;1;4;0;0;2;2;1;1;5;1;0
;;9;de Waard, F.;46;5;6;8;3;1;0;2;0;1;0;2;1;0;0;3;3;0;0;1;0;2;0;0;0;0;0;0;1;2;0;0;0;0;1;0;4;0;0;0;0;0
;;10;van Doesburg, R.P.;158;11;16;16;12;14;5;3;1;7;3;6;2;4;7;2;5;1;8;0;0;2;1;5;1;0;0;0;3;2;2;0;1;0;0;3;5;3;4;2;1;0
;;11;Krielaart, M.A.;27;0;2;3;3;3;0;0;2;0;0;0;0;0;4;0;0;0;0;0;0;2;0;4;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;2;0
;;12;van Rutten, T.D.C.;10;0;0;0;0;2;0;0;2;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
;;13;van Os, M.C.A.;13;0;2;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Tazelaar, R.;43;0;6;1;5;1;1;4;1;0;0;1;2;0;3;2;0;2;1;2;0;0;1;3;0;0;0;0;1;0;0;0;2;0;0;0;1;1;0;1;1;0
;;15;Kyalumba, K.;19;2;0;1;1;1;0;1;1;0;0;0;1;0;0;1;1;2;0;2;0;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Maan e/v van Doesburg, N.;20;0;1;0;0;0;1;0;2;3;0;1;0;0;1;0;1;0;0;1;0;0;0;1;3;0;0;0;0;1;2;0;0;0;0;0;0;2;0;0;0;0
;;17;Sari, I.;18;0;0;1;0;0;0;0;1;1;1;0;0;1;0;1;0;0;7;0;0;0;0;2;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
;;18;Schefferlie, J.J.;21;0;0;0;1;2;0;2;2;1;3;0;0;1;0;1;0;0;0;0;0;0;1;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
;;19;Hopkoper, A.C.;6;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;2;0;0;0;0;0
;;20;Hopkoper, A.;12;0;0;2;0;0;0;0;0;0;2;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0
;;21;Steehouwer, E.;5;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;22;Hollander, A.E.;18;1;0;0;0;3;0;0;1;1;3;0;0;0;1;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;2;0;0;0
;;23;Voss, M.E.I.;10;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0
;;24;Schouwenaar, F.J.;24;3;7;3;1;3;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0
;;25;Klijn, M.C.S.;11;0;3;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0
;;26;Bronkhorst, W.F.N.;6;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Vroegh, D.S.;7;0;1;0;2;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Leverington, H.M.;7;1;1;0;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;van der Jagt, J.;4;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Dirkmaat, B.R.;7;1;0;0;1;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;Peperkamp w/v den Herder, W.E.;15;1;3;0;0;0;0;1;0;2;0;0;0;0;1;1;1;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;32;Kant, J.A.;30;0;4;0;1;2;0;0;3;1;0;0;10;1;0;0;2;0;1;0;0;0;0;0;0;0;0;0;1;1;0;3;0;0;0;0;0;0;0;0;0;0
3;VVD;;;1820;103;72;46;60;92;64;67;64;78;62;125;48;39;70;49;25;18;54;33;1;31;33;149;45;3;0;1;39;34;31;12;11;9;17;74;34;42;12;17;11;45
;;1;van Santen, N.;929;42;31;24;27;56;26;32;41;34;35;72;23;28;26;18;16;8;31;16;0;20;23;78;29;3;0;0;15;8;15;8;5;4;12;34;15;22;8;11;6;27
;;2;Mager, A.;363;25;11;8;10;14;25;14;5;13;9;24;9;5;15;3;3;1;10;7;0;1;4;29;7;0;0;1;15;14;7;2;0;3;2;24;13;14;2;1;5;8
;;3;Houtepen, M.C.;50;2;4;1;1;0;2;2;6;0;0;2;3;1;0;0;0;0;2;3;0;0;0;8;0;0;0;0;0;1;2;0;0;0;1;0;0;2;0;1;0;6
;;4;den Hartog, W.G.;61;6;6;1;1;0;4;2;0;5;4;5;4;0;0;7;0;1;2;0;0;1;1;3;1;0;0;0;0;0;1;0;0;0;0;3;0;1;0;2;0;0
;;5;van 't Westende - de Bijl, T.;45;3;2;0;5;1;1;0;1;4;2;3;2;0;2;1;1;2;1;1;0;0;0;6;0;0;0;0;1;0;0;0;1;1;0;0;2;1;0;1;0;0
;;6;Rottink, G.H.A.;48;3;0;3;3;2;0;1;0;3;3;0;1;2;4;2;0;0;4;4;0;3;0;4;3;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0
;;7;Demir, M.;30;1;1;0;0;3;0;2;0;0;0;0;0;0;3;9;1;0;0;2;1;1;0;2;0;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0
;;8;Veldheer - Vink, M.G.;96;4;2;3;2;3;1;6;7;7;4;6;1;2;4;2;2;4;1;0;0;3;2;14;1;0;0;0;1;0;3;0;5;1;0;0;0;1;0;0;0;4
;;9;Collée, J.;19;2;1;2;1;4;0;0;0;0;1;1;0;0;0;1;0;2;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0
;;10;Verschoor, P.C.A.;41;6;0;0;2;1;0;2;0;1;1;4;1;0;15;1;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0
;;11;Hurkmans, H.F.G.;12;0;1;1;0;0;1;0;2;1;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Voorsluijs, M.C.;27;1;4;0;2;3;0;3;0;0;0;1;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;4;0;0;2;1;0;0
;;13;Duvekot, J.C.;7;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Mulders, N.H.;20;2;2;0;1;0;0;3;0;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;2;0;0;0;0;0
;;15;Snijders - Kroon, I.M.A.B.;18;2;0;1;1;3;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;1;0;0;0;2;1;0;0;0;0;0;0
;;16;de Bruin, E.J.;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Hoeber, G.J.;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;van der Torren - Schulte, B.J.P.;24;0;4;1;2;2;1;0;0;3;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;2;2;2;0;0;0;0;0;1;0;0;0;0;0
;;19;Wientjes, C.J.J.;24;3;1;1;2;0;3;0;2;1;1;2;3;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
4;Partij van de Arbeid (P.v.d.A.);;;1949;83;73;39;53;51;60;53;49;52;54;53;38;37;63;110;134;57;111;124;0;77;45;77;27;0;1;3;30;40;17;15;29;33;12;36;52;23;23;50;51;14
;;1;Oostrum, J.C.;622;28;28;15;29;21;27;29;21;19;15;23;18;17;20;27;24;7;24;18;0;26;24;21;5;0;1;0;15;15;7;9;0;7;5;12;15;12;12;7;14;5
;;2;Hachhouch, M.A.;203;24;8;3;3;2;1;4;4;3;11;2;1;3;1;3;39;25;7;9;0;11;0;12;2;0;0;0;1;3;1;1;4;3;0;3;6;1;0;1;0;1
;;3;de Munnik, F.;24;1;2;0;1;0;1;1;0;4;1;3;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;3;0;0;0;0;0
;;4;Koçak, A.;483;0;4;0;1;3;3;2;3;3;10;1;2;8;20;61;38;18;55;75;0;25;13;14;4;0;0;0;7;3;0;0;24;18;0;6;1;2;4;31;24;0
;;5;de Groot, P.;337;13;20;15;13;17;19;6;14;11;10;17;8;2;12;12;13;3;17;9;0;5;5;17;10;0;0;0;3;13;1;1;1;4;4;7;15;7;3;6;1;3
;;6;Maslić, J.;76;8;2;0;0;1;0;1;1;2;2;1;2;1;3;0;10;2;3;10;0;4;0;2;2;0;0;0;0;1;4;1;0;0;2;2;2;0;1;2;2;2
;;7;de Munnik-Nijp, E.;56;4;3;1;1;3;3;0;2;2;1;1;5;1;1;2;3;0;3;0;0;1;0;6;0;0;0;0;1;2;1;0;0;0;1;0;2;0;0;2;3;1
;;8;van der Wal, R.M.;40;3;3;0;2;1;1;4;0;5;0;1;0;0;0;1;0;0;0;0;0;2;0;2;4;0;0;1;0;0;2;0;0;0;0;1;2;0;1;0;2;2
;;9;IJssels, T.;66;0;3;5;3;2;3;3;3;1;0;3;2;4;4;2;1;0;2;0;0;2;1;1;0;0;0;0;3;2;0;3;0;0;0;2;5;1;2;1;2;0
;;10;van der Velden, A.L.J.M.;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;van Osch, B.T.J.G.;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;12;de Graaf, P.G.B.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;13;Duijnhouwer, F.;31;2;0;0;0;1;2;2;1;2;2;1;0;1;1;2;2;1;0;2;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;2;1;0;0;0;3;0
5;ChristenUnie-SGP;;;1510;55;35;30;29;73;56;61;73;75;72;63;21;27;80;93;57;22;93;68;0;19;39;84;34;1;0;2;19;17;15;12;12;22;17;28;10;15;13;27;15;26
;;1;de Pagter, M.;574;18;21;11;6;27;42;21;21;29;22;18;12;12;21;32;23;11;32;25;0;11;23;38;17;0;0;2;8;6;5;2;3;6;5;8;5;4;4;5;7;11
;;2;Meijer, R.;125;4;1;1;0;5;2;3;9;7;13;1;0;6;8;16;5;2;12;8;0;0;0;7;2;0;0;0;0;2;1;1;1;0;0;0;0;0;0;3;0;5
;;3;Krol, A.;169;3;2;5;8;13;1;5;11;6;17;7;0;0;17;5;11;0;12;7;0;0;2;6;0;0;0;0;3;2;0;1;1;3;5;3;1;0;3;8;0;1
;;4;Barth, F.M.T.;79;5;1;0;4;2;2;2;3;4;5;6;0;4;2;4;1;0;3;3;0;1;4;5;5;0;0;0;2;0;2;1;2;1;2;0;0;2;0;0;0;1
;;5;Ploeg, H.E.;32;2;1;2;0;1;0;4;3;1;2;1;0;1;0;1;2;1;1;0;0;1;0;1;1;0;0;0;0;1;0;0;0;1;0;2;0;0;1;0;0;1
;;6;Molengraaf-Vullers, M.J.;202;8;1;4;8;4;6;8;7;6;3;9;4;3;17;13;7;2;11;12;0;2;7;12;5;1;0;0;2;5;5;2;1;7;1;6;1;2;3;2;1;4
;;7;van der Slikke, H.;20;0;0;0;0;0;0;1;1;1;1;3;0;0;2;1;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0
;;8;de Jong, A.;30;1;2;0;0;1;1;3;0;1;1;1;0;0;3;0;0;0;4;3;0;1;1;1;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;3;0
;;9;Scholtens-de Vries, C.F.;74;3;4;2;1;6;1;9;7;8;0;2;0;0;0;2;2;0;4;4;0;1;0;3;3;0;0;0;2;0;1;0;0;0;3;1;1;0;0;0;2;2
;;10;van Hoorne, L.;18;0;0;0;0;1;0;0;2;1;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4;0;0
;;11;van Willigen, I.;8;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
;;12;Streefkerk, C.M.;65;3;0;0;0;5;1;0;6;8;4;6;2;0;1;3;0;3;6;2;0;1;0;3;0;0;0;0;0;1;0;1;0;0;0;3;1;1;0;3;0;1
;;13;van der Zalm, A.;20;0;0;1;0;1;0;0;0;0;2;5;1;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;1;0;1;4;0;1;0;0;0;0;0;0;0;0
