Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stadskantoor;Stadhuis Burgerzaal;Stadsgehoorzaal;Kerkgebouw De Fontein;Rehobothkerk;CBS Het Visnet;Wooncentrum De Bolder;Johannes Calvijnschool;OBS De Wereldwijzer;Wijkcentrum West;Voormalig schoolgebouw;Pannekoekenhuis 't Hof;GBS Het Christal;Kerkgenootschap Leger des Heils;Bethelkerk;Begraafplaats Emaus;Hotel Restaurant Campanile;Vaartland;Het Zonnehuis;'t Palet Holy;Kerk van de Nazarener;Drieën-Huysen Zuid;Gymzaal Lissabonweg;De Wouthof;Begraafplaats Holy;KBS De Hoeksteen;Gymzaal Kruidenpad;Stadswerf Stemstraat (vanuit de auto stemmen);Stadskantoor 14 maart 2022;Stadsgehoorzaal 14 maart 2022;Voormalig Schoolgebouw 14 maart 2022;Kerkgenootschap Leger des Heils 14 maart 2022;Kerk van de Nazarener 14 maart 2022;Gymzaal Kruidenpad 14 maart 2022;Stadskantoor 15 maart 2022;Stadsgehoorzaal 15 maart 2022;Voormalig Schoolgebouw 15 maart 2022;Kerkgenootschap Leger des Heils 15 maart 2022;Kerk van de Nazarener 15 maart 2022;Gymzaal Kruidenpad 15 maart 2022
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;19;20;21;22;23;25;26;27;28;29;30;1401;1403;1411;1414;1422;1429;1501;1503;1511;1514;1522;1529
Postcode;;;;;3131 VX;3131 CR;3134 BB;3131 HA;3131 LL;3131 PS;3133 BA;3132 JB;3132 EL;3132 AZ;3132 XT;3134 VH;3135 PS;3135 VR;3135 KZ;3135 JC;3135 GP;3136 EA;3136 EA;3136 JB;3136 GZ;3136 CZ;3137 LR;3137 RL;3137 CR;3137 CR;3137 WD;3135 DA;3131 VX;3134 BB;3132 XT;3135 VR;3136 GZ;3137 WD;3131 VX;3134 BB;3132 XT;3135 VR;3136 GZ;3137 WD
;;3;Vuijk, B.;235;11;6;18;7;20;1;8;4;3;14;9;4;8;3;6;6;2;2;4;6;10;2;1;5;9;8;5;0;8;5;0;1;2;2;4;17;2;5;3;4
;;4;van Haren, R.;70;1;0;1;3;0;0;2;2;1;1;0;1;1;0;6;1;0;2;4;5;1;5;1;1;4;8;5;0;1;0;3;0;2;0;0;3;1;4;0;0
;;5;van Vugt, T.;96;6;0;1;2;2;0;4;0;10;5;0;11;2;1;5;4;0;1;2;2;1;0;1;10;3;3;0;0;2;0;0;2;0;0;2;2;5;2;3;2
;;6;Pappers, G.;83;4;1;3;1;9;0;3;1;5;5;0;1;0;2;4;0;1;2;2;4;5;5;4;2;3;0;1;0;1;0;5;5;1;1;0;2;0;0;0;0
;;7;den Breems, J.;65;2;0;6;4;1;2;2;2;0;3;1;0;0;0;1;5;0;2;0;2;3;1;2;3;4;3;1;0;0;3;0;1;1;4;0;5;1;0;0;0
;;8;Pince van der Aa, T.;52;0;1;0;3;0;0;0;1;0;1;0;1;0;0;0;0;1;2;0;5;7;1;7;5;3;2;0;0;0;0;0;1;0;2;0;1;0;0;8;0
;;9;Pappers, M.G.;28;2;0;1;1;2;0;0;0;1;2;0;0;0;0;3;1;1;0;0;1;1;1;0;1;1;4;1;0;0;0;1;0;1;0;0;0;0;0;2;0
;;10;den Boer, J.P.;38;0;0;1;4;2;0;0;0;0;2;4;1;0;1;2;0;0;0;0;2;2;1;2;3;0;0;0;0;1;0;3;3;0;0;0;2;2;0;0;0
;;11;Doruijter, K.G.C.;65;4;3;3;4;3;0;3;2;4;0;0;2;0;0;0;3;5;1;1;4;0;3;0;2;2;0;2;0;3;2;2;0;0;1;2;1;2;1;0;0
;;12;Glimmerveen, R.J.C.;40;10;2;1;0;2;1;1;0;0;2;0;0;2;1;0;0;1;0;0;2;1;1;3;0;1;0;0;0;1;0;1;0;0;0;5;1;0;0;1;0
;;13;den Boer, A.D.;14;1;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1;0;1;1;1;0;1;1;0;0
;;14;Pappas, I.;25;12;0;0;0;0;0;1;0;0;1;2;1;1;0;0;0;0;0;2;1;2;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;15;van der Lugt, R.C.;10;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;1;0;1;0;0;1;0;0
;;16;Scheerlinck, G.;10;1;0;2;0;0;0;0;0;0;0;0;2;0;1;1;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Visser, B.;14;1;0;1;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;3;0;0;0;0;0;0;0;1;0;0;1;0;0
;;18;Louter, J.;36;2;0;1;1;3;0;2;3;1;1;0;0;0;1;3;1;1;0;0;0;2;2;0;2;2;1;1;0;1;0;0;1;0;0;0;1;1;2;0;0
2;SP (Socialistische Partij);;;2311;138;50;128;47;112;69;55;20;79;103;50;57;61;76;83;44;18;25;43;90;53;69;88;112;40;48;59;5;55;35;31;34;33;21;62;66;33;50;50;19
;;1;Hoekstra, A.J.;1458;74;37;65;29;76;43;40;10;59;47;29;33;45;34;49;29;14;16;28;50;35;48;64;76;33;32;35;3;35;19;24;23;28;18;40;37;18;38;34;11
;;2;de Man, W.J.;95;10;2;5;5;4;3;2;2;4;10;0;6;1;5;0;1;1;0;2;3;3;1;7;2;0;0;0;0;6;3;1;1;1;0;2;0;0;0;2;0
;;3;van Beers, M.V.;48;2;0;3;1;0;5;2;0;0;0;0;2;1;0;0;2;0;0;1;0;2;0;1;0;0;9;7;0;1;2;0;0;0;0;1;5;1;0;0;0
;;4;van Beveren, A.A.;313;16;6;22;8;16;9;5;4;8;16;4;13;9;11;17;6;2;4;4;13;6;13;7;20;4;0;0;2;6;6;3;8;1;2;10;9;7;7;5;4
;;5;Kuijs, R;15;4;0;2;0;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;6;Hoogervorst, F;21;1;0;4;0;1;1;0;0;0;1;4;0;0;1;3;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
;;7;Nadir, K.O.;116;12;2;13;3;4;2;0;1;2;5;5;0;2;12;3;0;1;3;2;11;2;0;2;5;0;0;8;0;2;2;0;0;0;0;1;8;1;2;0;0
;;8;Stolk, J.T.;16;0;0;2;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;2;1;0;1;2;0;0;0;0;0;0;0;0;2;0;1;1;0
;;9;Warnaar, J.B.;38;2;3;2;0;5;0;0;0;0;8;1;0;0;0;0;0;0;0;2;0;0;0;0;1;2;0;3;0;1;3;0;1;0;1;1;1;1;0;0;0
;;10;Geelhoed, W;50;1;0;4;0;0;4;1;0;1;2;1;0;3;3;2;2;0;0;1;4;2;5;1;4;0;3;0;0;0;0;1;0;0;0;2;1;1;0;0;1
