Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stadskantoor;Stadhuis Burgerzaal;Stadsgehoorzaal;Kerkgebouw De Fontein;Rehobothkerk;CBS Het Visnet;Wooncentrum De Bolder;Johannes Calvijnschool;OBS De Wereldwijzer;Wijkcentrum West;Voormalig schoolgebouw;Pannekoekenhuis 't Hof;GBS Het Christal;Kerkgenootschap Leger des Heils;Bethelkerk;Begraafplaats Emaus;Hotel Restaurant Campanile;Vaartland;Het Zonnehuis;'t Palet Holy;Kerk van de Nazarener;Drieën-Huysen Zuid;Gymzaal Lissabonweg;De Wouthof;Begraafplaats Holy;KBS De Hoeksteen;Gymzaal Kruidenpad;Stadswerf Stemstraat (vanuit de auto stemmen);Stadskantoor 14 maart 2022;Stadsgehoorzaal 14 maart 2022;Voormalig Schoolgebouw 14 maart 2022;Kerkgenootschap Leger des Heils 14 maart 2022;Kerk van de Nazarener 14 maart 2022;Gymzaal Kruidenpad 14 maart 2022;Stadskantoor 15 maart 2022;Stadsgehoorzaal 15 maart 2022;Voormalig Schoolgebouw 15 maart 2022;Kerkgenootschap Leger des Heils 15 maart 2022;Kerk van de Nazarener 15 maart 2022;Gymzaal Kruidenpad 15 maart 2022
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;19;20;21;22;23;25;26;27;28;29;30;1401;1403;1411;1414;1422;1429;1501;1503;1511;1514;1522;1529
Postcode;;;;;3131 VX;3131 CR;3134 BB;3131 HA;3131 LL;3131 PS;3133 BA;3132 JB;3132 EL;3132 AZ;3132 XT;3134 VH;3135 PS;3135 VR;3135 KZ;3135 JC;3135 GP;3136 EA;3136 EA;3136 JB;3136 GZ;3136 CZ;3137 LR;3137 RL;3137 CR;3137 CR;3137 WD;3135 DA;3131 VX;3134 BB;3132 XT;3135 VR;3136 GZ;3137 WD;3131 VX;3134 BB;3132 XT;3135 VR;3136 GZ;3137 WD
;;28;Robberegt, J.L.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
;;29;de Leede, A.F.;15;1;0;0;0;1;0;0;0;0;0;0;0;0;1;5;1;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;1;0;1
5;CDA;;;2108;53;30;86;33;93;29;32;22;38;43;31;51;31;55;199;78;28;80;36;72;33;87;54;44;109;136;74;4;43;21;8;43;43;49;43;38;17;54;46;42
;;1;Thommis-Visser, M.M.;1015;18;12;34;10;38;7;13;16;24;21;15;17;11;28;78;31;11;35;22;32;23;50;44;27;71;85;35;2;16;7;4;24;15;31;14;21;3;23;21;26
;;2;Silos-Knaap, J.J.;421;21;14;17;8;16;17;10;4;5;14;9;9;8;11;32;19;8;10;2;19;4;7;6;4;19;23;13;1;10;6;3;6;11;6;17;10;4;9;6;3
;;3;Veugelers, R.J.G.;110;0;0;10;1;6;1;1;0;1;0;3;8;2;1;13;6;0;8;1;1;1;7;0;1;5;2;4;0;1;4;0;3;1;2;0;6;1;1;5;3
;;4;Venema, C.T.;39;1;0;0;4;0;0;0;0;0;0;2;1;2;3;3;0;0;0;0;4;1;2;0;1;1;2;1;0;0;0;0;0;1;1;0;0;1;6;0;2
;;5;Stevens, C.M.A.;50;5;2;2;1;6;1;2;0;0;0;0;1;2;0;6;0;0;0;2;0;0;1;0;1;0;2;1;0;2;1;0;0;3;2;2;1;0;2;1;1
;;6;Meerman, R.;39;0;0;1;2;1;0;1;1;0;1;0;0;0;2;8;4;1;1;0;0;0;2;0;0;1;2;0;1;0;1;0;1;3;0;1;0;2;2;0;0
;;7;de Wilt, W.H.;10;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;1;0;2;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
;;8;Keizerwaard, A.;74;0;0;1;2;5;1;1;0;1;0;1;0;3;1;12;1;2;3;0;2;1;2;0;2;3;3;1;0;3;0;0;4;2;4;2;0;1;5;4;1
;;9;Oosterom-Jumelet, C.;27;1;0;3;0;1;0;0;0;0;0;1;2;1;1;4;3;4;1;0;2;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
;;10;van der Sar, J.;29;0;0;0;0;1;0;0;0;1;1;0;1;0;2;1;0;1;1;1;0;0;3;0;1;2;2;0;0;1;0;0;2;0;0;2;0;2;0;2;2
;;11;van Meel-Beverwijk, L.;12;2;2;0;0;0;0;0;0;2;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2
;;12;van Bree-Kreeft, W.C.;118;2;0;9;3;5;0;3;0;2;1;0;5;2;4;24;9;0;8;2;2;1;5;1;2;1;8;6;0;2;1;0;1;1;1;0;0;0;3;3;1
;;13;van Rijn, P.J.;11;0;0;3;0;1;0;0;0;2;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;14;van der Sar-Troost, C.C.;9;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;15;Baris-Hoogerwerf, W.C.;22;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;3;2;0;2;0;0;3;1;2;0;0;0;0;0;1;2;0;0;1;2;0;0
;;16;van Tienhoven, H.;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;6;0;0;0;0;0;1;0;0;0;0;0;0;0
;;17;de Snaijer, L.;23;1;0;1;0;0;0;0;0;0;0;0;3;0;0;1;0;0;9;0;2;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;2;0;0;1
;;18;Wapenaar, E.J.;13;0;0;2;0;0;0;0;0;0;0;0;0;0;0;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
;;19;Dijkshoorn, T.P.;22;0;0;0;0;6;0;1;0;0;4;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;5;0;1;0;1;0;1;0;0;0;0;0
;;20;de Koning, A.B.M.;14;1;0;0;2;2;0;0;0;0;0;0;1;0;0;1;0;0;0;2;0;1;0;0;0;0;0;1;0;2;0;0;0;1;0;0;0;0;0;0;0
;;21;Brobbel, A.;32;0;0;1;0;4;0;0;0;0;0;0;0;0;2;4;0;0;3;0;2;0;2;0;1;0;3;4;0;0;0;0;2;0;0;1;0;0;0;3;0
;;22;Anderson, J.;7;0;0;0;0;1;1;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;VV2000/Leefbaar Vlaardingen;;;2269;102;23;95;44;147;39;27;30;93;51;80;64;52;67;115;57;43;49;40;71;64;67;64;105;68;112;77;10;43;15;23;29;38;29;48;35;44;35;41;33
;;1;Somers-Gardenier, I.M.;1401;72;12;48;19;87;27;20;20;61;35;57;36;27;35;65;41;33;34;20;38;40;40;50;55;46;76;51;2;26;10;15;22;24;19;25;15;27;24;27;20
;;2;Molenaar, A.M.;372;10;7;18;11;23;8;0;2;7;6;5;6;9;13;27;9;5;6;11;15;10;18;8;18;10;21;15;5;6;3;3;4;8;6;14;8;3;4;5;5
;;3;Njegovan, N.;37;3;0;2;4;1;0;1;0;4;0;3;2;0;1;2;1;0;0;1;1;1;1;0;1;1;1;0;0;2;0;0;0;0;1;1;1;0;1;0;0
;;4;Elvers, H.;81;2;1;2;4;10;1;0;0;2;0;0;0;2;2;6;1;0;0;3;4;3;2;2;18;4;4;2;0;1;0;0;0;0;0;1;0;1;0;0;3
;;5;Vastbinder, R.L.H.;105;3;0;11;1;9;0;2;2;3;5;1;10;2;3;3;0;2;1;0;3;6;1;0;3;1;1;2;1;4;0;0;0;4;3;4;2;5;4;3;0
;;6;Willemse-Meulendijk, N.;68;4;2;8;1;5;2;2;1;2;1;2;1;0;2;1;2;0;2;3;2;2;0;2;2;0;1;3;0;0;2;1;1;1;0;1;7;2;0;0;0
;;7;Don, A.;48;2;0;2;1;5;0;0;1;2;0;2;1;3;3;4;0;0;2;0;4;0;3;1;2;0;3;0;0;2;0;0;1;0;0;0;0;1;0;1;2
;;8;van der Windt, R.;79;2;0;2;0;6;0;0;2;7;2;7;3;3;3;3;2;2;1;1;2;1;1;1;4;3;4;0;2;2;0;3;0;1;0;1;1;5;2;0;0
;;9;Hameetman, E.;40;2;0;0;1;0;0;2;2;1;0;0;4;6;1;3;1;1;1;0;1;1;0;0;2;2;1;2;0;0;0;1;1;0;0;0;0;0;0;4;0
;;10;Jansen-Njegovan, S.;38;2;1;2;2;1;1;0;0;4;2;3;1;0;4;1;0;0;2;1;1;0;1;0;0;1;0;2;0;0;0;0;0;0;0;1;1;0;0;1;3
7;Beter voor Vlaardingen;;;1011;51;24;38;29;59;32;20;12;35;35;16;12;17;33;56;28;26;17;14;34;23;26;22;34;37;41;28;6;29;12;7;17;18;11;27;13;18;21;20;13
;;1;van Unen, M. M.;599;35;11;28;19;42;9;17;5;14;19;10;8;14;16;34;20;21;8;6;17;14;11;15;21;21;34;17;2;9;9;1;10;10;7;19;13;8;5;16;4
;;2;Huis in 't Veld, C.;98;1;2;4;2;7;2;1;0;0;2;0;2;1;6;8;4;3;1;2;6;3;6;3;7;6;2;3;0;1;0;0;2;1;0;1;0;2;2;1;4
;;3;Huf, J. P. W.;79;7;4;1;2;4;20;0;2;0;4;2;1;1;1;2;0;0;1;1;1;0;2;1;0;4;1;1;1;5;2;1;0;1;0;3;0;0;1;0;2
;;4;Danse, R.;24;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;3;1;0;0;1;1;1;0;4;0;0;2;0;3;0;0;1;0;0;1
;;5;Goossens, E. F. J.;26;3;2;0;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;4;0;2;0;1;0;0;0;0;5;0;0;0;0;0;2;0;1;1;0;0
;;6;Vervoort, R. F. L.;185;3;5;5;3;6;0;2;5;21;10;4;1;1;9;11;3;2;6;5;5;3;4;3;5;5;3;6;3;5;1;5;3;6;1;2;0;6;12;3;2
8;D66;;;1572;53;40;113;14;35;25;17;14;32;25;23;68;28;55;145;57;10;44;27;49;25;47;38;35;61;106;54;4;22;42;12;22;21;21;40;42;10;33;26;37
;;1;Kegel, K.;722;20;13;47;6;18;8;8;4;13;14;11;28;10;16;69;21;5;24;13;22;11;30;23;19;30;57;25;0;8;17;7;14;10;10;17;19;1;21;12;21
;;2;Rots, M.J.F.;394;15;14;29;6;10;8;5;3;9;5;8;17;10;15;41;14;2;9;7;13;7;8;10;7;17;14;16;1;6;8;2;4;4;4;11;13;2;6;3;11
;;3;Vleeschhouwer, T.;37;1;0;0;0;1;1;0;0;4;0;0;0;1;7;1;3;0;2;2;0;0;1;0;1;2;0;1;1;0;0;0;0;2;0;2;3;0;0;1;0
;;4;van Nieuwenhuizen, L.A.;45;3;0;2;1;0;0;0;0;0;1;0;1;2;2;1;4;1;1;2;1;0;3;1;4;1;3;1;0;3;0;0;0;1;0;0;1;0;2;3;0
;;5;Stuurman, S.P.;70;2;8;3;1;0;1;2;0;0;0;0;5;0;2;3;1;0;1;0;3;0;2;0;2;1;10;4;1;1;3;0;0;1;1;5;2;2;2;0;1
;;6;Caljé, P.A.;13;1;0;2;0;1;0;0;0;1;0;0;1;0;0;2;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0
;;7;Lancel, S.;56;1;1;5;0;2;1;0;0;1;0;0;4;1;3;9;4;2;1;0;1;1;2;0;0;3;1;1;0;2;2;0;1;0;2;1;1;0;1;2;0
;;8;Geurts, A.A.W.;11;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;2;2;0;1;0;0;0;0;0;1;0;0;0;1;0
;;9;de Jong, G.;47;1;1;10;0;1;0;0;3;2;1;4;1;0;2;4;4;0;0;0;0;0;0;0;1;2;0;1;0;1;0;0;1;1;2;1;1;1;1;0;0
;;10;Molijn, S.V.;38;2;1;3;0;0;2;1;1;0;1;0;4;1;1;6;1;0;2;2;1;1;0;2;0;0;4;0;0;0;1;1;0;0;0;0;0;0;0;0;0
;;11;Borgers, H.C.;16;1;0;0;0;0;0;0;1;0;0;0;1;0;0;2;0;0;2;0;2;2;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;2;0;0;0
;;12;Isendoorn, R.;16;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;1;0;0;0;2;0;0;0;0;2;5;0;0;0;0;0;0;0;0;0;0;0;0;3;0
;;13;Akerboom-Griffioen, A.;74;3;1;9;0;2;3;1;0;1;1;0;6;3;2;6;3;0;1;1;3;0;0;1;1;0;9;2;0;0;6;2;0;2;0;1;0;0;0;1;3
;;14;Aalbers, H.;7;2;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
;;15;Marseille, P.;13;0;0;2;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;1;2;1;0;0;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0
;;16;van der Steen, T.W.;13;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;2;0;2;0;0;1;0;0;1
9;Partij van de Arbeid (P.v.d.A.);;;1502;76;28;59;30;52;27;18;23;47;28;15;37;32;42;94;38;16;47;33;60;32;68;54;46;56;58;39;4;32;22;13;25;33;18;39;41;27;30;35;28
;;1;Solleveld, S.D.;1058;55;20;42;21;35;19;15;12;37;22;11;26;21;33;63;25;12;31;23;37;25;42;38;37;32;43;29;1;20;16;9;17;22;14;28;31;22;24;28;20
;;2;Ottervanger, M.;131;5;5;4;5;2;3;1;6;1;1;0;0;4;1;17;4;1;1;2;4;4;9;4;6;7;6;0;2;3;3;1;1;0;2;3;3;4;1;4;1
;;3;van Rij, J.;102;3;0;4;1;4;0;0;1;2;1;3;0;3;5;3;4;0;6;2;9;1;7;5;0;8;5;2;0;1;0;2;3;9;2;0;1;0;2;1;2
;;4;Versteeg, N.;51;2;1;5;1;0;1;0;2;1;1;0;3;3;0;3;1;0;2;1;2;1;2;1;0;0;0;1;1;3;2;0;3;0;0;2;1;1;1;0;3
;;5;van den Ende, E.Ph.;12;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;1;0;0;2;1;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;6;Boesenkool, J.M.;10;0;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0
;;7;de Palm-Kreeft, J.M.;18;1;0;0;0;2;2;0;0;3;0;0;0;1;0;2;0;0;0;0;1;0;1;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1
;;8;van der Vlugt, C.J.;11;0;2;1;0;0;0;0;0;1;0;0;0;0;0;2;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;9;de Bruin, F.;71;5;0;0;2;4;0;1;2;2;3;0;7;0;3;4;1;1;7;2;4;0;4;0;2;2;2;2;0;1;0;1;0;1;0;3;3;0;1;0;1
;;10;Meijer, W.M.;15;3;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;1;0;1;0;2;0;1;0;0;0;1;0;1;0;0;0;0;0
;;11;Alberts, G.J.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Versluys, J.;21;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;3;1;1;2;1;0;1;0;0;0;0;0;1;2;0;1;1;0
10;ChristenUnie-SGP;;;1523;60;12;46;42;145;25;22;66;46;20;50;41;48;28;89;32;10;26;32;61;35;58;24;62;49;39;38;3;32;17;32;28;27;17;34;20;39;19;29;20
;;1;de Reus, W.T.;597;12;3;17;16;35;11;9;28;24;10;21;10;27;16;39;14;3;10;16;24;13;26;7;27;18;18;14;2;11;8;14;14;18;5;9;8;10;6;18;6
;;2;van Pienbroek, D.C.;385;26;2;11;13;62;2;11;20;11;3;15;10;1;2;15;9;1;1;4;14;7;15;3;14;12;7;5;1;9;1;9;5;4;8;17;2;15;6;7;5
;;3;Heijndijk-van der Veer, E.E.;242;15;3;7;5;13;7;0;5;2;0;5;8;2;4;16;6;4;10;6;11;10;9;9;11;8;9;13;0;3;1;6;6;1;4;4;3;4;5;2;5
;;4;Hoogenboom, M.;27;2;0;1;0;5;0;0;4;2;1;0;0;0;1;0;0;0;1;0;2;1;0;0;1;1;0;0;0;1;0;0;1;0;0;0;1;1;0;0;1
;;5;Zijlmans, J.M.;44;1;0;0;1;3;2;0;2;4;1;1;2;6;0;1;2;0;2;0;1;0;2;0;1;0;1;1;0;0;3;0;0;2;0;0;1;4;0;0;0
;;6;den Hollander, P.J.A.;20;1;0;0;0;5;0;0;1;0;0;1;3;1;0;0;0;0;0;1;1;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1
;;7;van Harten, R.;22;1;0;1;1;2;0;0;0;1;0;0;0;2;1;0;0;0;0;2;2;2;1;0;0;2;1;0;0;2;0;0;0;0;0;0;0;0;1;0;0
;;8;Alderliesten, C.A.;13;0;1;0;0;1;1;0;0;0;2;2;0;0;0;1;0;0;0;0;2;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;9;Vermaat, C.W.;22;0;1;1;0;0;0;1;0;0;0;1;0;1;0;8;0;0;0;0;1;0;1;0;0;0;2;2;0;0;0;0;0;0;0;1;1;0;0;1;0
;;10;Anker, W.;14;1;0;0;0;4;0;1;3;0;0;0;0;0;0;2;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;11;Verkuil, H.J.;16;0;0;1;3;0;0;0;0;1;1;1;0;2;0;0;0;0;2;0;0;1;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Peters, P.;21;0;0;1;0;5;0;0;1;1;0;0;1;1;0;1;1;0;0;0;2;0;2;2;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0
;;13;de Bruijne, M.L.;19;0;1;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;4;0;0;1;0;2;1;0;0;1;0;1;0;0;0;1;2
;;14;den Hollander, A.J.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;15;van Delft, L.;13;0;1;0;0;4;0;0;1;0;0;0;0;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
;;16;Poot, J.W.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Kooiman-Ploegman, E.H.;17;0;0;3;1;0;1;0;0;0;2;2;0;0;2;1;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;18;van Leeuwen, J.;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Verkade, J.P.;23;0;0;1;0;3;0;0;1;0;0;0;1;3;0;1;0;0;0;3;0;0;0;0;1;1;0;0;0;2;0;2;0;0;0;0;1;3;0;0;0
;;20;den Hollander, M.;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;21;de Jonge, C.A.E.;21;0;0;2;0;2;1;0;0;0;0;0;6;0;0;2;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;1;0;0;0;3;0;0;0;0
11;Algemeen Ouderen Verbond (AOV);;;1425;29;14;32;23;65;19;54;31;44;52;14;13;22;32;48;28;22;43;33;65;49;55;65;82;50;38;23;4;22;18;11;38;43;27;38;22;25;24;63;45
;;1;Kloosterman, A.;827;14;5;19;14;36;8;37;19;26;28;8;12;17;13;22;21;10;21;21;34;24;36;46;50;23;23;13;4;15;8;8;23;24;17;28;11;17;13;34;25
;;2;de Jong, D;405;10;8;8;8;23;9;7;9;16;15;5;1;3;9;21;4;6;15;8;20;20;13;15;20;13;9;6;0;5;8;2;10;16;8;4;7;5;8;16;15
;;3;Jonkers, A.;27;0;0;1;0;1;0;1;0;0;2;0;0;1;4;2;0;0;0;1;3;0;1;0;1;1;2;0;0;1;1;0;0;0;0;0;1;1;0;2;0
;;4;Koning-van der Hoeven, D.;63;1;0;0;1;3;0;2;0;0;2;1;0;0;2;2;2;3;3;1;2;1;4;0;4;8;2;2;0;0;1;1;1;0;1;2;2;0;3;4;2
;;5;van der Kruit, H.;12;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;2;1;1;0;0;0;0;0;1;0;0;0;0;1;0;1;1
;;6;Jonkers, J.;23;1;1;0;0;1;1;0;0;1;1;0;0;0;0;0;0;1;1;2;2;0;0;2;0;1;0;0;0;0;0;0;2;2;1;1;0;0;0;1;1
;;7;Kloosterman, Y.M.;12;0;0;1;0;0;0;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
;;8;Berkel-Opgelder, E.E.;13;0;0;0;0;0;0;1;0;0;2;0;0;0;1;1;0;0;0;0;2;2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0
;;9;De Smet, E.;11;0;0;1;0;0;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;0;1;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0
;;10;van Leeuwen, A.W.M.;11;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;2;0;0;0;0;0;0;1;1;0;0;0;0;0;2;0
;;11;Molenaar, G.N.;21;2;0;2;0;0;1;3;2;0;0;0;0;0;0;0;1;0;1;0;1;2;0;0;1;1;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0
12;StadsBelangen Vlaardingen;;;720;20;16;43;20;41;11;5;13;17;20;15;12;17;19;47;23;15;29;5;15;11;29;5;20;23;29;37;6;20;16;3;6;15;7;23;20;21;4;12;10
;;1;Müller e.v. Kalf, V.E.M.;236;7;2;10;11;13;2;2;9;5;9;5;1;5;6;9;4;9;17;2;4;8;7;1;9;10;11;11;1;4;5;0;4;3;4;6;4;7;2;4;3
;;2;van der Bie, J.;121;4;2;7;1;8;1;1;0;0;2;2;1;0;6;13;8;3;2;0;1;2;1;3;5;2;4;6;3;4;4;0;0;4;1;5;8;2;0;2;3
;;3;van Heijst, C.;96;4;2;2;1;8;6;0;1;5;2;1;0;2;3;10;4;1;2;0;3;1;8;0;0;3;3;1;0;3;0;1;1;2;0;7;1;6;0;0;2
;;4;Brederode, H.M.;25;0;0;2;0;0;1;0;0;1;2;0;0;0;1;3;1;0;1;0;0;0;5;0;0;2;3;0;1;0;0;0;0;1;0;1;0;0;0;0;0
;;5;van Rutten, B.J.;120;3;2;13;5;1;1;0;1;3;2;1;7;5;2;2;2;1;5;0;6;0;6;0;1;0;1;16;1;6;6;0;0;3;1;2;4;2;2;6;1
;;6;Verkouter, R.;36;0;3;0;1;1;0;0;1;0;3;0;2;3;0;7;0;1;1;2;0;0;1;0;0;2;1;2;0;1;1;0;0;0;0;0;1;2;0;0;0
;;7;van Dooremalen, R.N.;43;1;0;8;0;8;0;2;0;3;0;2;1;1;1;0;2;0;0;0;0;0;0;0;0;1;1;1;0;1;0;1;0;2;1;2;2;2;0;0;0
;;8;Assenberg, A.;43;1;5;1;1;2;0;0;1;0;0;4;0;1;0;3;2;0;1;1;1;0;1;1;5;3;5;0;0;1;0;1;1;0;0;0;0;0;0;0;1
13;Blanco (Gerritsen, D);;;207;17;6;11;14;8;13;2;3;5;13;4;4;1;6;13;6;4;0;2;5;3;3;3;11;9;11;6;0;6;2;2;0;3;2;3;1;1;3;1;0
;;1;Gerritsen, D;196;17;6;10;12;8;13;2;2;5;9;3;4;1;6;13;5;4;0;2;5;3;3;3;11;9;11;6;0;6;2;2;0;2;2;3;1;1;3;1;0
;;2;Klepper, J;11;0;0;1;2;0;0;0;1;0;4;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
14;Onafhankelijk Sociaal Vlaardingen;;;182;3;3;13;10;5;4;1;0;9;14;10;3;4;2;6;3;4;6;11;7;7;7;1;6;0;3;5;0;2;2;1;3;1;4;4;8;0;6;3;1
;;1;Wijker, I.E.;113;3;2;8;9;4;3;1;0;2;10;6;3;4;2;4;3;4;2;2;5;3;2;1;4;0;3;4;0;2;1;1;3;0;3;2;2;0;3;2;0
;;2;van der Velde, J;16;0;1;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;2;0;1
;;3;Kerkhof, M;24;0;0;0;1;0;0;0;0;1;2;2;0;0;0;0;0;0;0;9;1;0;1;0;1;0;0;0;0;0;1;0;0;1;1;2;0;0;1;0;0
;;4;Löke, J;19;0;0;4;0;1;1;0;0;1;0;1;0;0;0;1;0;0;2;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;1;0
;;5;van Marsbergen, A.A.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;6;Toering, E;5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;7;Groenendijk, J.M.;5;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;DENK;;;1110;69;23;32;24;48;46;6;9;58;180;43;8;42;65;3;9;39;2;13;77;42;0;17;25;0;2;14;4;10;6;11;12;17;0;49;14;33;32;18;8
;;1;Kaplan, A.S.B.;236;13;7;12;8;6;12;0;0;20;30;5;0;10;16;0;0;16;0;4;14;17;0;4;5;0;0;2;0;2;1;2;3;3;0;11;1;2;9;1;0
;;2;Rozenblad, D.L.;102;13;4;3;2;3;7;3;0;10;3;3;0;5;7;3;2;2;0;6;9;7;0;0;1;0;0;0;0;0;1;0;0;0;0;5;0;0;0;2;1
;;3;Kul, M.S.;27;1;2;0;3;5;3;0;0;2;1;1;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;4;0;0;0;0;0
;;4;Akça, S.;544;23;4;13;11;27;22;0;7;18;127;32;5;23;38;0;2;14;2;1;27;8;0;1;15;0;2;9;0;4;3;7;8;6;0;20;13;25;14;10;3
;;5;King, M.R.;27;2;0;0;0;2;0;0;0;0;5;0;3;0;1;0;0;0;0;0;0;8;0;0;0;0;0;0;1;3;0;0;0;0;0;1;0;1;0;0;0
