Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;De Drie Lelies;Sporthal Kees Verkerk;'t Huys te Hoecke;'t Weegje;Evangelische Kerk Ezra;V.V. 's-Gravendeel;Ons Gebouw;De Erve;De Tienvoet;Gymzaal Westmaas;Dorpshart;TC De Binnenmaas;Ontmoetingscentrum;Sportzaal Duyvesteyn;Gemeentehuis Maasdam;Het Numans-Dorps-huis;De Hoeksteen Numansdorp;De Ark Numansdorp;De Voorhof;Tuindorp;NLS gebouw;De Bongerd;MFA De Wurf;De Ark Zuid-Beijerland;De Eendrachtshoeve;Rehoboth;De Swaensvoet;De Hoeksteen Nieuw-Beijerland;Gemeentehuis Oud-Beijerland;Maranatha;Rembrandt;Korbatjo;De Boogerd;De Gravin;CBS De Hoeksteen;De Open Waard;Wijkgebouw;Paviljoen De Oude Tol;De Zuidwester;Bethelkerk;Salvatori;Verenigingsgebouw Mookhoek;Verenigingsgebouw Strijensas;Dorpshuis Streona;De Hoge Weide;14-3 Ons Gebouw;14-3 Dorpshart;14-3 Gemeentehuis Maasdam;14-3 De Voorhof;14-3 MFA De Wurf;14-3 Gemeentehuis Oud-Beijerland;14-3 De Gravin;14-3 Dorpshuis Streona;15-3 Ons Gebouw;15-3 Dorpshart;15-3 Gemeentehuis Maasdam;15-3 De Voorhof;15-3 MFA De Wurf;15-3 Gemeentehuis Oud-Beijerland;15-3 De Gravin;15-3 Dorpshuis Streona;14-3 NLS gebouw;14-3 De Eendrachtshoeve;14-3 De Swaensvoet;15-3 NLS gebouw;15-3 De Eendrachtshoeve;15-3 De Swaensvoet;14-3 Verkiezingsbus Oost;14-3 Verkiezingsbus West;15-3 Verkiezingsbus Oost;15-3 Verkiezingsbus West;Verkiezingsbus Oost;Verkiezingsbus West;Drive-through Noord;Drive-through Zuid
Gebiednummer;;;;;1;2;3;4;5;7;9;11;12;13;14;15;16;17;18;22;23;24;25;26;27;28;31;32;33;34;35;36;41;42;43;45;46;47;48;49;50;51;52;53;61;62;63;65;67;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;98;99;100;101;102;103;104;105;106;107;108;109;110;111
Postcode;;;;;3297 AM;3297 TB;3297 SE;3295 CT;3295 AD;3295 KK;3295 BN;3274 AK;3274 BN;3273 AL;3271 SH;3271 AH;3299 AP;3299 BS;3299 XG;3281 LK;3281 JH;3281 AW;3281 XP;3281 CV;3286 VT;3286 VR;3265 BT;3284 KJ;3284 XR;3267 AK;3264 AL;3264 AJ;3262 GM;3262 PG;3262 HW;3263 RK;3261 BG;3261 AZ;3263 BP;3262 DA;3261 EJ;3263 RA;3261 SJ;3261 WB;3291 AT;3293 AJ;3292 AB;3291 TP;3291 DA;3295 BN;3271 SH;3299 XG;3281 XP;3265 BT;3262 GM;3261 AZ;3291 TP;3295 BN;3271 SH;3299 XG;3281 XP;3265 BT;3262 GM;3261 AZ;3291 TP;3286 VT;3284 XR;3264 AL;3286 VT;3284 XR;3264 AL;3262 GM;3262 GM;3262 GM;3262 GM;3262 GM;3262 GM;3274 KE;3281 KV
;;18;Lagendijk, G.C.;41;5;3;5;0;0;0;1;0;0;0;0;0;3;1;2;2;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Schelling, B.;23;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;6;0;0;1;0;0;0;0;2;0;1;1;0;1;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;20;van Loo, P.D.;48;0;2;0;0;0;0;1;15;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Tolenaars, A.;39;0;0;1;14;1;4;6;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
;;22;van Etten, B.C.;104;3;0;0;0;0;0;1;4;0;59;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;2;1;0;0;2;0;0;0;1;1;0;0;0;1;0;0;5;0;2;2;3;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Frieswijk, R.M.L.;108;1;1;0;0;0;0;3;2;2;1;3;4;1;0;3;4;6;2;6;4;1;4;0;2;3;0;1;2;1;0;0;5;1;1;1;4;1;1;1;6;0;0;2;3;0;1;1;0;2;0;1;0;0;0;5;0;3;0;5;2;1;1;0;0;0;1;0;0;0;0;0;0;1;0;1
;;24;de Pijper, N.A.;52;0;1;4;1;1;2;0;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;1;1;0;0;4;0;0;1;7;0;0;9;3;1;0;0;0;0;0;2;2;1;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;van der Meer, L.J.;87;0;0;0;0;0;0;1;0;1;2;2;0;0;0;0;8;18;7;8;6;2;2;0;2;4;0;0;0;0;0;0;1;0;0;0;1;1;1;3;0;0;0;0;3;0;0;1;0;2;0;0;0;0;0;1;0;3;2;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0
;;26;Mol-Verbaas, A.;24;1;0;0;9;2;1;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;27;Westerop, L.H.J.;13;0;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;van Brakel, J.P.;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;1;8;6;2;2;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0
;;29;Kooijman, T.W.;22;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;1;1;0;2;0;0;0;2;3;0;2;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;van den Brom, R.;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;2;0;0;0;0;0;0;0;0
;;31;Heemskerk, J.;33;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;8;2;4;2;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;5;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;Knoot - van de Wouw, J.W.A.;25;1;1;1;0;0;1;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;1;5;0;0;0;1;1;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;33;van Mechelen, J.H.;15;0;0;0;0;0;0;0;7;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;Lammeree, P.G.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;Dorsman-Vos, P.;24;15;4;3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;Zondag, J.G.M.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;Vink, T.J.P.;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;5;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;3;0;0;0;0;0;0;0;0;0
;;38;van Dijk, A.;19;0;1;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
;;39;de Zeeuw, W.J.;6;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;40;van den Berg - la Fleur, J.C.E.;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;2;3;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;41;Moret, W.N.;15;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42;Meijer, T.;19;8;5;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;43;de Lange, J.W.;17;0;0;0;0;0;0;0;0;0;1;5;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0
;;44;Hennip, K.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;45;van Sintmaartensdijk, J.W.J.;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;46;Quartel, J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;47;Veerman, C.P.;24;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;2;3;2;1;1;0;0;0;0;1;0;2;0;0;0;0;0;0;1;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0
;;48;van Etten, H.C.J.;15;0;0;1;0;0;2;0;0;0;2;3;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;49;Janssen, G.M.J.;11;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;50;van der Werf, D.M.;20;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;3;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;Lokalen Hoeksche Waard;;;5140;124;87;80;205;64;119;140;57;90;115;119;69;65;49;69;75;87;51;56;52;114;65;72;54;72;47;73;53;124;121;137;87;122;74;138;147;127;155;130;190;93;34;22;111;57;68;19;32;32;9;76;38;36;49;64;36;41;16;87;52;62;23;15;11;39;19;36;8;8;14;7;8;12;16;15
;;1;Ridderhof, B.;2885;84;59;58;56;20;46;38;37;52;60;71;37;37;37;48;47;73;29;28;35;58;38;56;38;53;35;52;32;88;65;69;45;68;49;65;86;78;70;71;122;51;19;15;58;28;15;8;18;19;7;47;14;24;18;18;22;32;13;53;26;36;15;11;9;20;15;28;4;8;5;5;5;10;12;7
;;2;Verbiest, H.A.;232;1;3;3;2;1;0;2;1;5;4;3;5;6;0;5;4;0;1;7;2;2;2;1;1;5;1;4;6;7;9;12;4;14;3;5;11;7;8;10;18;3;1;0;3;2;0;1;0;2;0;5;5;0;2;1;3;2;2;6;1;1;0;0;0;1;1;0;2;0;1;1;0;0;0;1
;;3;van der Linden, H.C.;443;10;9;4;108;23;55;80;1;1;1;1;2;6;1;4;3;2;0;1;0;3;0;0;0;0;0;1;1;1;0;4;0;0;2;1;2;0;3;1;2;6;9;1;4;5;47;0;0;0;0;0;0;1;22;0;0;0;0;1;0;2;0;2;0;2;0;0;2;0;5;0;0;0;0;1
;;4;van Ruiven, A.F.;297;3;2;0;0;5;2;0;2;2;1;2;0;1;1;0;0;0;0;2;1;1;1;0;0;0;0;3;0;3;9;11;18;19;7;35;26;18;42;25;13;0;1;0;0;0;0;0;0;1;0;11;7;1;0;1;0;0;0;9;7;1;0;0;0;0;0;2;0;0;0;0;0;0;0;1
;;5;Niedeveld, E.H.W.;186;4;0;0;0;0;1;1;4;5;14;23;16;3;4;0;9;1;9;1;1;3;2;4;1;0;0;2;3;2;1;0;0;1;1;1;2;0;2;2;2;4;0;0;0;0;0;6;3;1;0;0;1;0;0;32;5;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3;2
;;6;Vroegop, W.M.C.;97;0;0;2;1;0;0;0;0;0;0;2;0;1;0;0;0;2;3;9;0;2;2;0;3;1;0;0;1;5;4;22;0;2;4;2;3;4;0;1;4;0;0;0;0;0;0;0;0;0;0;1;4;0;0;0;0;1;0;7;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;7;van Prooijen, L.;53;4;1;0;2;0;0;2;0;0;4;0;1;2;0;0;0;0;0;2;0;1;0;0;0;1;0;0;0;3;1;1;0;2;3;2;0;0;1;0;3;0;1;0;3;0;0;0;0;0;1;0;1;2;0;0;0;0;0;1;3;1;2;0;0;0;0;2;0;0;0;0;0;0;0;0
;;8;van Daalen, B.A.;437;10;5;6;13;5;7;5;7;11;24;8;2;3;3;3;5;6;7;0;9;19;4;7;5;12;6;10;8;6;9;11;11;8;2;22;11;7;18;12;19;6;0;1;6;3;3;0;8;4;0;9;4;1;0;6;4;3;1;5;6;4;2;1;2;0;2;3;0;0;1;1;1;2;1;1
;;9;Kerpel, L.P.;31;1;1;0;1;1;0;0;1;0;3;6;6;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Slobbe, D.A.;36;0;0;1;0;1;0;2;0;2;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;3;0;1;2;3;1;2;0;4;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;11;Baars, P.;58;3;5;0;15;6;6;8;0;2;0;0;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;van der Meijde-Both, H.M.;66;1;0;1;5;0;0;0;1;2;2;0;0;0;0;0;1;1;0;0;2;0;0;1;0;0;0;1;1;3;12;2;1;1;1;0;5;2;3;5;2;1;0;0;0;1;0;0;0;0;0;1;0;1;2;1;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;13;Slob, D.P.;38;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;3;10;2;5;0;0;1;0;3;1;0;1;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;van IJsselmuide, C.D.;89;0;0;0;1;2;0;1;0;0;0;0;0;0;1;0;1;0;2;2;1;24;16;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;2;0;0;5;0;0;0;0;3;0;0;0;0;0;1;0;1;0;0;0;0;4;0;0;16;0;0;0;0;0;0;2;0;0;2
;;15;ter Laare, S.S.;23;0;0;0;0;0;0;0;1;2;0;0;0;0;0;7;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;2;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Cabaret, Y.;169;3;2;5;1;0;2;1;2;6;0;3;0;5;1;0;3;0;0;4;0;1;0;1;4;0;3;0;1;0;1;2;1;1;0;1;0;2;2;0;3;19;3;5;32;17;1;0;3;1;1;0;1;5;0;1;2;1;0;1;0;12;0;1;0;0;1;0;0;0;1;0;0;0;0;0
3;Staatkundig Gereformeerde Partij (SGP);;;4959;116;98;90;112;89;78;103;68;57;48;37;18;93;40;52;51;22;50;48;47;152;117;72;26;35;300;328;358;151;253;158;58;162;113;29;60;35;31;61;75;58;45;32;48;47;37;6;36;13;15;34;39;17;48;4;17;15;20;100;42;9;32;7;56;62;23;101;12;13;1;16;23;14;17;9
;;1;van der Wulp, A.D.;2778;71;71;66;94;63;57;72;59;34;32;26;14;58;28;41;19;6;19;16;25;83;53;31;14;21;160;164;164;77;116;84;15;79;61;10;22;16;12;26;35;40;31;17;37;30;31;4;25;3;14;17;24;12;43;3;14;4;12;54;20;4;21;3;27;32;13;55;6;8;1;13;19;14;10;3
;;2;van der Linden, A.;428;4;3;1;1;3;3;4;1;1;0;0;0;5;4;1;18;2;0;0;6;3;2;23;3;0;48;71;78;9;14;11;6;6;3;1;2;1;6;4;5;0;4;2;1;0;0;1;1;0;1;3;3;2;0;0;0;0;1;7;3;0;0;2;13;0;7;19;0;2;0;1;1;0;1;0
;;3;Neele, G.;316;1;3;12;0;1;12;4;1;4;4;2;0;0;0;2;0;10;24;25;8;32;18;5;1;4;8;13;8;4;9;5;4;6;5;2;2;4;0;0;2;1;2;2;4;2;0;0;0;8;0;0;0;0;1;0;0;7;1;4;0;1;8;0;3;15;0;3;1;0;0;0;1;0;2;5
;;4;van der Linden, K.;326;1;1;1;5;4;1;0;0;1;0;3;0;2;0;0;1;0;1;0;1;2;2;4;5;1;6;8;12;19;55;19;11;23;15;7;26;7;8;11;14;0;1;1;0;0;3;0;0;0;0;11;5;0;0;0;0;0;3;14;8;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0
;;5;Janssens, G.;87;22;10;5;1;1;2;1;4;1;0;0;0;5;0;3;0;0;0;0;0;3;2;0;0;0;3;1;7;0;0;0;1;1;0;0;0;0;0;1;0;2;0;0;3;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;2;0;0;0
;;6;van Stam, N.B.;166;1;3;0;1;0;0;3;0;1;0;1;0;1;1;0;0;0;0;0;1;0;2;0;0;0;1;11;1;16;23;17;8;23;10;3;0;3;2;0;7;0;1;0;0;0;0;1;0;0;0;2;6;0;1;0;0;0;0;5;6;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;7;van Steenselen, A.P.;68;3;0;2;2;5;0;4;1;3;2;0;0;6;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;8;4;3;2;6;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4;0;0;0;0;0;3;0
;;8;Hobbel, A.D.J.;45;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;3;0;2;3;7;3;0;8;0;1;3;0;1;0;7;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;9;Seip, J.D.;97;0;0;0;0;0;0;0;2;2;4;0;2;2;0;0;0;0;4;4;1;13;18;0;0;3;0;2;1;3;6;2;4;2;2;2;0;0;0;5;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;8;1;0;0;0;0;0;0;0;0;0
;;10;Matze, J.K.;187;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;2;5;1;2;24;44;64;2;5;1;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;8;0;1;16;0;0;0;2;0;0;0;0
;;11;Groeneweg, A.;29;1;0;0;5;7;3;7;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;12;van Leenen, P.J.;78;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;9;1;2;6;6;5;3;3;8;0;2;2;1;4;2;0;0;3;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;4;2;0;1;2;0;2;0;1;0;0;0;0;0;0;0;0
;;13;van der Ree Doolaard, J.;55;0;1;1;0;2;0;0;0;0;0;1;0;5;0;0;6;4;0;0;2;6;6;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;2;0;0;1;0;0;2;1;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0
;;14;Rozendaal, J.;36;0;0;0;0;0;0;0;0;0;4;0;1;0;2;0;5;0;1;0;0;4;11;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;15;Huisman, D.W.;30;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;11;2;7;0;0;0;0;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0
;;16;Mourits, P.;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;4;0;5;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;Spek, P.C.;22;9;3;0;0;0;0;1;0;0;0;1;0;6;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Snoep, J.J.;16;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;3;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;19;van der Hoek, P.;20;0;2;0;1;0;0;0;0;0;0;0;0;3;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;den Breejen, M.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;de Waard, J.;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;5;5;4;1;3;2;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Voordijk, C.;31;0;0;0;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;2;1;4;1;0;1;1;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1
;;23;van Randwijk, G.P.;24;2;0;1;0;2;0;6;0;1;0;0;0;0;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
