Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Sint Jorisparochie;Gymzaal P.C. Hooftstraat;Gasterij de Ontmoeting;Sporthal De Wissel;Kerk de Levensbron;Trefpunt Oost;Wilhelminakerk;WVC Slikkerveer;Muziekvereniging Harmonie Slikkerveer;Boezemkerk;WVC Bolnes;De Klinker;Kerk PG Bolnes;De Korenbloem;Opstandingskerk Rijsoord;Kerk Rijsoord;Sporthal Drievliet;Sionskerk;Clubgebouw Rowdies;Verpleeghuis Salem;'t Ronde Sant;Gymzaal naast OBS de Piramide;Christus is Koningkerk;Ichthuskerk;Goede Herderkerk;Gemeentehuis MAANDAG;Wilhelminakerk MAANDAG;Opstandingskerk Rijsoord MAANDAG;Clubgebouw Rowdies MAANDAG;Gemeentehuis DINSDAG;Wilhelminakerk DINSDAG;Opstandingskerk Rijsoord DINSDAG;Clubgebouw Rowdies DINSDAG
Gebiednummer;;;;;1;2;3;4;5;6;8;9;10;11;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;101;109;118;122;201;209;218;222
Postcode;;;;;2981 EA;2982 PE;2985 BK;2982 BD;2982 CM;2985 BV;2985 CG;2983 SH;2983 AT;2983 CL;2987 AK;2987 CR;2987 AV;2987 AK;2989 AW;2988 BB;2988 BA;2986 GK;2984 BW;2986 AE;2986 AZ;2984 GK;2981 AX;2983 HK;2986 GH;2982 BT;2981 EA;2983 SH;2988 BB;2986 AE;2981 EA;2983 SH;2988 BB;2986 AE
;;3;Ripmeester, A.P.S.;678;48;13;6;20;4;30;39;23;19;26;11;37;12;22;14;10;8;16;18;8;5;33;9;43;70;10;12;13;8;14;33;19;7;18
;;4;Dirks, M.M.;209;22;4;2;2;2;13;8;5;6;11;6;10;6;11;1;4;7;6;2;2;3;7;2;6;15;2;9;1;9;3;13;6;2;1
;;5;Kramer-Blansjaar, E.C.;46;5;0;0;2;0;2;2;1;0;3;0;6;1;2;0;2;1;2;1;0;0;1;1;1;2;0;0;1;3;0;2;0;4;1
;;6;Horváth, S.;112;14;1;0;2;0;4;4;3;0;12;1;6;4;1;2;0;2;0;3;3;1;15;1;6;9;0;2;5;0;5;3;2;0;1
;;7;den Haan, Y.;27;4;0;0;2;0;2;2;2;0;1;0;7;0;1;0;0;0;0;0;0;0;1;1;1;2;0;1;0;0;0;0;0;0;0
;;8;van Vonderen, C.B.;12;1;2;0;0;0;0;2;0;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1
;;9;Veerman, G.Y.;17;0;0;0;0;0;1;2;0;1;0;1;0;0;1;0;0;0;0;0;1;0;2;0;1;0;0;4;0;1;0;2;0;0;0
;;10;Dirks, R.;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;11;Lems, R.;13;1;1;0;0;0;1;0;1;1;3;0;1;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;1;0;0;0
;;12;Kamsteeg, M.;12;2;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0
;;13;van der Linden, L.;24;0;1;0;1;0;1;4;1;3;1;1;0;0;0;1;0;0;2;0;0;0;1;0;0;5;0;0;1;0;0;0;0;1;0
;;14;Ouwens, A.;19;1;0;0;0;0;0;3;1;0;1;0;0;1;0;0;0;0;0;1;0;1;3;1;0;5;0;0;0;0;0;1;0;0;0
;;15;van Loghem, M.E.;14;1;0;0;0;0;0;2;0;3;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;3;0;0;0;1;0;0;0
;;16;Habib, S.;102;14;2;1;3;2;3;4;4;4;7;2;7;3;5;1;1;3;5;1;0;0;2;5;5;8;0;3;0;0;2;4;1;0;0
;;17;Soffree, J.;74;2;0;2;2;0;0;3;2;5;1;1;12;5;1;0;0;0;1;0;2;0;1;1;5;11;0;6;1;0;4;4;0;0;2
;;18;Bosman, G.H.;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;19;van den Bergh, R.N.;12;0;1;0;0;0;1;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;3;0;0;1;0;0
;;20;Buis, G.;7;0;0;0;0;0;0;0;0;0;2;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Nuis, I.;40;1;0;2;2;1;4;3;0;2;1;0;0;0;2;1;1;0;4;2;0;0;5;0;0;5;0;0;1;0;0;1;0;0;2
;;22;Zwiers, H.J.;6;1;0;0;0;0;0;0;0;0;1;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;23;van Houcke, H.C.M.;3;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;24;Hitzert, M.A.;22;1;1;0;1;1;0;1;0;1;0;0;4;1;0;0;0;0;1;0;0;0;0;0;0;5;0;1;2;0;0;1;0;0;1
3;Staatkundig Gereformeerde Partij (SGP);;;2967;136;51;23;152;30;200;188;121;86;120;32;83;44;31;124;100;102;17;45;36;115;94;98;147;164;128;92;57;39;25;153;63;44;27
;;1;Kardol, J.D.;2089;92;32;16;109;23;135;147;86;70;94;22;66;33;19;92;63;65;13;34;26;78;71;64;114;105;89;59;40;16;21;103;38;32;22
;;2;Rottier, A.J.;76;5;0;3;9;1;8;3;3;0;0;0;1;0;0;1;3;0;1;4;0;11;1;1;3;6;4;4;0;0;1;3;0;0;0
;;3;van der Duijn Schouten, C.A.;259;17;5;2;10;3;21;18;6;5;7;9;2;4;7;5;5;12;0;2;0;11;11;10;10;15;15;8;3;5;1;16;9;4;1
;;4;Verweij, G.M.;69;1;2;0;3;0;0;4;4;5;2;0;1;1;0;3;3;9;0;0;0;1;1;7;3;2;0;2;1;7;0;4;1;2;0
;;5;van de Waerdt, C.J.;60;7;3;1;3;0;3;0;2;1;3;0;0;0;0;2;2;0;1;0;2;5;2;2;0;3;4;2;0;0;0;6;2;3;1
;;6;van Zwienen, T.;33;4;1;0;3;3;0;0;0;0;0;0;0;2;2;0;0;1;0;0;0;2;0;1;0;5;6;2;0;0;0;1;0;0;0
;;7;Smit, C.;17;0;0;0;1;0;0;0;1;0;1;0;0;0;0;1;1;1;0;0;0;2;0;1;0;1;1;2;3;0;0;0;1;0;0
;;8;den Besten, A.J.;27;0;0;1;0;0;9;2;0;0;0;0;1;0;0;4;0;0;0;0;0;1;0;4;0;4;0;0;0;1;0;0;0;0;0
;;9;Schipper, K.;16;1;1;0;0;0;0;1;1;0;1;0;2;1;1;0;0;0;0;1;0;0;0;0;1;0;0;1;1;0;0;2;1;0;0
;;10;Leenheer, E.P.;15;0;0;0;1;0;2;1;1;0;0;1;2;0;0;0;0;0;0;1;0;1;0;0;1;1;1;1;0;0;0;1;0;0;0
;;11;van 't Zelfde, A.J.;56;4;0;0;1;0;7;5;0;0;3;0;1;1;1;1;6;4;1;1;2;0;1;2;1;1;2;2;3;2;0;3;0;0;1
;;12;Teeuw, A.A.;50;1;0;0;1;0;4;1;5;1;0;0;1;0;0;7;2;3;0;1;1;1;3;2;0;7;3;0;3;1;1;1;0;0;0
;;13;Veldhoen, M.;24;0;0;0;4;0;0;0;2;0;1;0;0;2;1;0;1;0;0;0;0;0;1;0;4;0;0;1;1;0;0;4;2;0;0
;;14;Haksteeg, H.W.;27;0;0;0;2;0;1;0;0;2;0;0;0;0;0;0;2;0;1;0;4;1;0;0;1;2;0;3;0;0;0;6;0;0;2
;;15;Lagendijk, J.;31;1;0;0;0;0;0;3;2;1;6;0;3;0;0;2;0;0;0;1;0;1;1;1;0;3;1;2;0;0;0;0;3;0;0
;;16;Roodenburg, C.A.;28;2;1;0;0;0;3;3;2;0;2;0;0;0;0;0;3;3;0;0;0;0;1;0;1;1;2;2;2;0;0;0;0;0;0
;;17;van Luik, W.T.;14;0;0;0;1;0;2;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;1;0;0;0;0
