Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Oude Kerk;Stembureau Basisschool Sint Maarten;Stembureau Oranjehoek;Stembureau Wijkgebouw De Boot;Stembureau Wijkcentrum Agora;Stembureau Wijkcentrum Agora (2);Stembureau Jezus geeft rust;Stembureau Basisschool De Parachute;Stembureau Basisschool De Parachute (2);Stembureau Maartenshal;Stembureau Maartenshal (2);Stembureau Koningkerk;Stembureau Wijkcentrum de Groene Loper;Stembureau KindCentrum Cascade;Stembureau Sporthal Essesteijn;Stembureau Wijkgebouw Essesteijn;Stembureau Servicecentrum Leidschendam;Stembureau Servicecentrum Leidschendam (2);Stembureau Wijkgebouw De Blauwe Tram;Stembureau Wijkgebouw Het Koophuys;Stembureau Wijkgebouw Ons Tolhuis;Stembureau Dienstencentrum Duivenvoorde;Stembureau Wijkcentrum De Plint;Stembureau Wijkgebouw De Heuvel;Stembureau Gymnastieklokaal;Stembureau Sportcentrum De Fluit - Zij ingang;Stembureau De Binnenhof;Stembureau Trinity Church;Stembureau Ad Hoc;Stembureau Dorpspunt;Stembureau WZH Prinsenhof;Stembureau WZH Schoorwijck;Stembureau WZH Vliethof;Stembureau WZH Het Anker;Stembureau Woonzorgcentrum De Mantel;Stembureau Wijkcentrum Agora (MA);Stembureau Wijkcentrum de Groene Loper (MA);Stembureau Wijkgebouw Ons Tolhuis (MA);Stembureau Gemeentehuis Leidschendam (MA);Stembureau Dorpspunt (MA);Stembureau Wijkcentrum Agora (DI);Stembureau Wijkcentrum de Groene Loper (DI);Stembureau Wijkgebouw Ons Tolhuis (DI);Stembureau Gemeentehuis Leidschendam (DI);Stembureau Dorpspunt (DI)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45
Postcode;;;;;2271 CC;2271 EP;2271 SJ;2272 AN;2275 CZ;2275 CZ;2274 JW;2274 TZ;2274 TZ;2274 KX;2274 KX;2273 KR;2273 VD;2273 CS;2272 EB;2272 EB;2264 BM;2264 BM;2265 CA;2266 KN;2266 CN;2261 AN;2263 GZ;2262 EB;2264 KW;2262 ED;2266 AS;2261 ET;2261 ZB;2266 HA;2263 AA;2265 WZ;2271 CW;2273 AG;2272 BV;2275 CZ;2273 VD;2266 CN;2264 BM;2266 HA;2275 CZ;2273 VD;2266 CN;2264 BM;2266 HA
;minder stembiljetten dan toegelaten kiezers;;;13;0;0;0;0;0;1;0;0;1;0;0;0;0;2;0;0;1;0;0;0;1;0;0;0;3;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;9;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;1;0;0;0;1;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
;andere verklaring;;;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;VVD;;;6844;488;339;232;289;182;191;160;110;122;129;125;325;109;118;330;155;235;128;284;78;86;122;175;117;192;82;171;250;54;93;3;9;5;16;18;150;133;22;271;20;188;160;39;313;26
;;1;van Eekelen, A.J.W.;3966;278;189;114;168;99;95;96;64;76;65;74;192;72;77;209;80;142;68;169;43;46;77;97;76;96;35;101;137;25;66;2;7;2;14;12;105;88;14;169;12;92;89;22;192;20
;;2;Heil, O.;486;43;26;21;24;26;41;11;12;9;11;8;30;7;9;24;6;7;7;12;2;1;1;7;6;7;6;9;14;3;1;0;1;2;0;0;10;6;3;11;0;36;10;1;13;2
;;3;van den Heuvel, S.D.;623;26;15;12;12;10;4;6;4;6;13;6;16;7;6;17;7;37;25;41;19;12;23;28;18;37;17;27;26;6;12;1;1;0;0;1;6;4;0;47;2;9;12;9;35;1
;;4;van Veller, P.;185;19;25;16;13;6;6;4;2;4;1;3;7;1;0;6;7;4;2;4;1;3;3;6;1;2;1;1;8;0;1;0;0;0;0;0;2;1;1;4;0;13;4;0;3;0
