Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Oude Kerk;Stembureau Basisschool Sint Maarten;Stembureau Oranjehoek;Stembureau Wijkgebouw De Boot;Stembureau Wijkcentrum Agora;Stembureau Wijkcentrum Agora (2);Stembureau Jezus geeft rust;Stembureau Basisschool De Parachute;Stembureau Basisschool De Parachute (2);Stembureau Maartenshal;Stembureau Maartenshal (2);Stembureau Koningkerk;Stembureau Wijkcentrum de Groene Loper;Stembureau KindCentrum Cascade;Stembureau Sporthal Essesteijn;Stembureau Wijkgebouw Essesteijn;Stembureau Servicecentrum Leidschendam;Stembureau Servicecentrum Leidschendam (2);Stembureau Wijkgebouw De Blauwe Tram;Stembureau Wijkgebouw Het Koophuys;Stembureau Wijkgebouw Ons Tolhuis;Stembureau Dienstencentrum Duivenvoorde;Stembureau Wijkcentrum De Plint;Stembureau Wijkgebouw De Heuvel;Stembureau Gymnastieklokaal;Stembureau Sportcentrum De Fluit - Zij ingang;Stembureau De Binnenhof;Stembureau Trinity Church;Stembureau Ad Hoc;Stembureau Dorpspunt;Stembureau WZH Prinsenhof;Stembureau WZH Schoorwijck;Stembureau WZH Vliethof;Stembureau WZH Het Anker;Stembureau Woonzorgcentrum De Mantel;Stembureau Wijkcentrum Agora (MA);Stembureau Wijkcentrum de Groene Loper (MA);Stembureau Wijkgebouw Ons Tolhuis (MA);Stembureau Gemeentehuis Leidschendam (MA);Stembureau Dorpspunt (MA);Stembureau Wijkcentrum Agora (DI);Stembureau Wijkcentrum de Groene Loper (DI);Stembureau Wijkgebouw Ons Tolhuis (DI);Stembureau Gemeentehuis Leidschendam (DI);Stembureau Dorpspunt (DI)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45
Postcode;;;;;2271 CC;2271 EP;2271 SJ;2272 AN;2275 CZ;2275 CZ;2274 JW;2274 TZ;2274 TZ;2274 KX;2274 KX;2273 KR;2273 VD;2273 CS;2272 EB;2272 EB;2264 BM;2264 BM;2265 CA;2266 KN;2266 CN;2261 AN;2263 GZ;2262 EB;2264 KW;2262 ED;2266 AS;2261 ET;2261 ZB;2266 HA;2263 AA;2265 WZ;2271 CW;2273 AG;2272 BV;2275 CZ;2273 VD;2266 CN;2264 BM;2266 HA;2275 CZ;2273 VD;2266 CN;2264 BM;2266 HA
;;1;van Duffelen, R.;1231;49;30;14;36;8;10;15;11;15;22;1;31;17;31;61;13;41;32;55;24;31;49;68;45;53;19;37;51;20;34;4;5;1;3;6;19;18;6;67;11;25;23;21;82;17
;;2;van der Heide, E.J.;756;44;35;18;20;36;26;26;13;24;17;7;48;28;24;54;14;11;7;19;7;3;8;17;9;15;8;13;10;5;9;0;1;0;2;1;28;26;4;23;0;33;23;6;29;5
;;3;Muller, E.J.;254;7;3;3;6;1;0;2;1;2;1;2;2;4;2;7;3;11;8;13;3;9;14;16;19;21;8;12;5;9;4;0;0;1;0;0;1;2;7;20;1;2;1;6;14;1
;;4;Visser, T.J.;128;39;4;5;8;6;5;3;1;0;2;4;5;1;3;2;2;2;1;3;0;1;0;5;2;1;0;1;0;1;2;0;0;1;0;0;6;0;0;4;0;3;2;0;3;0
;;5;Koster, J.J.;44;0;1;0;0;3;6;1;0;2;0;0;1;0;0;0;1;0;0;1;0;2;0;2;0;0;0;0;0;0;0;0;1;0;0;1;6;0;0;4;1;7;0;1;3;0
;;6;Bruins, J.R.;27;2;2;1;0;1;4;1;0;0;3;0;0;1;1;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;2;1;0;1;0;3;0;0;0;0
;;7;Stout, Q.J.;33;1;0;1;0;2;0;1;4;2;0;0;5;0;0;2;0;0;0;1;1;1;0;2;0;3;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;2;0;2;0
;;8;Noort, I.B.;81;8;5;1;0;2;1;7;4;8;2;3;5;3;2;4;3;1;0;0;0;0;1;2;0;3;3;0;0;0;0;0;0;0;0;0;0;4;0;0;0;2;3;0;4;0
;;9;de Graaff, S.I.E.;27;1;0;1;1;1;2;2;3;1;1;0;2;0;0;1;0;0;1;1;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;1;1;0;1;0;2;0;0;0;0
;;10;Timmerhuis, O.A.T.;19;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;2;0;0;2;0;0;0;0;0;0;0;2;2;0;2;0;4;0;0;0;0
;;11;Strous, A.H.M.;21;2;0;0;10;0;0;2;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0
;;12;Duijn, F.L.M.;13;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;4;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0
;;13;Smeele, P.F.C.;5;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Kosse, T.H.V.;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Hillen, V.J.;13;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;1;2;0;0;0;1;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0
;;16;Dijkstra, A.P.;27;4;6;0;2;0;1;0;0;0;3;1;1;0;2;1;0;0;1;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0
;;17;Mohamed, A.;38;1;2;0;0;0;0;1;2;4;0;1;1;1;1;0;0;0;0;0;0;0;0;5;3;0;2;0;2;0;0;0;0;0;0;0;0;3;0;4;0;0;1;0;4;0
;;18;Bos, B.H.M.;15;0;3;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;2;0;0
;;19;van Ewijk, L.A.M.;50;0;1;0;0;0;0;0;0;0;0;0;1;0;1;3;0;3;0;7;0;4;5;7;4;2;0;4;2;0;1;0;0;0;0;0;0;0;0;3;0;0;0;0;1;1
;;20;Beerepoot, J.J.T.;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;21;Scheper, H.;4;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;22;Kip, M.;17;0;2;0;0;1;0;0;0;0;0;0;4;2;1;0;0;0;1;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
;;23;Paardekooper, A.P.;13;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0
;;24;Geluk, J.L.;28;4;1;2;0;1;0;0;0;0;3;0;1;0;0;3;0;1;0;1;2;0;1;0;0;0;1;1;0;0;1;0;0;0;1;0;1;1;0;0;0;0;1;0;1;0
;;25;Hendriks, J.;158;5;3;2;2;5;7;4;0;0;1;3;12;3;3;27;30;0;0;3;2;0;2;0;0;2;0;1;2;0;0;0;0;0;0;2;9;7;0;1;1;7;7;0;5;0
;;26;Bouw, J.J.;56;0;4;2;0;0;0;0;0;0;0;2;0;1;1;2;0;1;4;3;0;1;1;3;0;3;2;1;5;0;2;0;1;0;0;0;0;0;1;5;0;3;3;1;4;0
4;D66;;;4498;329;217;158;269;170;174;117;128;146;95;62;238;81;86;234;91;151;102;138;48;48;58;95;68;83;44;77;138;36;20;1;4;3;6;7;94;72;9;155;11;121;105;11;191;7
;;1;Jorissen, W.E.J.;1626;115;93;63;104;52;49;34;24;35;34;24;71;32;25;87;30;54;41;55;15;25;28;31;26;28;16;36;57;18;7;1;2;0;4;5;27;23;4;71;4;39;36;9;90;2
;;2;Mathlouti, M.;290;18;11;6;12;11;5;5;15;16;3;4;29;5;7;9;4;17;8;8;2;2;3;10;8;5;6;5;5;4;1;0;0;0;1;0;2;5;1;12;0;7;10;0;8;0
;;3;Bos, C.A.;1606;100;85;62;97;78;88;43;50;49;43;17;80;27;29;74;25;54;32;53;19;16;17;34;17;32;12;22;48;11;7;0;2;3;0;1;41;29;2;45;3;53;31;2;71;2
;;4;Hielkema, A.J.M.;89;13;3;0;11;2;0;9;1;2;1;1;5;0;3;8;3;0;1;1;1;0;3;2;3;1;1;2;3;0;0;0;0;0;1;0;0;0;0;1;0;3;1;0;3;0
;;5;van der Pol, L.G.A.M.;64;21;1;1;5;0;2;0;2;4;1;0;4;0;1;2;0;0;1;1;1;0;0;0;0;1;0;0;2;2;0;0;0;0;0;0;4;0;0;1;1;4;2;0;0;0
;;6;Vogelaar, L.;421;33;15;17;24;13;10;15;19;29;10;12;26;11;10;27;13;13;10;6;8;3;2;9;5;8;5;6;6;0;1;0;0;0;0;1;9;11;0;7;1;4;12;0;10;0
;;7;van der Avert, F.J.;13;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;1;0
;;8;van Dolen, P.J.;42;1;0;0;0;0;0;2;0;0;0;0;0;0;2;8;3;0;1;4;2;2;0;6;3;4;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0
;;9;Bastian, E.J.M.W.;8;1;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;10;Breedijk, G.M.;83;12;2;2;2;1;1;4;6;3;1;0;6;2;1;2;0;2;3;3;0;0;0;1;0;1;1;4;0;0;0;0;0;0;0;0;4;3;0;3;0;5;7;0;1;0
;;11;van Domburg Scipio, A.T.;18;1;1;1;1;0;0;1;1;1;0;0;0;0;2;0;0;4;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0
;;12;de Leeuw, B.;20;2;0;1;0;0;2;0;0;0;0;0;2;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;1;1;3;0;0;0;0;0;0;1;0;0;2;0;0;0;0;2
;;13;van de Griendt, S.L.A.;21;0;2;0;5;0;0;1;1;1;0;0;1;1;0;3;0;0;0;0;0;0;0;0;1;0;0;1;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;14;Meeuwissen, J.A.N.;9;0;1;0;1;0;1;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;15;Geneste-van de Vall, C.G.M.;43;1;0;0;2;2;1;0;2;0;0;0;0;0;0;10;4;1;0;1;0;0;2;0;2;2;0;0;4;0;0;0;0;0;0;0;2;0;0;3;0;0;3;0;1;0
;;16;Belt, M.W.;24;1;1;1;0;2;0;0;4;2;0;1;2;0;2;0;0;0;1;1;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1
;;17;Telgenkamp, M.M.;10;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
;;18;van Rooij, R.F.;9;0;0;1;0;0;0;0;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1;0;0;0
;;19;Homan, H.;7;0;0;0;0;0;0;0;1;0;0;0;2;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;20;Tetteroo-van Zuylen, R.C.;95;7;2;3;5;9;15;3;2;2;2;1;6;1;1;0;2;5;2;2;0;0;1;0;2;1;1;0;6;0;0;0;0;0;0;0;4;0;2;2;0;5;1;0;0;0
5;GROENLINKS;;;4428;228;137;106;195;127;150;115;181;163;88;91;303;120;87;192;120;119;126;110;53;58;68;141;67;142;66;113;103;46;36;1;2;1;7;2;79;105;18;135;5;87;148;24;156;7
;;1;van der Gronde, C.L.A.M.;2492;139;85;72;117;66;83;80;93;90;53;54;195;68;51;125;68;62;65;63;25;24;32;77;21;67;33;56;61;29;12;1;2;0;5;2;53;60;1;80;4;55;83;7;69;4
;;2;van Weers, N.A.;567;10;6;2;19;8;9;4;17;15;6;6;17;11;4;14;11;28;20;25;14;18;14;36;23;39;12;33;18;11;11;0;0;0;2;0;7;7;8;16;1;5;8;10;40;2
;;3;Elenbaas, C.P.;104;9;3;0;5;4;3;6;4;5;3;0;7;3;3;10;4;1;2;0;2;2;4;0;0;0;3;2;2;0;0;0;0;0;0;0;2;5;0;2;0;3;3;0;2;0
;;4;Feld, I.M.;479;36;17;11;25;23;33;9;30;28;12;11;36;13;6;12;12;6;18;5;4;1;1;7;6;9;3;7;7;2;4;0;0;0;0;0;11;14;4;7;0;12;24;1;12;0
;;5;de Prez, D.M.;302;10;8;7;8;13;11;6;16;11;3;8;20;11;7;15;10;4;6;6;1;6;9;11;6;15;6;7;4;2;5;0;0;0;0;0;3;6;2;9;0;2;11;5;12;0
;;6;van der Heiden, T.M.M.;68;3;1;1;1;2;1;0;5;3;0;2;4;4;0;1;4;3;2;3;0;1;4;0;1;1;4;2;1;1;1;0;0;0;0;0;0;0;0;9;0;1;1;0;1;0
;;7;Seriese-van der Hout, J.F.;70;2;3;2;3;1;1;4;3;1;2;2;7;2;3;3;2;4;1;3;0;2;0;1;0;3;0;1;0;0;0;0;0;0;0;0;1;4;1;2;0;1;2;0;3;0
;;8;van der Leeuw-van Someren, P.A.;71;5;1;2;4;1;1;2;2;3;2;1;7;2;1;1;2;1;7;2;0;0;0;1;4;1;1;2;1;0;0;0;0;0;0;0;1;0;0;1;0;1;2;0;9;0
;;9;van Rhee, G.J;15;1;1;0;0;0;1;0;2;1;0;1;2;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;1
;;10;Bus, F.M.Q.;21;2;0;0;0;1;1;0;1;2;2;3;2;0;3;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;11;Knoester, H.;40;2;0;2;3;1;0;0;3;1;0;0;1;2;4;2;0;2;1;1;0;1;0;3;1;1;1;0;2;0;0;0;0;0;0;0;1;1;0;0;0;0;4;0;0;0
;;12;Wapenaar, M.A.;37;1;2;0;3;1;1;0;0;1;1;0;0;1;2;1;2;0;1;0;2;2;0;3;1;2;1;2;1;0;0;0;0;0;0;0;0;0;1;1;0;1;2;0;1;0
;;13;van Rossum, J.;36;1;2;0;2;0;1;0;2;0;0;1;0;0;0;4;0;3;0;1;1;1;0;1;4;1;0;0;1;1;1;0;0;1;0;0;0;1;0;2;0;1;2;0;1;0
;;14;Kist, F.J.;126;7;8;7;5;6;4;4;3;2;4;2;5;3;3;3;5;5;2;1;2;0;4;1;0;3;2;0;5;0;2;0;0;0;0;0;0;7;1;6;0;5;3;1;5;0
6;Partij van de Arbeid (P.v.d.A.);;;2445;111;49;56;98;41;45;48;58;54;43;47;149;72;71;118;70;53;44;67;27;28;49;127;106;82;58;60;55;30;9;1;1;4;1;6;45;76;25;104;2;44;85;22;95;9
;;1;Streefkerk, J.;976;44;11;25;49;15;22;14;20;18;18;13;51;24;32;44;30;20;15;40;10;14;23;49;44;37;21;28;19;11;2;1;0;3;1;4;13;37;15;49;2;21;26;8;27;6
;;2;Paltansing, S.R.;530;24;15;9;22;14;13;6;18;16;10;5;35;17;12;36;14;11;12;9;4;2;18;27;17;11;9;9;15;7;5;0;0;0;0;0;14;17;1;20;0;6;18;6;26;0
;;3;Blokland, D.A.;89;1;2;6;2;1;0;2;0;1;0;1;7;1;4;2;1;0;3;5;1;1;1;4;4;9;2;6;3;0;0;0;0;0;0;0;6;2;2;0;0;1;2;0;6;0
;;4;Kok, S.G.D.;340;30;3;5;17;6;3;16;8;10;7;12;27;5;5;10;12;7;4;6;5;10;2;11;9;13;6;6;8;3;0;0;0;0;0;1;6;9;4;14;0;6;17;2;14;1
;;5;van Hoogdalem, C.M.;76;0;5;5;0;1;0;4;2;0;0;1;19;0;6;2;0;1;1;3;0;0;1;1;1;2;0;1;1;0;1;0;0;0;0;0;2;3;1;7;0;0;2;1;1;1
;;6;Ogrić, B.;237;2;1;1;2;1;3;3;8;7;3;12;0;18;9;17;8;8;4;1;0;0;2;24;20;3;15;7;5;3;0;0;0;1;0;0;1;7;1;7;0;1;16;1;14;1
;;7;van der Holst, M.W.F.M.;15;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;2;7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;Schmitz, C.G.A.;11;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;3;2;0
;;9;Boom, D.A.;9;0;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;Boselie-Abbenhuis, F.M.H.;40;0;5;3;5;0;3;1;1;0;1;1;6;0;1;4;1;0;0;0;2;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0
;;11;Brussaard, A.B.;4;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;12;Buis, F.;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Kleiboer, T.R.E.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;Kliphuis, C.C.;18;0;2;0;0;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;1;0;5;1;0;0;0
;;15;Kraakman, A.J.H.;13;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0
;;16;Laning, M.F.;9;1;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;17;Oldersma, H.;7;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Oosterheert, M.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Plesch, B.E.C.;9;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0
;;20;Rodenburg, A.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;van der Steen, M.W.F.;14;3;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;2;0;0;0;0;1;0;0;2;0
;;22;van der Straaten, P.;7;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Wolters, J.J.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0
;;24;Jelsma-de Boer, A.;23;1;0;0;0;3;0;0;1;1;1;0;0;2;0;2;1;0;2;1;1;0;0;1;1;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
7;ChristenUnie;;;1172;73;22;21;42;23;18;26;22;23;14;13;60;29;32;59;21;25;17;27;10;9;21;46;29;34;28;28;49;5;76;0;3;2;1;6;27;23;9;43;21;16;34;8;53;24
;;1;Wilschut, F.B.;530;37;8;10;19;11;11;16;13;13;8;10;36;16;13;30;8;15;6;12;6;4;14;20;8;10;14;8;27;0;3;0;2;1;1;4;12;13;5;23;0;12;22;2;27;0
;;2;Bregman, C.P.;241;2;3;2;6;0;0;0;0;0;1;1;2;0;0;3;0;2;4;5;2;2;5;17;6;8;8;10;10;2;73;0;1;0;0;0;0;0;2;8;19;0;0;5;8;24
;;3;de Vries, R.J.;46;4;0;1;0;2;1;3;1;0;2;1;5;2;2;4;1;1;0;0;1;0;0;0;1;1;1;1;2;0;0;0;0;1;0;2;2;1;0;0;0;1;0;1;1;0
;;4;Mansens, R.T.;14;2;0;1;0;1;1;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
;;5;Grant, M.A.;156;9;4;3;11;2;1;4;6;3;2;0;8;7;3;8;7;3;4;7;1;2;1;3;9;6;2;6;6;3;0;0;0;0;0;0;2;3;1;7;2;1;2;0;7;0
;;6;Jeninga, L.;52;2;2;1;1;0;0;0;1;3;0;0;1;1;4;1;0;2;1;0;0;1;1;3;4;8;2;0;2;0;0;0;0;0;0;0;1;0;1;5;0;1;2;0;1;0
;;7;Wielenga, E.J.;101;14;5;2;5;4;2;3;1;3;0;1;7;3;6;4;4;2;2;3;0;0;0;2;0;0;0;3;1;0;0;0;0;0;0;0;7;4;0;0;0;1;5;0;7;0
;;8;Verheij, L.;32;3;0;1;0;3;2;0;0;1;1;0;0;0;4;6;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;2;0;0;0;0;3;0;2;0
8;SP (Socialistische Partij);;;1468;40;22;36;28;16;14;19;39;28;17;13;75;33;53;68;19;30;33;40;43;66;53;94;60;80;46;38;13;24;20;4;3;0;2;2;20;32;26;53;4;22;59;24;57;0
;;1;van der Schaft, E.R.;718;17;13;23;15;4;5;13;13;7;7;4;37;15;30;33;11;13;20;19;22;29;23;52;27;42;26;18;8;12;10;4;1;0;0;2;11;15;9;27;2;10;28;13;28;0
;;2;Gaspersz, M.D.M.;55;1;1;0;0;1;1;1;1;1;1;2;4;2;2;6;0;0;0;2;1;1;1;3;2;3;2;6;1;0;1;0;0;0;0;0;0;2;2;1;1;0;1;1;0;0
;;3;Snellink, G.J.;150;8;3;5;4;3;4;2;12;7;4;4;12;7;10;7;2;1;1;2;2;2;0;3;4;3;0;0;0;1;0;0;2;0;1;0;4;6;3;4;0;6;7;3;1;0
;;4;Ghazi, S.N.;230;8;2;6;4;5;2;2;7;9;3;1;12;2;4;9;5;2;3;8;4;11;10;14;11;10;6;5;3;7;1;0;0;0;0;0;2;4;5;12;0;3;13;2;13;0
;;5;Oorburg, E.;35;1;0;0;1;0;0;0;1;0;0;0;1;1;0;1;1;1;2;0;1;8;0;2;2;3;2;1;0;0;1;0;0;0;0;0;0;3;1;1;0;0;0;0;0;0
;;6;van Leeuwen, H.;116;1;1;1;3;1;1;0;0;1;1;0;2;1;1;4;0;5;2;4;8;9;4;9;5;9;2;3;0;1;6;0;0;0;1;0;1;0;4;7;1;2;0;5;10;0
;;7;van Beem, P.S.;12;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;2;5;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;van den Eijnden, W.J.C.;32;1;2;0;0;0;0;0;0;0;0;2;2;4;4;2;0;1;0;0;0;0;1;1;0;2;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;7;0;0;0
;;9;Vroomans, T.M.P.;42;0;0;0;0;0;1;0;0;1;0;0;1;1;0;2;0;1;1;2;0;1;11;1;3;1;4;2;0;1;1;0;0;0;0;0;0;1;2;1;0;0;2;0;1;0
;;10;Roza, I.S.;78;3;0;1;1;2;0;1;5;2;0;0;4;0;2;4;0;6;4;3;3;5;3;9;4;2;4;0;1;2;0;0;0;0;0;0;1;0;0;0;0;1;1;0;4;0
