Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau de Agnietenkapel;Stembureau Gymzaal Herpstraat;Stembureau de Speelwinkel;Stembureau Sociëteit Concordia;Stembureau Gereformeerde gemeente Gouda;Stembureau Gereformeerde gemeente Gouda;Stembureau Gereformeerde gemeente Gouda;Stembureau Cultuurhuis Garenspinnerij;Stembureau de Westerkerk;Stembureau Gymzaal G. Leeustraat;Stembureau Ontmoetingscentrum De Walvis;Stembureau Gymzaal Columbuslaan;Stembureau Gymzaal Coniferensingel;Stembureau Huis van de Stad (R);Stembureau De Dick van Dijk Hal;Stembureau Huis van de Stad (L);Stembureau Huis van de Stad (R);Stembureau Huis van de Stad (R);Stembureau De Dick van Dijk Hal;Stembureau De Dick van Dijk Hal;Stembureau Sportcentrum de Mammoet (L);Stembureau Sportcentrum de Mammoet (R);Stembureau De Veste;Stembureau Vaste Burcht;Stembureau Gymzaal Brittenburg;Stembureau Sportcentrum de Mammoet (L);Stembureau Sportcentrum de Mammoet (L);Stembureau Buurthuis De Buhne;Stembureau Hervormd centrum De Brug;Stembureau Party- & Zalencentrum Le Patapouf;Stembureau Wijkvereniging Achterwillens;Stembureau Chocoladefabriek;Stembureau De Zuidrandflat;Stembureau Nelson Mandela Centrum;Stembureau Buurthuis De Kade;Stembureau Gymzaal J. den Haenstraat;Stembureau CVV de Jodan Boys;Stembureau De Molenkap;Stembureau De Oostpoort;Stembureau Sporthal de Zebra;Stembureau Gymzaal Middenmolenlaan;Stembureau Sporthal de Zebra;Stembureau Sporthal de Zebra;Stembureau Kindcentrum De Ontdekkingsreizigers
Gebiednummer;;;;;101;102;105;106;108;115;116;201;205;206;207;302;304;305;311;312;315;316;325;326;401;402;404;407;409;415;416;501;505;506;507;602;603;605;607;608;700;702;703;706;707;715;716;901
Postcode;;;;;2801 GR;2801 CR;2801 VM;2801 PJ;2801 SB;2801 SB;2801 SB;2802 BC;2802 LD;2802 RZ;2802 SB;2803 ET;2803 JH;2803 PG;2803 WH;2803 PG;2803 PG;2803 PG;2803 WH;2803 WH;2804 RT;2804 RT;2804 RS;2804 XG;2804 ZZ;2804 RT;2804 RT;2805 VC;2805 BP;2805 CG;2805 DZ;2806 CA;2806 DC;2806 JM;2806 PD;2806 DK;2806 HC;2807 EC;2807 KL;2807 DZ;2807 EC;2807 DZ;2807 DZ;2809 RB
;;29;de Groot, R.;23;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;4;1;0;1;0;6;2;1;1;0;1;0;0;0
;;30;de Wit - In 't Veld, A.;13;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1;0;0;0;0;2;0;0;0;0;0;0;2;0;0;1;0;1;0;0;0;0;0;0;0
;;31;de Pater - Huijsen, F.L.;11;0;0;0;1;2;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1
;;32;Tempelman, C.;39;0;0;0;0;0;0;0;4;2;0;0;2;1;0;3;0;1;0;0;1;3;1;0;3;0;0;0;0;2;0;2;1;0;1;0;0;4;0;1;0;1;0;4;2
;;33;Versluis - Molenaar, G.;8;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;34;Rustenhoven, L.J.;10;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;1;2;0;0;0;0;0;0;0;0;0
;;35;Kaars, P.J.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0
;;36;Stoevelaar - van de Berkt, Y.;29;0;1;0;0;0;0;0;2;0;0;0;4;1;1;3;0;1;0;0;2;2;0;3;0;1;0;0;0;1;1;0;1;0;0;0;0;1;1;0;1;1;0;1;0
;;37;Kholobalee, V.W.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3
;;38;Kraal, C.F.;36;1;0;0;0;0;0;1;0;0;1;1;10;0;0;2;1;0;2;1;1;0;0;1;2;2;0;0;3;1;2;2;0;0;0;0;0;0;1;0;0;0;0;0;1
;;39;van Buren, M.P.J.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1
;;40;Verbree, J.P.;5;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0
;;41;Janssen, J.A.;16;0;2;1;0;0;0;0;0;1;0;0;0;0;0;2;1;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;0;0;2;1;0;0;0;0;1;0;0;0;0
;;42;Janssen, H.R.;9;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;43;Schotanus, G.;13;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;2;0;2;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
;;44;Krins, J.T.;16;0;1;0;0;1;0;0;0;1;1;0;0;0;1;0;1;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;2;0;2;0;0
;;45;Schonewille, W.H.;25;0;1;0;0;0;0;0;0;0;1;0;0;2;0;2;0;1;1;0;1;0;0;0;0;0;1;0;1;0;2;0;0;1;0;3;3;0;0;0;0;1;4;0;0
;;46;Quik, C.P.;14;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;1;4;0;0;1;0;0;0;2;0
;;47;Bikker, M.H.;36;2;0;1;0;1;0;0;0;4;0;1;1;4;0;1;0;0;0;0;2;0;0;1;2;3;1;1;0;0;2;3;0;0;0;0;2;0;0;3;0;0;0;1;0
3;Partij van de Arbeid (P.v.d.A.);;;3100;109;80;110;62;46;25;12;89;70;39;101;91;96;53;73;56;84;106;39;54;64;34;104;151;108;45;66;68;48;64;80;64;79;90;75;88;62;55;73;78;87;36;44;42
;;1;Tetteroo, R.A.;1198;27;28;31;26;14;5;6;30;35;17;36;41;45;10;25;20;41;50;21;17;26;11;53;65;47;21;31;26;31;27;33;22;32;21;31;40;18;18;23;23;22;13;24;15
;;2;Heesen, S.L.W.;905;44;28;32;14;6;11;2;23;12;14;21;22;25;19;25;19;20;24;12;23;19;8;30;46;35;16;16;18;9;23;24;19;15;18;28;27;14;22;25;34;33;12;5;13
;;3;de Groot, M.;104;4;5;1;5;0;1;0;1;4;1;5;4;2;5;1;2;3;5;1;2;2;3;2;1;4;0;3;1;2;1;2;6;4;3;2;0;2;1;3;3;2;0;0;5
;;4;El Haddaoui, A.;303;7;2;18;0;9;0;3;29;3;4;15;10;7;9;3;0;4;2;1;5;12;3;6;8;5;0;3;11;2;1;10;2;7;34;4;1;15;2;7;7;18;5;3;6
;;5;Oppelaar, J.K.;28;1;0;1;2;1;0;0;0;10;0;2;0;0;0;1;0;0;0;0;0;0;0;0;2;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;2;1;1
;;6;Tuls, A.C.;129;6;2;7;4;2;2;0;2;0;1;4;3;7;5;2;4;3;8;2;2;2;1;2;6;5;3;2;1;1;4;0;5;4;1;2;4;1;5;1;2;4;2;3;2
;;7;Belonje, R.G.;43;2;7;4;1;6;2;1;0;0;0;1;1;0;0;0;0;0;1;0;1;0;1;1;2;2;0;2;0;0;0;0;0;1;2;0;0;0;0;1;1;0;0;3;0
;;8;van der Knaap, F.C.A.;26;1;0;0;1;0;0;0;1;0;0;0;1;2;0;0;0;3;0;0;0;0;2;2;1;0;1;0;0;0;0;0;0;0;0;0;1;2;1;1;2;2;1;1;0
;;9;Schaap, M.A.;59;4;0;6;3;1;0;0;1;1;1;2;0;1;0;2;0;0;2;1;0;2;2;0;4;1;0;1;2;0;3;1;2;5;1;3;3;2;1;0;0;0;1;0;0
;;10;Mohandis, M.;121;5;1;7;4;3;0;0;1;2;0;6;7;2;1;3;4;2;5;0;1;0;0;1;6;4;3;4;3;0;2;3;7;8;3;0;7;1;1;7;2;3;0;2;0
;;11;Prinsenberg, G.M.G.;42;0;1;1;0;0;0;0;1;1;0;9;0;0;1;0;1;3;5;1;0;0;0;1;1;0;0;0;1;0;1;1;0;0;4;1;1;5;0;0;0;2;0;0;0
;;12;Veld, J.J.;12;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;1;2;0;0;0;0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0
;;13;Bolt, K.J.;9;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;2;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;van Eijkelenburg-Brands, J.G.J.M.;20;2;2;0;0;0;2;0;0;0;0;0;0;0;0;1;1;2;0;0;0;0;0;1;1;0;0;1;1;1;0;1;0;0;0;0;1;2;0;1;0;0;0;0;0
;;15;Sonnemans, W.B.F.;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
;;16;Bos, V.;16;1;1;1;0;1;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;1;2;0;0;0;1;0;0;0;2;1;0;0;0;0;0;1;1;0;0;0
;;17;Oosterloo, T.B.;6;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;18;Henriques Pombinha - Traag, J.A.;7;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0
;;19;Schinkel, G.J.;17;0;0;0;0;0;0;0;0;0;1;0;1;3;0;2;1;0;0;0;0;0;0;0;4;0;1;0;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0
;;20;Suijker, M.J.C.;49;2;2;1;0;1;1;0;0;2;0;0;1;0;0;7;2;1;4;0;2;0;0;3;2;1;0;0;1;0;0;2;0;1;2;3;2;0;2;3;0;0;0;1;0
4;VVD;;;2628;81;69;53;52;32;18;10;21;59;38;64;64;63;47;77;38;47;76;48;45;56;50;99;90;94;44;72;51;66;76;90;71;41;45;46;64;43;56;72;100;68;46;63;123
;;1;de Jonge, H.M.;1774;48;38;38;40;21;14;7;12;47;28;49;50;38;30;55;27;28;50;34;27;36;34;71;65;60;30;48;30;54;52;60;51;29;32;37;46;31;40;42;62;45;27;37;74
;;2;Ruijgrok, P.T.J.;130;6;4;2;1;1;0;0;0;3;1;0;1;0;0;5;0;1;4;2;5;6;5;9;6;10;3;3;1;6;1;2;2;2;2;0;3;2;4;3;4;5;1;4;10
;;3;van der Elburg, H.;90;4;4;1;0;0;0;0;1;1;0;2;2;15;3;0;1;0;8;0;1;3;0;4;0;1;2;2;9;0;1;2;2;0;0;1;1;2;0;1;7;1;1;5;2
;;4;Boxma, D.A.W.;294;7;9;5;6;8;3;1;0;3;3;6;3;2;5;7;7;14;6;3;7;7;4;10;10;11;4;9;6;3;14;7;7;4;5;4;8;4;5;8;9;11;5;12;22
;;5;van Loon, H.G.;39;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;1;0;1;0;0;0;0;3;1;1;0;1;0;1;0;3;1;0;1;0;1;3;0;7;5;2;3;0;0
;;6;Suiskens, P.A.M.;139;8;6;4;0;0;1;1;2;2;1;5;3;2;6;2;2;4;6;5;2;4;4;1;4;7;4;4;1;1;2;8;2;1;1;2;2;1;5;3;5;2;2;1;10
;;7;de Groot, M.D.;17;0;0;1;0;0;0;0;1;0;1;0;0;3;1;0;0;0;0;1;1;0;0;0;2;2;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;8;Piette, F.E.;60;4;6;1;2;1;0;1;2;0;1;0;3;2;0;1;0;0;1;1;0;0;1;0;0;1;1;3;1;0;2;5;4;4;1;0;0;0;1;1;4;0;0;0;5
;;9;de Graaf, B.;6;2;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;10;van Tilborg, W.J.N.;11;2;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;2;0;0;0;0;0;0;2;0
;;11;Vermeij, J.;34;0;1;1;0;0;0;0;1;2;1;0;1;0;1;3;0;0;0;1;2;0;2;0;1;1;0;1;0;1;3;2;0;0;1;0;0;0;0;4;2;0;2;0;0
;;12;van den Akker, H.C.;34;0;1;0;2;0;0;0;2;0;1;0;1;0;0;3;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;1;1;2;1;1;0;0;3;2;2;5;2;0
5;CDA;;;2138;53;46;48;36;29;11;14;19;44;34;32;67;86;46;54;55;39;74;29;56;53;37;85;95;64;31;50;65;50;62;67;36;68;50;33;52;23;37;63;54;52;37;40;62
;;1;Bunnik, M.;1164;29;28;26;20;14;4;11;9;23;14;20;34;27;27;23;34;19;41;21;33;28;10;39;56;37;17;29;35;35;36;41;18;45;38;14;31;12;25;34;30;19;23;25;30
;;2;van der Wind, M.A.;133;0;1;2;2;2;1;1;0;1;2;0;4;3;1;4;2;1;6;0;1;3;4;7;7;6;2;2;5;1;6;4;0;5;0;0;5;1;4;9;3;5;1;6;13
;;3;Honkoop, N.J.P.;122;9;7;4;3;3;1;0;3;9;8;1;2;5;4;0;2;3;1;0;0;2;1;5;3;2;2;1;5;1;0;2;1;3;3;3;2;2;2;1;4;5;2;2;3
;;4;van Dijk, M.;230;5;3;5;3;4;2;1;3;3;4;5;10;5;3;5;7;11;8;4;5;7;5;5;12;3;2;9;8;5;6;12;7;5;2;4;2;4;5;8;4;6;3;2;8
;;5;Spit, H.;38;0;1;1;0;1;0;0;0;0;0;0;5;2;1;0;0;2;2;1;1;2;1;1;1;0;3;0;2;0;1;1;0;1;0;0;0;0;0;1;1;1;2;1;2
;;6;Kwaaitaal, S.M.;44;1;0;0;0;1;0;0;0;0;1;2;1;0;0;2;1;0;2;0;2;4;3;2;3;3;0;1;0;1;4;0;1;0;1;2;0;0;0;1;1;2;0;0;2
;;7;Hoekstra, J.;116;1;0;2;1;0;0;0;0;1;4;2;4;39;5;7;0;1;0;0;9;1;3;7;1;1;0;4;0;3;2;1;2;0;1;2;0;2;1;3;2;2;0;1;1
;;8;Blacquière, A.R.;40;0;0;0;0;0;1;0;0;0;0;0;1;1;1;1;0;1;5;0;1;1;1;9;3;1;0;1;0;0;1;2;0;1;1;0;0;2;0;0;0;2;3;0;0
;;9;Verkade - de Heer, H.B.;60;1;1;2;0;3;0;0;0;1;0;0;3;0;2;3;2;1;3;1;0;0;1;2;1;2;0;3;6;0;1;0;2;3;3;2;5;0;0;1;2;2;0;0;1
;;10;Alderliesten, J.;30;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;1;0;3;1;0;2;3;2;0;2;0;0;1;0;1;1;1;0;0;0;0;1;1;3;1;1
;;11;Woudstra - van Deijk, M.;16;0;0;1;0;0;0;1;0;2;0;0;0;0;0;1;2;0;1;0;0;1;0;1;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;1;0
;;12;Hardjono, T.W.;6;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;13;Lobregt, D.;7;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0
;;14;Kroon, H.;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;van der Heijden, W.;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;16;van Wijk, G.;41;5;1;2;5;0;0;0;0;3;0;0;0;2;0;2;0;0;0;0;2;1;1;2;1;0;0;0;0;0;0;0;4;2;0;2;4;0;0;0;1;0;0;0;1
;;17;van Rossum, H.;10;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;3;0;1;0
;;18;Boschma, E.;28;0;0;0;1;0;0;0;0;0;1;0;1;2;0;3;0;0;0;1;1;0;2;2;2;4;0;0;0;1;3;1;0;0;0;1;1;0;0;1;0;0;0;0;0
;;19;Kastelein, M.;46;2;2;0;1;1;0;0;1;1;0;2;0;0;1;2;3;0;2;0;1;0;3;2;2;1;2;0;1;2;2;1;1;1;0;2;1;0;0;0;3;3;0;0;0
6;Gouda Positief;;;3069;87;118;82;64;45;23;27;54;93;69;75;81;121;46;97;57;64;83;50;38;46;37;95;115;131;30;47;60;73;70;79;56;76;99;80;69;49;75;69;86;66;41;66;80
;;1;Koppers, A.J.M.;1938;55;73;45;41;23;15;9;32;72;40;41;58;78;34;65;36;47;59;35;23;37;29;62;77;84;25;36;37;45;47;50;42;30;42;61;44;20;36;50;51;25;28;50;49
;;2;de Laat, J.M.;266;9;15;13;10;6;0;3;4;7;2;9;15;6;3;11;5;7;7;9;7;3;3;7;8;9;1;2;9;9;7;6;3;7;5;4;6;5;2;1;8;10;0;1;2
;;3;Schmidt, W.H.;92;0;3;1;3;0;0;2;2;0;3;1;0;0;0;5;2;2;4;0;0;1;2;5;14;3;1;0;1;4;0;4;2;2;3;2;0;0;1;0;4;3;2;3;7
;;4;Karkache, R.;289;0;3;6;4;1;0;4;7;2;7;14;5;14;1;6;3;3;1;0;1;2;1;2;6;7;3;3;1;1;1;10;2;25;40;3;3;19;27;12;12;18;1;3;5
;;5;Rispens, M.;125;3;2;7;2;5;0;1;4;3;4;1;0;7;1;2;5;0;5;1;1;0;0;4;4;8;0;3;5;2;6;3;3;5;2;5;2;1;3;1;5;2;3;3;1
;;6;Mandemaker, A.;97;5;5;2;2;2;0;1;2;3;6;3;0;5;2;3;0;2;3;2;2;1;0;4;0;2;0;2;1;2;2;1;2;3;1;2;1;1;4;2;2;3;1;3;7
;;7;Clarenbach, E.A.;9;0;0;1;0;2;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
;;8;Bruins, D.;44;5;9;0;0;0;0;0;2;0;2;0;1;1;0;1;1;0;2;1;0;0;0;3;2;0;0;0;0;1;0;1;0;0;0;0;2;0;0;0;2;2;1;0;5
;;9;van Oort, C.;40;0;0;1;0;0;0;1;1;0;1;1;0;3;0;0;0;0;1;0;0;0;1;1;2;3;0;0;5;3;3;2;1;0;0;0;3;1;0;0;0;0;3;1;2
;;10;Janmaat, J.;34;1;0;0;1;0;2;0;0;1;1;0;0;0;1;0;0;0;0;1;2;0;0;2;1;5;0;0;0;1;3;1;0;1;0;1;5;0;0;2;0;0;1;0;1
;;11;van Koert, E.R.;4;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Wittermans, F.;32;2;0;0;0;0;1;0;0;1;0;4;0;4;1;1;1;3;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;2;1;1;0;2;0;0;0;2;1;1;0
;;13;Eelkman Rooda, J.W.;42;4;3;2;0;5;4;2;0;2;2;0;1;0;0;1;3;0;0;1;0;1;0;4;0;1;0;0;0;1;0;0;0;0;2;1;1;0;0;0;1;0;0;0;0
;;14;Weeber, J.;57;2;5;4;1;1;0;4;0;1;1;1;1;3;2;1;1;0;0;0;1;1;0;1;1;6;0;1;0;4;1;1;1;1;3;0;1;0;2;0;1;1;0;1;1
7;GROENLINKS;;;3633;177;131;121;111;44;19;24;89;63;45;69;100;79;83;79;93;75;104;30;38;67;52;118;151;119;28;75;78;53;121;88;119;91;91;103;165;26;72;99;84;60;57;65;77
;;1;van der Mije, R.A.;963;46;47;19;21;12;4;6;27;23;12;13;21;25;19;22;24;17;26;8;7;27;18;43;33;38;10;22;26;14;20;26;32;26;16;30;40;6;20;29;19;20;16;20;13
;;2;Geluk-van den Burg, T.;200;8;4;4;6;0;2;0;4;2;2;2;2;4;3;6;1;5;6;0;4;3;2;5;8;9;0;4;9;2;9;12;10;5;4;12;15;0;7;3;7;2;3;2;2
;;3;Philips, C.J.H.;1202;52;37;55;42;12;7;9;21;18;13;18;40;23;28;30;34;28;32;12;14;20;15;31;63;36;10;21;21;11;46;19;37;32;34;33;65;7;24;34;17;25;16;24;36
;;4;Allaoui, R.;230;12;9;9;8;1;1;1;21;5;10;19;5;3;7;2;2;4;2;2;1;2;0;4;10;8;0;1;6;6;5;4;8;6;6;6;10;4;3;5;3;1;3;2;3
;;5;den Uijl, R.L.;43;2;0;1;1;1;0;0;1;0;0;1;0;1;0;1;1;1;1;0;0;0;2;0;2;4;0;3;0;0;5;3;1;3;1;0;1;1;1;0;2;0;0;1;1
;;6;Brouwer, C.S.;294;18;5;12;10;5;3;4;6;7;3;6;5;6;11;8;9;7;10;2;6;4;4;11;8;6;3;4;2;8;11;4;9;5;7;3;9;7;6;7;11;3;6;3;10
;;7;Hoogeveen-Dries, P.M.;83;5;9;2;2;1;0;1;0;2;0;2;5;1;4;2;4;3;3;2;0;0;0;6;5;0;0;4;1;0;3;2;0;2;1;2;2;0;1;0;0;2;2;0;2
;;8;Hof, L.P.;15;0;1;1;2;0;0;0;0;0;0;0;4;2;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;9;Klijmij-van der Laan, M.;159;10;4;1;7;1;1;1;4;1;2;3;0;5;3;1;8;3;8;0;3;3;5;4;8;7;3;8;0;3;5;3;6;3;5;3;6;0;2;3;9;3;2;0;2
;;10;van Malssen, K.F.;12;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;2;3;0;0;0;0
;;11;Groenenboom, A.;21;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1;1;0;0;0;3;1;0;0;0;0;0;1;2;0;0;1;1;0;0;2;2;0;1;2;0;0
;;12;Menkveld, A.J.;19;3;0;1;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;1;0;1;3;0;0;0;0;0;0;0;1;0;0;1;0
;;13;van der Meij, L.A.D.;19;1;0;3;0;1;0;0;0;1;0;0;1;1;0;0;0;2;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;1;2;1;1;0;0;0;0;0;1;0;0
;;14;Koopmans-van Diest, I.;20;0;1;0;0;1;0;1;0;0;0;0;2;2;0;1;1;1;0;0;0;0;1;0;0;1;0;0;1;0;2;0;0;1;0;0;0;0;2;1;0;0;0;1;0
;;15;Zijlstra, K.;10;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;1;0
;;16;Massrour, M.;134;11;6;6;2;2;0;0;2;2;1;2;4;0;2;3;3;0;6;0;1;4;0;1;6;3;0;0;6;3;2;1;8;1;6;7;5;1;3;3;8;3;3;5;2
;;17;Cool, A.G.;12;1;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;2;0;0;0;0;0;0;1;1;0;0;0;1
;;18;Punte, E.;20;1;2;2;1;0;0;0;0;0;2;0;2;1;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;1;0;1;0;0;0;0;0;0
;;19;Gaasbeek, S.A.;8;0;0;0;3;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0
;;20;Mollema-Vegt, H.M.;7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
;;21;Lappee, H.J.M.;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
;;22;Akker, G.M.;8;1;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Bessels, A.B.;7;1;0;0;1;0;0;0;0;0;0;1;2;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;Goossens, F.N.;31;0;0;0;0;1;0;0;0;0;0;0;2;0;0;1;0;2;1;0;0;0;0;2;0;3;0;2;1;0;3;4;0;0;4;2;0;0;0;1;0;0;1;1;0
;;25;van Ooijen, A.J.;3;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;van Vliet, M.J.;31;1;2;0;2;0;0;0;0;0;0;0;3;0;0;0;0;1;1;2;0;0;0;3;0;1;2;1;0;0;1;1;0;2;0;1;3;0;0;3;0;0;0;0;1
;;27;Freriks, G.;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Nooij, L.B.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;29;Mul, C.A.M.;28;3;0;2;0;1;0;0;0;0;0;0;0;3;0;0;2;0;1;0;0;1;0;0;0;0;0;1;0;2;0;1;1;0;0;0;5;0;0;1;0;0;1;2;1
;;30;Niezen, H.;38;0;0;1;1;1;1;0;0;0;0;0;2;1;2;1;2;1;1;1;0;1;1;2;1;0;0;0;0;1;2;1;2;2;1;0;1;0;0;3;0;0;1;2;2
8;Staatkundig Gereformeerde Partij (SGP);;;2086;27;19;11;11;100;74;78;13;59;40;55;118;36;70;53;62;37;66;11;24;24;26;54;38;56;10;26;106;92;82;66;29;30;97;59;76;21;32;37;37;14;20;37;53
;;1;Hooglander, H.J.;1318;12;9;10;6;81;49;64;11;38;22;40;74;28;40;30;36;23;34;8;14;16;15;37;31;34;4;16;61;53;56;37;18;21;60;31;40;12;19;26;25;12;12;18;35
