Verkiezing;;Gemeenteraad Papendrecht 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Papendrecht;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0590;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Mobiel stembureau Marktplein;Morgensterkerk;Kindcentrum Oranje Nassau;RK-Parochie;Bethlehemkerk;Sionskerk;De Viermaster;De Spil;De Lage Waard;Mobiel stembureau parkeerplaats Wilgendonk;Samenwerkingsverband Drechtsteden;Mobiel stembureau Dienstencentrum;Mobiel stembureau Gemiva;Mobiel stembureau parkeerplaats PKC;Prins Florisschool;Mobiel stembureau Marktplein;Mobiel stembureau Marktplein;Mobiel stembureau parkeerplaats Wilgendonk;Mobiel stembureau parkeerplaats Wilgendonk;Mobiel stembureau Dienstencentrum;Mobiel stembureau Dienstencentrum;Mobiel stembureau Gemiva;Mobiel stembureau Gemiva;Mobiel stembureau parkeerplaats PKC;Mobiel stembureau parkeerplaats PKC
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26
Postcode;;;;;3351 PB;3351 PB;3353 VD;3353 AT;3353 VJ;3351 HA;3351 JT;3351 GZ;3352 BM;3352 VH;3355 BM;3355 RP;3354 BR;3356 BG;3356 LC;3356 DA;3351 PB;3351 PB;3355 BM;3355 BM;3354 BR;3354 BR;3356 BG;3356 BG;3356 LC;3356 LC
;geen verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;PAPENDRECHTS ALGEMEEN BELANG;;;2405;116;136;80;45;101;91;118;90;108;102;83;68;42;28;74;123;166;118;117;170;54;94;41;59;76;105
;;1;Janssen, A.M.J.M.;1047;58;55;37;19;56;37;45;45;52;42;42;28;15;8;35;45;65;55;60;63;31;43;20;27;24;40
;;2;Verweij, M.H.A.;132;4;6;1;2;4;4;4;6;10;6;5;3;2;3;6;8;10;5;7;8;0;5;4;1;4;14
;;3;van Wijngaarden, H.M.;703;33;54;30;21;25;31;29;17;22;32;20;20;14;11;17;33;58;42;26;51;17;28;9;18;19;26
;;4;Torun, S.;37;1;0;1;0;5;0;3;0;1;0;2;0;0;0;0;4;2;1;2;3;0;2;0;0;5;5
;;5;Verweij-Heijstek, A.J.P.;159;7;5;4;2;3;4;10;2;5;4;4;2;2;4;5;11;13;11;9;18;4;3;3;6;10;8
;;6;Tieleman, A.;59;0;7;1;0;1;0;3;0;1;3;0;6;4;0;4;6;9;0;2;3;0;1;0;2;2;4
;;7;Bruijniks, L.;72;4;2;0;0;0;7;8;13;1;5;3;0;3;0;3;3;3;0;0;5;1;5;0;2;2;2
;;8;Janssen, X.D.R.;47;2;2;1;0;0;1;10;0;5;0;3;3;0;0;0;1;1;0;2;8;1;3;1;1;1;1
;;9;van Gent, A.;100;6;4;4;0;6;4;5;4;6;6;3;3;0;2;4;12;5;3;3;7;0;3;4;1;1;4
