Verkiezing;;Gemeenteraad Oegstgeest 2022;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Oegstgeest;;;;;;;;;;;;;;;;;;;;
Nummer;;0579;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Sporthal de Cuyl;Gymzaal Leo Kannerschool;Hockeyclub LOHC;Dorpscentrum Lijtweg- I;Dorpscentrum Lijtweg-II;Brandweerkazerne;Basisschool Het DOK;Gymzaal Jan Wolkerslaan-I;De Dansschool anno 2020;Gymzaal Jan Wolkerslaan-II;Verenigingsgebouw Attila;Gymzaal Poelgeest;Yuverta vmbo Oegstgeest;Gemeentehuis (maandag);Gemeentehuis (dinsdag);Dorpscentrum Lijtweg (maandag);Dorpscentrum Lijtweg (dinsdag)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;18;19
Postcode;;;;;2342 AN;2341 BJ;2343 SZ;2341 LM;2341 HA;2341 HA;2343 BB;2342 BT;2343 BK;2342 BA;2343 BK;2343 MA;2341 PM;2341 KD;2342 AN;2342 AN;2341 HA;2341 HA
;;14;Meester- Broertjes, H.A.;28;3;1;1;2;3;3;2;0;0;1;0;0;3;0;0;2;2;5
;;15;van der Zijden, P.H.M.;13;0;0;0;0;0;0;1;0;3;0;1;2;1;0;0;0;4;1
;;16;Neelen, G.H.J.M.;13;0;0;1;2;1;1;1;0;1;1;0;1;0;1;1;0;0;2
;;17;Polak, A.G.;11;2;0;0;0;0;0;1;1;2;1;2;0;1;0;0;1;0;0
;;18;Meppelink, A.;14;1;0;2;0;0;1;1;0;0;0;1;0;4;2;0;2;0;0
;;19;van Kempen, A.E.;7;1;0;1;0;1;1;0;0;0;0;0;1;0;0;2;0;0;0
;;20;Priester, M.A.;20;2;0;1;0;1;2;1;0;3;0;2;0;0;0;2;0;5;1
;;21;Los, F.;3;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0
;;22;Koole, R.A.;15;0;2;1;0;1;1;1;1;2;1;1;0;1;2;1;0;0;0
;;23;Kraakman, M.J.;10;2;0;1;0;0;2;1;1;0;0;0;0;1;0;0;0;1;1
;;24;van Tongeren, T.I.M.;11;0;0;0;0;0;4;0;0;0;0;0;1;3;0;0;1;0;2
3;CDA;;;1498;101;28;79;72;82;106;144;118;98;42;82;116;71;51;49;44;81;134
;;1;van Blitterswijk, E.J.;718;59;18;39;31;37;39;57;51;49;26;46;60;26;16;26;24;41;73
;;2;van der Hoeven, T.;102;7;2;4;2;12;10;22;9;2;1;2;6;3;0;3;7;2;8
;;3;van Gessel, P.J.H.;61;1;0;1;1;2;3;5;17;2;3;1;2;12;4;5;0;1;1
;;4;van den Brink, R.;35;0;1;2;2;3;0;0;0;2;0;2;2;3;3;1;0;12;2
;;5;Mandema, W.;124;5;0;10;11;8;12;8;2;11;2;8;9;5;19;1;3;0;10
;;6;Kuivenhoven, R.P.;15;2;1;0;0;0;0;0;6;1;0;1;4;0;0;0;0;0;0
;;7;den Boer, M.A.;95;7;2;10;2;3;7;20;2;7;1;5;8;3;2;4;3;3;6
;;8;Welsink - Bax, J.C.;162;10;1;8;14;8;15;18;10;13;5;8;12;7;6;6;2;7;12
