Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Amicitia;Gymzaal bij Het Schateiland;Speellokaal nabij CBS  Eben-Haëzer;Sporthal De Bakwetering;Ichthuskerk;Het Cultuurhuis;Het Koetshuis (ingang schoolstraat);Sporthal De Walvis;De Dertienhuizen;St. Laurentiuskerk;De Schakel;Bibliotheek Bergambacht;Ammerstolse SV (voetbalvereniging);Cultureel Centrum De Zwaan;Voetbalvereniging Bergambacht;HHG Kerk;Rozenlaankerk;Oosterkerk;Dorpshuis Gouderak;De Bron;Zalencentrum de Overkant;Openbare Bibliotheek Schoonhoven;Het Huis van Noord;Pasteurzaal nabij PCBS De Rank;P.G. de Hoeksteen;Dienstencentrum Hof van Stein;Theater en Grand Cafe Concordia;Rehoboth;Het Kwartier;De Vlisterstee;Voetbalvereniging Stolwijk;Sporthal De Bakwetering (maandag);Sporthal De Bakwetering (dinsdag);Sporthal De Walvis (maandag);Sporthal De Walvis (dinsdag);De Schakel (maandag);De Schakel (dinsdag);HHG Kerk (maandag);HHG Kerk (dinsdag);Openbare Bibliotheek Schoonhoven (maandag);Openbare Bibliotheek Schoonhoven (dinsdag);Theater en Grand Cafe Concordia (maandag);Theater en Grand Cafe Concordia (dinsdag)
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43
Postcode;;;;;2941 BR;2941 SE;2941 VE;2941 TN;2941 BM;2931 EC;2931 AG;2931 RA;2931 XZ;2861 AG;2861 XD;2861 XH;2865 AH;2825 BS;2861 GJ;2935 SB;2935 SV;2935 CD;2831 XV;2871 AH;2871 BC;2871 TN;2871 WG;2871 JM;2871 LD;2851 TD;2851 VV;2821 AP;2821 VB;2855 AK;2821 XC;2941 TN;2941 TN;2931 RA;2931 RA;2861 XD;2861 XD;2935 SB;2935 SB;2871 TN;2871 TN;2851 VV;2851 VV
;;8;Neervoort, M.;58;0;0;0;1;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;16;8;11;2;3;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5;4;0;0
;;9;Vlot, M.;83;2;2;1;0;1;4;0;3;0;0;6;12;2;8;6;0;11;0;1;3;0;0;0;0;0;0;0;2;2;0;1;1;2;1;1;3;6;0;2;0;0;0;0
;;10;Muskens, T.J.M.;32;4;4;4;0;7;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;4;0;0;2;1;0;0;0;0;0;0
;;11;Molenaar-MacDaniel, J.;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;3;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0
;;12;van den Eijnden, P.F.J.;10;1;0;0;0;0;0;0;0;0;0;4;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;13;Hamel, G.J.W.;14;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;2;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0
;;14;van Dorst-Pijls, C.A.;16;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;1;1;0;4;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;1;0;0
;;15;Lammertse, A.H.;47;0;0;3;1;0;1;0;2;1;0;0;0;0;0;0;4;27;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;2;0;1;0;0
;;16;Crouwers, L.F.M.;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;10;18;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;8
;;17;Boere-Schoonderwoerd, M.G.;121;6;3;6;0;7;3;2;2;2;0;1;7;2;6;4;10;24;3;2;2;2;1;0;0;2;2;4;0;0;1;0;2;3;0;0;3;2;2;2;0;3;0;0
3;Staatkundig Gereformeerde Partij (SGP);;;4035;93;47;125;46;110;69;54;52;51;81;132;184;26;406;86;242;235;179;162;31;32;54;32;41;53;33;59;359;269;86;139;39;31;20;19;60;96;48;94;11;26;6;17
;;1;Verburg, J.;2672;56;14;63;26;53;36;33;37;30;48;84;127;16;265;57;146;138;125;121;22;13;30;19;25;34;30;51;269;215;63;123;24;13;11;9;41;63;37;65;3;17;5;15
;;2;Koelewijn, D.C.;159;5;6;4;1;4;24;13;11;12;3;0;1;0;9;2;1;12;3;8;0;0;2;0;1;0;1;0;13;2;0;3;0;0;5;8;1;1;0;2;0;1;0;0
;;3;Noordergraaf, M.C.;103;1;0;2;1;0;1;0;0;0;1;0;1;0;1;0;26;30;15;6;0;0;0;1;0;4;0;0;1;2;0;0;2;0;0;0;0;0;1;7;0;0;0;0
;;4;Klerk, W.P.;187;22;20;39;13;33;0;1;2;0;2;2;0;1;4;0;1;11;0;0;0;0;0;0;0;0;0;0;10;0;0;0;11;10;3;0;0;0;0;2;0;0;0;0
;;5;Wassink, H.W.;145;4;0;4;0;0;1;0;1;0;8;21;14;1;36;13;2;1;0;0;0;0;0;1;0;2;0;1;2;2;1;2;0;3;0;0;7;17;1;0;0;0;0;0
;;6;Neven, J.P.;109;0;0;0;0;2;0;0;0;0;1;5;1;1;1;0;6;1;2;3;8;15;20;6;5;12;0;0;0;3;0;1;0;0;0;0;1;1;0;0;8;6;0;0
;;7;Pols, L.C.;26;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;8;5;2;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0
;;8;van Persie, W.T.;19;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;9;van der Ham, J.W.;67;0;1;4;1;4;1;1;0;3;0;0;1;0;3;0;18;6;12;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;2;6;0;0;0;0
;;10;Versluis, J.;18;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;3;9;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;11;Boon, C.;14;0;0;0;0;0;2;3;1;2;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;de Weert, A.G.;5;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Nijhof, W.Th.;14;0;0;0;0;0;0;0;0;1;0;0;0;0;7;0;0;0;3;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;14;Barth, L.G.I.;66;0;2;1;1;0;1;0;0;0;0;0;0;0;1;0;20;18;4;5;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;9;0;0;0;0
;;15;van Beek, J.J.;8;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;den Besten, W.;18;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;2;2;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
;;17;de Jong, F.;255;2;3;6;1;8;1;1;0;2;13;11;28;3;44;10;8;9;9;5;0;0;0;1;3;1;2;4;33;12;14;6;0;3;0;2;2;6;0;0;0;0;0;2
;;18;de Jong, M.J.;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;6;4;2;1;0;0;0;0;1;0;0;0;0;0;0;0
;;19;Verburg, J.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;20;Voets, A.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Floor, M.;17;2;0;0;0;1;0;0;0;0;2;0;0;1;1;0;1;3;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0
;;22;Boon, T.P.C.;13;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;1;4;0;0;0;0;0;0
;;23;Mudde, J.;12;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;van der Sluijs, D.A.;9;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0
;;25;de Jong, L.;17;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;7;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Weijers, K.M.A.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;de Jong, T.M.;12;0;0;0;0;2;0;0;0;0;0;1;0;0;3;0;0;0;2;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;28;van der Werf, J.J.;4;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Speksnijder, J.;25;0;0;1;0;0;2;0;0;0;0;6;5;0;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0
;;30;Eikelboom, P.;14;1;0;1;1;3;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0
4;CDA;;;2687;91;19;48;35;80;56;31;42;45;43;88;112;43;95;65;44;159;34;110;163;96;78;54;87;105;110;100;76;90;51;63;12;14;8;17;42;83;12;29;44;64;27;22
;;1;Bultman, H.C.;1217;24;4;13;13;22;31;16;24;23;19;50;58;21;16;26;11;31;10;31;111;58;46;29;59;55;48;46;38;31;38;25;2;5;4;12;17;43;2;4;34;38;12;17
;;2;Advocaat, M.L.;214;7;0;2;1;2;3;1;1;1;0;1;0;2;1;0;27;107;15;1;0;0;2;0;0;1;0;0;1;2;0;2;2;0;0;0;1;0;7;23;0;0;1;0
;;3;Moné, F.J.J.;122;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2;0;0;1;0;28;18;14;8;5;22;0;1;0;0;1;0;0;0;0;0;2;0;0;0;4;14;0;0
;;4;Stouthart, M.T.;105;1;0;0;0;2;0;0;0;0;9;18;18;2;0;17;0;4;1;1;0;6;1;4;0;1;1;1;0;1;0;1;0;0;0;0;4;11;0;0;1;0;0;0
;;5;Lebbink, P.Q.;216;37;13;28;18;45;7;6;4;2;0;1;0;3;1;3;2;2;1;0;2;3;1;6;0;1;1;0;1;2;1;0;8;8;0;2;2;2;2;1;0;0;0;0
;;6;Belder, M.B.S.;95;0;0;0;0;0;1;0;4;1;0;3;5;1;52;1;0;0;0;0;0;0;0;1;4;1;1;3;3;5;0;3;0;0;0;0;0;3;0;0;0;1;2;0
;;7;Larooij, K.;111;5;0;1;0;1;0;0;0;1;0;0;0;2;2;1;0;1;0;4;0;0;0;0;0;0;4;6;16;35;5;21;0;0;0;0;1;0;0;0;0;0;3;2
;;8;Schep, J.A.;116;7;0;1;0;3;0;2;1;1;3;7;10;1;12;7;1;4;0;2;0;1;1;1;1;0;3;2;6;1;2;4;0;1;0;0;10;16;0;0;3;1;1;0
;;9;Verheuvel, N.H.;26;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;3;2;4;8;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0
;;10;Eijgenraam-Reedijk, I.M.;46;0;0;0;2;0;1;0;1;0;0;1;0;1;1;2;0;0;1;1;0;0;0;0;0;1;2;4;9;10;1;5;0;0;0;0;0;0;1;0;0;0;2;0
;;11;de Groot-Opschoor, A.;51;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;46;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;van Amerongen, H.J.;7;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;13;Nuijs, B.J.;15;4;0;0;0;0;0;0;0;0;2;0;8;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;14;de Jong, A.;20;0;0;0;0;0;0;0;0;0;4;1;5;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;2;4;0;0;0;0;0;0
;;15;Prins, J.;12;2;2;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;16;Eikenboom, M.C.E.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;17;de Goeij, J.T.M.;62;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2
;;18;Huizinga, J.;17;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;3;3;1;4;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Rook, T.;41;1;0;0;0;0;9;6;6;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0
;;20;Hoogendijk, C.J.;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
;;21;Burgert, G.J.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;22;Teeuwen, K.;11;0;0;0;0;0;0;0;0;0;1;4;0;2;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
;;23;Posthuma, Y.C.;22;0;0;0;0;1;0;0;0;0;0;0;1;0;0;2;0;0;0;0;5;1;1;1;3;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0
;;24;Hogerwerf, J.P.M.;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;21;12;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
;;25;Visser, A.M.;5;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Verkuil, I.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Bikker-van Eck, M.;8;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Hoogendoorn, S.A.;15;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;1;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;29;Slingerland, J.M.C.;7;0;0;0;0;0;0;0;0;0;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;30;Vonk Noordegraaf, A.;5;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;Tuls, G.C.;3;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;32;Vermeulen, L.J.;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0
;;33;Lebbink-Mudde, E.S.C.;3;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;van den Brule-Heuvelman, E.;11;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;Dekker, J.R.;9;0;0;0;0;0;0;0;0;0;1;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;36;Holst-Brink, M.;13;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;3;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0
5;Pro Krimpenerwaard;;;2917;76;34;55;31;46;85;65;84;62;24;37;68;85;66;41;44;90;51;141;172;147;144;85;136;121;92;177;53;68;30;34;22;31;24;45;22;39;17;17;54;104;37;61
;;1;Struijs, A.;1101;23;18;27;11;23;28;20;28;26;11;14;43;43;27;22;16;26;17;24;66;59;68;40;59;47;8;20;17;37;19;16;10;17;14;20;10;19;5;2;28;55;10;8
;;2;Klomp-Lever, P.C.M.;584;22;5;16;4;6;14;10;15;6;1;2;7;22;26;5;5;15;13;17;52;41;40;21;41;39;6;13;18;9;4;9;3;6;2;8;2;8;5;3;11;28;3;1
;;3;Vriezen, B.J.;83;1;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;3;0;17;30;1;8;0;2;0;0;1;0;0;0;0;0;0;0;3;12
;;4;Oskam, T.;186;1;0;0;0;0;1;1;1;0;0;1;1;1;0;0;1;3;1;3;1;2;0;0;0;1;42;70;1;3;3;2;0;0;0;0;0;0;0;0;0;0;14;32
;;5;Ernst, R.;118;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;6;93;2;0;2;0;0;1;0;2;3;1;0;1;0;0;0;0;0;0;0;1;0;0;0;2
;;6;van Schaik, J.;136;6;4;4;8;8;2;3;0;0;0;1;1;3;0;1;0;1;0;0;2;3;1;2;1;3;15;34;2;5;2;2;5;3;1;0;0;1;0;0;0;2;6;4
;;7;Lever, C.C.;138;5;1;0;1;3;4;2;1;3;1;0;1;4;4;0;0;0;4;1;18;19;17;9;8;4;3;1;7;2;1;0;0;0;0;1;0;0;0;0;5;6;1;1
;;8;Tol, M.E.T.;10;1;0;1;1;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;9;Klinge, N.L.;126;4;0;4;1;4;0;3;0;0;11;16;15;8;6;12;0;0;0;1;0;0;0;2;1;1;0;5;2;0;0;2;0;3;1;1;10;11;1;0;1;0;0;0
;;10;Demper, N.;83;2;1;0;2;1;2;0;0;0;0;0;0;0;2;0;17;32;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;6;8;0;0;0;0
;;11;Huffmeijer, L.M.C.;27;2;0;0;0;0;1;0;0;0;0;0;0;2;1;0;0;2;0;0;6;0;1;1;0;2;1;1;2;1;0;0;1;0;0;1;0;0;0;0;0;2;0;0
;;12;van Veen, R.;12;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0
;;13;de Laet, E.A.;59;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;7;11;6;4;11;9;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;4;0;0
;;14;Agatz, O.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
;;15;Postma, A.M.;27;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;5;8;2;0;0;0;1;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;3;0;0;0;0
;;16;Oldenhof, R.E.;150;7;4;2;2;0;30;24;35;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;13;0;0;0;0;0;0;0;0
;;17;Walet, J.;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;18;Hamberg, A.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Schuijff, P.C.;19;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;6;2;1;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0
;;20;van Engelen, A.J.;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;7;3;5;4;7;5;0;1;0;1;1;0;0;0;0;0;0;0;0;0;3;1;0;1
6;Lokaal op 1;;;1005;103;58;71;45;58;106;104;64;63;0;1;8;4;3;3;12;31;11;8;4;8;4;6;13;5;5;8;9;8;1;7;43;69;25;22;2;1;3;6;0;1;0;2
;;1;Slöetjes, E.J.;308;32;13;18;11;18;34;17;13;25;0;1;8;3;1;1;5;16;4;5;2;4;3;4;6;4;1;4;7;4;1;5;9;10;7;4;0;1;1;3;0;1;0;2
;;2;Gabeler, P.H.;30;0;2;0;3;2;1;8;2;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;6;0;0;0;0;1;0;0;0;0
;;3;van Veen, J.H.;66;5;7;17;2;11;2;1;1;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;12;0;1;1;0;0;0;0;0;0;0
;;4;Ronkes, S.I.;73;4;3;1;2;0;14;12;3;5;0;0;0;0;1;0;3;3;2;1;0;1;1;0;3;0;2;3;0;1;0;0;2;3;2;1;0;0;0;0;0;0;0;0
;;5;Verwoert, J.;162;21;15;13;12;6;5;15;8;9;0;0;0;0;1;0;2;1;1;2;0;2;0;1;0;0;2;0;0;1;0;1;20;20;3;0;1;0;0;0;0;0;0;0
;;6;Hendriks, M.;50;0;2;1;1;0;10;15;7;7;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3;0;0;0;0;0;0;0;0
;;7;Goudswaard, M.;114;7;1;2;0;2;25;26;20;10;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;3;11;0;0;0;1;0;0;0;0
;;8;van den Berg, M.C.C.;29;0;2;7;2;0;1;2;0;1;0;0;0;0;0;0;0;2;1;0;0;0;0;0;3;0;0;1;0;1;0;0;1;4;1;0;0;0;0;0;0;0;0;0
;;9;Hofman, A.;70;14;6;5;5;8;1;2;2;1;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;6;12;0;1;0;0;2;0;0;0;0;0
;;10;Zwijnenburg, J.A.;18;8;3;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0
;;11;van Vliet, N.D.J.;29;6;3;2;4;5;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;2;0;0;0;0;0;1;0;0;0;0
;;12;van der Wal, B.;39;4;0;3;1;4;8;4;7;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;1;0;0;0;0;0;0;0;0
;;13;van Heukelom, E.F.;17;2;1;0;1;2;5;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
7;ChristenUnie;;;1907;19;14;30;15;31;34;42;30;30;37;66;84;12;122;39;70;111;68;122;95;48;47;42;70;71;31;21;72;66;34;61;8;13;21;22;34;66;16;12;20;38;12;11
;;1;van Dorp, A.H.;840;10;10;14;11;11;12;16;9;10;14;26;40;5;17;22;39;65;44;61;18;13;9;9;13;21;17;11;57;47;19;43;4;6;8;10;19;33;10;6;9;5;9;8
;;2;Tom, A.;230;1;0;1;1;0;2;0;0;2;2;0;7;0;0;1;2;2;0;0;47;21;21;17;28;31;0;1;2;2;7;1;1;2;2;0;0;1;1;0;8;16;0;0
;;3;Slob, C.;70;0;3;2;0;1;8;5;14;11;0;0;0;0;1;0;0;5;1;0;0;1;1;3;0;0;0;0;1;0;0;1;0;0;2;6;1;1;1;0;0;0;0;1
;;4;van der Does de Bye, E.;143;0;0;2;0;3;2;0;0;2;0;1;2;1;90;1;4;4;7;0;2;0;2;0;1;0;0;1;2;2;0;1;1;0;0;0;4;5;0;0;2;0;1;0
;;5;de Leede, J.;58;1;0;0;0;0;0;0;0;0;1;4;0;0;1;1;0;0;0;1;12;3;5;3;13;3;2;0;0;0;0;0;0;0;1;0;0;2;0;0;0;5;0;0
;;6;Opschoor, S.;37;0;0;0;0;0;0;0;0;0;2;6;6;3;0;2;2;0;0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;3;6;0;1;0;0;0;0
;;7;Terlouw, K.H.;46;0;1;0;0;2;1;0;1;1;1;12;4;0;1;6;1;0;0;0;0;1;1;0;0;1;0;1;1;1;0;0;0;0;2;0;2;5;0;0;0;0;0;0
;;8;Nieuwenhuizen, F.I.L.;153;6;0;9;3;11;5;19;5;4;3;4;4;2;0;0;6;12;3;3;5;3;2;2;2;1;3;2;1;4;1;2;2;3;4;5;1;3;2;2;0;4;0;0
;;9;Both-Rietdijk, M.G.;44;1;0;0;0;0;0;0;0;0;1;0;3;0;3;2;2;3;2;2;1;0;0;1;1;0;3;2;3;3;0;5;0;0;0;0;1;2;0;0;0;0;1;2
;;10;Snoek, H.C.;22;0;0;0;0;0;0;0;1;0;0;0;3;0;0;1;0;1;1;0;0;1;1;0;2;0;0;2;0;0;7;0;0;0;0;0;0;1;0;0;0;1;0;0
;;11;Burger, A.;31;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;9;11;2;0;0;1;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0
;;12;Hanse, A.;15;0;0;1;0;0;0;0;0;0;2;4;2;0;0;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
