Verkiezing;;Gemeenteraad Kaag en Braassem 2022;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Kaag en Braassem;;;;;;;;;;;;;;;;;;;;;
Nummer;;1884;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Arendshorst;Stembureau De Spreng;Stembureau Gogherweide;"Stembureau Clubgebouw""Door Gunst Verkregen""";Stembureau Dorpshuis Plein 13;Stembureau De Stal Kaag;Stembureau Gemeentehuis(B);Stembureau Clubgebouw Tennisver. Alkemade;Stembureau Schoolhuis;Stembureau Het Spant;Stembureau De Ontmoeting;Stembureau Gebouw Die Twee;Stembureau Gebouw Immanuel;Stembureau Gebouw De Drieluik;Stembureau Gemeentehuis(A);Stembureau De Ontmoeting;Stembureau Gemeentehuis;Stembureau Gebouw Immanuel;Stembureau Gemeentehuis(A)
;;19;Groen, W T P;7;0;0;0;0;2;0;0;0;0;1;0;0;0;0;1;0;2;0;1
;;20;van Emmerik, G C P;66;7;7;12;0;2;1;8;5;2;4;1;2;1;1;7;0;4;1;1
3;CDA;;;2414;165;79;104;75;160;61;79;46;137;236;277;134;178;325;71;91;72;63;61
;;1;de Rijk-de Jong, J.H.M.;1162;93;40;55;51;57;37;33;31;57;190;207;17;48;30;38;73;51;16;38
;;2;Mooren, M.J.H.;327;9;4;12;12;51;15;5;5;9;3;11;8;24;145;2;2;6;3;1
;;3;Hoogendoorn, J.;255;2;0;2;0;0;2;4;1;3;0;5;95;99;1;2;2;0;37;0
;;4;Stikkelorum, R.R.;19;0;3;1;1;0;0;2;1;0;0;0;1;0;1;2;0;2;0;5
;;5;Kempenaar, B.;105;1;0;0;0;4;0;3;0;56;6;14;7;4;0;2;2;0;5;1
;;6;van der Meer, H.C.M.;94;32;6;6;10;0;0;13;3;0;0;2;0;0;0;9;0;5;0;8
;;7;de Rijk, L.M.;61;2;3;4;0;0;1;1;0;4;21;16;0;0;1;1;7;0;0;0
;;8;Wijsman, C.J.M.;13;1;0;0;0;0;0;0;0;1;4;2;0;0;0;0;3;0;2;0
;;9;van Leijden, O.G.M.;193;5;5;3;1;11;0;5;0;4;0;3;6;2;144;1;0;2;0;1
;;10;Kol, J.M.;10;1;2;1;0;0;2;0;1;0;0;0;0;0;0;0;0;1;0;2
;;11;Wesselink, R.;28;0;0;2;0;24;0;0;0;0;0;0;0;0;0;1;0;0;0;1
;;12;Otto, A.J.M.;12;0;4;1;0;0;0;1;1;0;1;2;0;1;0;1;0;0;0;0
;;13;Senne, M.A.J.;16;0;0;0;0;2;1;0;0;3;7;1;0;0;1;0;1;0;0;0
;;14;Akerboom, T.A.;32;4;2;3;0;0;1;9;1;0;0;0;0;0;0;5;0;5;0;2
;;15;Doze, M.E.;18;0;0;0;0;0;0;0;0;0;4;13;0;0;0;0;1;0;0;0
;;16;de Jong, H.J.;24;5;0;2;0;11;0;1;0;0;0;0;0;0;2;3;0;0;0;0
;;17;Stoops, J.V.J.;7;1;0;1;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;1
;;18;van der Kaaden-van Klink, K.A.M.;38;9;10;11;0;0;2;1;2;0;0;1;0;0;0;1;0;0;0;1
4;D66;;;1719;160;96;173;45;88;52;115;70;88;82;72;145;104;71;143;20;100;48;47
;;1;van Egmond, N.G.;633;82;41;73;17;49;9;45;32;16;26;22;19;15;39;74;5;42;4;23
;;2;Wesselman, G.A.;146;15;11;30;5;6;1;24;5;3;2;2;2;2;3;16;0;10;0;9
;;3;Punt, C.A.C.;194;9;9;10;6;5;4;10;1;55;8;9;16;13;9;11;3;11;4;1
;;4;Zwaaneveld, C.W.;48;1;3;14;0;3;2;6;1;1;1;1;1;1;0;3;1;6;0;3
;;5;Kusters, A.C.J.;132;6;0;0;1;6;0;2;2;6;37;28;9;9;5;2;11;4;3;1
;;6;Vijlbrief, S.;160;0;2;1;0;1;1;0;0;4;1;1;75;43;0;1;0;3;26;1
;;7;Loos, E.L.;131;15;12;23;3;8;6;12;10;1;3;3;1;2;7;14;0;5;3;3
;;8;Zeijlemaker, A.P.B.;92;19;6;8;0;4;1;8;6;1;2;1;2;1;6;11;0;9;2;5
;;9;Terraneo, R.;20;0;1;0;1;1;14;0;0;1;0;0;0;1;0;0;0;1;0;0
;;10;van Tol, G.A.;35;5;9;2;3;1;1;2;1;0;0;3;0;1;0;5;0;2;0;0
;;11;Elstgeest, J.;9;2;0;0;0;1;0;3;0;0;0;1;0;0;1;0;0;0;0;1
;;12;Hendriksen, W.C.;6;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;van Haastrecht, E.N.M.;24;2;1;0;9;1;0;1;5;0;0;0;0;0;0;3;0;2;0;0
;;14;van der Willik, J.A.;11;0;0;4;0;1;0;0;0;0;0;0;0;0;0;3;0;2;1;0
;;15;van Gerven, J.M.C.B.;23;2;0;1;0;1;13;1;5;0;0;0;0;0;0;0;0;0;0;0
;;16;Hetzler, M.A.S.;34;0;1;1;0;0;0;0;1;0;0;0;12;13;1;0;0;0;5;0
;;17;Vijlbrief, J.A.;14;0;0;1;0;0;0;0;1;0;0;1;8;3;0;0;0;0;0;0
;;18;Klerkx, D.L.;7;0;0;1;0;0;0;1;0;0;2;0;0;0;0;0;0;3;0;0
5;VVD;;;1625;159;68;83;37;103;52;129;51;134;106;114;88;90;79;122;25;93;28;64
;;1;van Dijk, P.C.;821;92;46;42;22;57;24;88;35;26;20;32;56;47;43;65;8;60;19;39
;;2;Möllers, R.;191;8;3;7;1;2;0;7;2;8;64;50;6;6;3;9;8;2;2;3
;;3;Jong, D.;33;2;0;0;1;2;0;1;0;1;7;11;0;3;1;1;1;1;0;1
;;4;Blom, C.J.;109;0;0;0;0;1;1;1;0;88;1;2;4;7;1;1;1;0;1;0
;;5;Bader, I.J.M.;148;18;5;10;5;5;4;16;4;4;4;3;8;14;11;18;1;7;2;9
;;6;Peperkoorn, R.Q.W.P.;15;1;0;0;3;2;0;2;0;0;2;0;0;0;1;3;0;0;0;1
;;7;van de Ven, M.P.M.;34;2;2;0;0;13;3;0;0;1;0;1;0;1;5;2;0;3;1;0
;;8;Loenen, E.R.;26;0;0;3;1;1;0;2;2;1;0;1;4;6;3;0;0;0;1;1
;;9;van Elderen, W.M.;21;0;2;1;1;0;0;0;0;2;2;6;1;3;0;1;1;1;0;0
;;10;van der Geest, J.J.F.;50;6;6;6;1;3;1;5;2;0;1;2;0;1;5;6;0;5;0;0
;;11;Beelen, H.M.;27;1;1;2;1;6;1;0;0;0;5;2;2;1;0;0;3;0;0;2
;;12;Weinreich, M.;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;13;Adrian-Verbeek, Y;15;1;1;3;0;0;1;1;4;1;0;0;0;0;0;1;0;1;0;1
;;14;Koek, P.J.A.;16;5;0;3;0;0;0;0;0;0;0;0;1;0;0;3;0;1;2;1
;;15;Beelen, L.M.;18;1;0;0;0;9;0;0;1;0;0;3;0;0;2;1;0;0;0;1
;;16;van Duijkeren, H.M.L.;13;3;0;1;0;0;0;2;1;0;0;0;0;0;0;2;0;3;0;1
;;17;Peters-Adrian, Y.;62;14;2;5;1;1;7;4;0;2;0;1;4;0;4;3;2;8;0;4
;;18;Bruijn, J.A.;21;0;0;0;0;1;10;0;0;0;0;0;2;1;0;6;0;1;0;0
