Verkiezing;;Gemeenteraad Hendrik-Ido-Ambacht 2022;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Hendrik-Ido-Ambacht;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0531;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Emmastaete;SOL Admiraal (obs De Bron);St. Hervormde Jeugdfederatie;Wielstaete;Gereformeerde Kerk Open Hof;OBS De Bron;OBS De Bron/De Meander;Sporthal De Ridderhal;Postduivenhoudersvereniging De Luchtbode;Wijkgemeente De Ark;Flatgebouw De Zalmhaven;Zorgorganisatie De Blije Borgh;Sporthal De Sophiahal A;Sophiastaete;Yulius - De Volgerlanden;Sporthal De Sophiahal B;De Voorn;WC de Schoof;Louwersplein;Gemeentehuis;Yulius - De Volgerlanden;Gemeentehuis;Yulius - De Volgerlanden
Gebiednummer;;;;;1;2;3;4;6;7;8;9;10;12;13;14;15;16;17;18;19;20;22;23;301;318;401;418
Postcode;;;;;3342 AE;3341 XD;3342 TA;3341 TS;3341 SP;3342 BS;3343 CB;3343 CB;3341 BE;3343 LG;3344 RP;3344 HD;3341 GD;3344 PL;3344 PK;3344 DD;3344 PL;3344 JA;3341 CE;;3342 AE;3344 DD;3342 AE;3344 DD
;;21;Stoop, G.A.;25;4;8;0;0;2;1;1;0;2;0;1;0;1;0;0;0;0;0;1;0;1;0;3;0
;;22;Slagboom, E.;6;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;2;0
;;23;Fokker, A.;25;7;0;3;2;3;4;0;0;1;0;0;3;1;0;0;0;0;0;0;0;1;0;0;0
;;24;Helmink, W.;14;0;2;0;1;1;0;2;0;2;0;0;0;0;1;0;0;0;0;0;4;0;0;1;0
;;25;Stoop, T.A.;21;0;1;1;1;2;1;0;0;0;8;0;0;2;1;0;0;1;0;0;2;1;0;0;0
2;Gemeente Belangen;;;2122;105;99;100;38;107;66;110;61;65;100;56;64;63;140;82;63;104;52;48;183;129;60;146;81
;;1;Vogelaar, M.N.P.;1253;67;64;57;18;66;41;70;41;43;63;33;27;35;78;43;30;56;25;31;118;80;36;85;46
;;2;Lafleur, R.J.;172;12;9;6;2;8;1;8;4;2;9;7;7;5;8;6;13;10;3;3;11;11;6;15;6
;;3;van der Lei, H.H.F.;97;1;2;4;0;2;2;4;5;3;0;0;5;0;15;10;1;6;1;1;12;5;6;6;6
;;4;Nugteren, M.;106;4;9;13;4;3;4;5;0;3;5;1;6;3;3;4;5;10;1;5;5;2;1;9;1
;;5;Mol, A.;144;8;11;6;6;8;6;4;2;5;13;4;8;6;4;1;8;3;1;2;9;9;2;8;10
;;6;Stoopman, R.M.;82;5;0;8;1;3;0;0;0;1;2;2;6;8;12;7;2;0;4;1;0;6;2;6;6
;;7;Lieben, J.;21;0;0;0;1;0;0;5;0;0;0;0;0;1;0;0;0;3;8;0;1;1;0;1;0
;;8;Allijn, W.;29;2;2;0;2;0;4;2;2;1;0;1;0;3;2;0;0;2;0;0;1;0;0;5;0
;;9;Dossett, J.M.;96;3;1;3;3;5;2;3;2;4;3;4;3;1;10;8;2;5;4;2;15;6;0;5;2
;;10;Peijs, M.A.E.;21;0;0;1;0;0;0;4;0;2;0;1;1;0;2;0;0;1;1;1;0;3;2;1;1
;;11;Tamerus, P.;5;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0
;;12;van Velzen, C.B.J.;15;0;1;0;0;4;4;0;1;0;0;2;0;0;0;0;0;1;1;0;0;0;0;1;0
;;13;Visser, L.;9;1;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;2;1;0;0;0;0;0;1
;;14;Don, C.H.;15;0;0;0;0;1;0;0;0;0;0;0;0;0;1;2;0;4;2;0;0;0;4;1;0
;;15;van Es - de Nies, C.J.;29;0;0;2;0;1;0;2;2;1;2;0;0;0;0;0;1;0;0;0;9;4;1;2;2
;;16;Palte, A.;28;1;0;0;1;5;2;2;1;0;3;0;1;1;4;1;1;1;0;0;2;2;0;0;0
3;CDA;;;1186;60;86;38;63;58;98;30;30;40;39;54;24;57;67;31;45;45;30;26;81;59;14;86;25
;;1;van Die, S.;739;40;53;27;47;35;69;20;14;26;22;38;15;27;45;16;27;25;21;17;35;45;9;51;15
;;2;van der Hee, W.P.;184;9;15;7;5;6;13;4;10;7;2;4;2;18;8;8;7;7;3;6;18;5;2;11;7
;;3;Lagendijk, G.J.W.;89;5;7;2;6;6;6;2;3;0;6;5;2;6;2;1;3;1;1;0;11;5;0;9;0
;;4;Karso, E.;22;1;1;0;0;2;0;0;0;2;2;1;1;0;0;0;2;1;0;1;1;0;0;6;1
;;5;de Waard, H.M.;7;0;0;1;1;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;0;0;0
;;6;Calkhoven, R.M.;20;0;1;0;0;3;2;0;0;0;0;1;1;1;0;0;0;2;0;0;3;1;0;5;0
;;7;Vlasblom, A.L.;59;4;6;1;0;5;3;3;3;2;0;5;1;2;2;1;1;2;2;2;9;2;0;2;1
;;8;Rinkel, P.D.;14;1;0;0;0;0;0;0;0;2;2;0;1;0;0;1;3;2;0;0;0;1;0;0;1
;;9;Wielenga, F.R.;20;0;1;0;4;1;2;0;0;1;1;0;0;2;1;0;2;0;0;0;3;0;1;1;0
;;10;Schop, J.E.;32;0;2;0;0;0;2;1;0;0;3;0;1;1;8;4;0;5;2;0;0;0;2;1;0
4;VVD;;;1895;80;38;91;37;47;60;73;50;57;91;80;55;28;197;74;129;177;75;38;105;66;53;105;89
;;1;ten Seldam, J.;1180;40;23;47;27;31;37;40;28;41;57;58;34;22;114;41;85;102;52;26;67;42;33;77;56
;;2;van den Wollenberg, D.;180;9;3;13;4;2;9;7;9;8;6;7;3;1;17;13;9;17;8;2;7;6;6;4;10
;;3;Verlijsdonk, K.E.A.M.;265;20;6;9;2;10;5;16;9;4;15;12;12;2;36;8;25;27;6;7;5;6;5;6;12
;;4;Ouwerkerk, A.;58;0;0;3;1;2;2;1;2;1;2;0;0;1;4;4;2;4;1;2;10;5;2;7;2
;;5;van der Matten-van den Berg, E.J.;93;3;2;2;2;1;1;5;1;0;3;1;2;0;16;5;4;10;4;1;7;4;6;6;7
;;6;van Dijk, M.G.J.C.;39;1;0;3;1;0;1;2;0;1;2;1;2;0;4;0;1;9;4;0;2;3;0;2;0
;;7;Jansen, J.;7;1;0;0;0;0;0;2;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
;;8;Wijnmaalen, J.;73;6;4;14;0;1;5;0;0;1;6;1;2;0;6;3;3;8;0;0;7;0;1;3;2
5;D66;;;1079;45;41;62;19;31;38;71;35;41;41;39;19;49;86;32;58;67;20;34;73;55;23;56;44
;;1;Gommans, M.C.G.;695;27;23;47;8;12;22;53;29;20;28;18;11;25;59;18;42;44;15;20;51;41;17;32;33
;;2;de Groot, M.;105;7;12;4;5;8;6;4;1;3;3;2;1;16;3;3;5;4;2;2;5;4;0;3;2
