Verkiezing;;Gemeenteraad Nissewaard 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Nissewaard;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1930;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Wijkcentrum Noord;Wijkcentrum Noord;Rivièrabad;Buurthuis De Hoek;De Spaanse vereniging;Theater de Stoep;Gymzaal Mercuriusstraat;Gymzaal Mercuriusstraat;Flat de Serreburgh;Jongerencentrum Westdijk;Gymzaal Verdilaan;Wijkcentrum De Akkers;Wijkcentrum de Kreek;Gymzaal Koolzaaddreef;Dorpshuis Hekelingen;Gymzaal Salamanderveen;Gymzaal Salamanderveen;Gymzaal Vlinderveen;Gymzaal Vlinderveen;Gymzaal Rijnlaan;Gymzaal Rijnlaan;Wijkcentrum M.R. Hoitsemastraat;Wijkcentrum M.R. Hoitsemastraat;Jongerencentrum Maaswijk;Jan Broekhuishal stadhuis;Mobielstembureau;Jongerencentrum Maaswijk;Elementenhuis;Dorpshuis Abbenbroek;De Haveling;voormalig schoolgebouw De Tweespan;De Haveling;De Hoeksteen;Welkomkerk Zuidland;Welkomkerk Zuidland;LTV Zuidland;Zomertuinen/De Es;Flat de Serreburgh;Wijkcentrum de Kreek;Wijkcentrum De Akkers;Theater de Stoep;Roll and Vote;Wijkcentrum Noord;Gymzaal Mercuriusstraat;Wijkcentrum De Akkers;Gymzaal Rijnlaan;Jongerencentrum Maaswijk;Jan Broekhuishal stadhuis;voormalig schoolgebouw De Tweespan;Welkomkerk Zuidland;Wijkcentrum Noord;Gymzaal Mercuriusstraat;Wijkcentrum De Akkers;Gymzaal Rijnlaan;Jongerencentrum Maaswijk;Jan Broekhuishal stadhuis;voormalig schoolgebouw De Tweespan;Welkomkerk Zuidland
;meer stembiljetten dan toegelaten kiezers;;;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0
;minder stembiljetten dan toegelaten kiezers;;;8;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0
;andere verklaring;;;9;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;ONS;;;7961;140;100;150;192;88;56;133;125;108;69;204;142;91;83;253;91;91;130;120;81;90;149;97;302;228;14;249;401;173;253;237;0;42;226;197;157;183;154;118;117;46;80;133;110;171;84;239;136;97;197;97;81;165;45;145;112;83;106
;;1;Hamerslag, M.;2509;53;35;47;53;24;17;36;43;31;31;71;72;29;27;48;28;19;32;29;30;24;54;30;100;85;7;77;139;55;88;61;0;10;53;33;26;69;51;38;40;21;24;45;35;64;35;95;44;15;39;30;25;64;17;69;53;17;22
;;2;Soeterboek, L.C.F.;355;3;5;7;8;5;3;1;3;5;3;11;5;1;2;63;5;5;6;4;4;3;4;2;13;12;1;10;7;12;6;6;0;3;4;5;2;7;8;2;4;0;5;12;4;5;4;10;10;0;6;5;5;13;4;5;3;2;2
;;3;van Halderen, E.C.;969;12;5;15;13;16;7;16;14;8;11;22;12;8;3;11;8;9;10;10;3;9;10;5;29;12;0;28;43;23;59;116;0;8;23;29;18;13;17;9;16;3;7;12;12;13;6;30;6;61;17;5;11;25;5;6;11;52;7
;;4;van der Waal, R.D.;460;4;3;1;1;0;1;5;1;2;1;2;2;1;2;4;0;0;2;1;4;1;3;3;6;3;0;5;10;8;4;3;0;4;66;78;74;1;3;2;2;1;0;1;2;3;1;1;4;2;86;0;0;0;1;0;0;0;45
;;5;Mijnans, J.W.;871;26;14;18;19;18;9;12;6;11;7;23;10;12;14;24;12;11;10;11;9;11;20;12;35;38;1;32;72;10;28;2;0;4;8;0;4;28;15;12;8;8;9;19;12;21;17;33;22;8;4;26;12;13;6;25;11;5;4
;;6;Postma, J.;147;1;4;6;5;1;1;2;10;12;0;4;0;0;1;2;3;1;3;1;2;1;1;0;11;4;0;5;10;0;1;1;0;1;0;1;4;2;15;0;1;0;1;0;5;3;2;6;2;0;0;0;3;0;1;2;5;0;0
;;7;Vis, R.;163;3;0;2;10;0;4;4;2;1;1;2;5;4;6;23;2;3;5;6;1;4;5;0;5;5;0;8;1;0;2;1;0;1;0;0;0;1;2;11;2;0;2;1;6;5;1;2;2;1;0;0;0;7;1;2;1;0;0
