Verkiezing;;Gemeenteraad Nissewaard 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Nissewaard;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1930;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Wijkcentrum Noord;Wijkcentrum Noord;Rivièrabad;Buurthuis De Hoek;De Spaanse vereniging;Theater de Stoep;Gymzaal Mercuriusstraat;Gymzaal Mercuriusstraat;Flat de Serreburgh;Jongerencentrum Westdijk;Gymzaal Verdilaan;Wijkcentrum De Akkers;Wijkcentrum de Kreek;Gymzaal Koolzaaddreef;Dorpshuis Hekelingen;Gymzaal Salamanderveen;Gymzaal Salamanderveen;Gymzaal Vlinderveen;Gymzaal Vlinderveen;Gymzaal Rijnlaan;Gymzaal Rijnlaan;Wijkcentrum M.R. Hoitsemastraat;Wijkcentrum M.R. Hoitsemastraat;Jongerencentrum Maaswijk;Jan Broekhuishal stadhuis;Mobielstembureau;Jongerencentrum Maaswijk;Elementenhuis;Dorpshuis Abbenbroek;De Haveling;voormalig schoolgebouw De Tweespan;De Haveling;De Hoeksteen;Welkomkerk Zuidland;Welkomkerk Zuidland;LTV Zuidland;Zomertuinen/De Es;Flat de Serreburgh;Wijkcentrum de Kreek;Wijkcentrum De Akkers;Theater de Stoep;Roll and Vote;Wijkcentrum Noord;Gymzaal Mercuriusstraat;Wijkcentrum De Akkers;Gymzaal Rijnlaan;Jongerencentrum Maaswijk;Jan Broekhuishal stadhuis;voormalig schoolgebouw De Tweespan;Welkomkerk Zuidland;Wijkcentrum Noord;Gymzaal Mercuriusstraat;Wijkcentrum De Akkers;Gymzaal Rijnlaan;Jongerencentrum Maaswijk;Jan Broekhuishal stadhuis;voormalig schoolgebouw De Tweespan;Welkomkerk Zuidland
;;1;Struijk, W.;1724;29;23;33;59;36;12;30;18;41;24;44;42;18;30;61;27;35;35;31;31;18;29;17;39;57;8;25;53;24;44;29;0;9;13;9;14;59;36;23;38;10;37;33;23;43;29;53;58;15;6;26;21;42;10;39;51;12;13
;;2;Kieboom, D.;367;10;8;16;8;2;1;5;6;4;5;13;16;6;7;6;6;5;6;6;7;5;3;5;13;8;0;4;16;4;12;7;0;3;4;2;2;10;9;3;4;2;4;7;3;18;4;6;13;5;3;4;5;7;2;9;13;1;4
;;3;de Vries, G.;178;1;1;0;0;0;0;1;1;2;0;0;1;4;0;2;1;0;1;1;0;0;0;0;0;1;0;0;1;9;18;10;0;1;24;15;15;0;0;0;0;0;0;1;0;2;0;2;0;7;26;0;0;1;2;0;1;4;22
;;4;Stengs-Nijhof, J.;145;0;2;1;3;3;0;1;4;4;0;2;4;2;1;2;1;0;8;1;3;3;1;1;3;9;0;4;16;2;5;4;0;0;4;3;4;4;2;0;3;0;3;1;2;4;0;3;3;0;0;3;6;1;1;4;3;1;0
;;5;Douma, H.M.;88;0;1;0;0;0;2;0;0;0;1;0;0;0;2;1;3;0;1;0;0;0;0;0;2;1;1;0;0;1;1;1;0;0;8;3;13;3;0;1;3;0;0;0;0;1;0;3;4;0;9;0;0;5;1;2;4;0;10
;;6;Heijdacker, W.;251;4;3;6;6;2;1;3;5;5;4;6;3;3;2;0;0;2;11;5;14;8;6;3;3;7;1;0;19;0;1;0;0;1;3;0;0;12;6;8;1;2;5;8;5;5;14;7;5;1;1;2;3;7;4;3;15;0;0
;;7;van der Bend-van Ammers, A.M.;64;0;2;0;3;4;0;0;1;1;0;2;3;0;3;0;2;1;1;3;0;1;2;5;6;0;0;1;1;0;0;0;0;0;0;0;1;2;1;2;1;0;3;4;0;2;0;3;1;1;1;0;0;0;0;0;0;0;0
;;8;Warmerdam, R.;50;1;1;0;1;0;0;0;1;0;1;1;1;8;2;4;0;0;0;0;1;1;0;2;1;0;0;0;2;0;1;0;0;0;0;2;0;1;1;3;0;0;0;0;1;3;0;0;5;0;0;0;0;0;0;2;3;0;0
;;9;Cijntje, J.G.;181;2;2;3;12;0;1;3;2;4;1;20;13;3;6;1;1;0;1;3;0;3;1;2;5;12;0;7;3;0;2;0;0;0;1;2;2;5;5;3;16;0;4;2;4;7;0;3;3;1;0;1;2;3;0;0;3;1;0
;;10;Strijaards, S.;43;1;0;0;1;1;0;0;0;1;0;4;6;3;7;4;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;0;0;2;1;0;3;1;0;0;0;0;1;0;0;0;0;0
;;11;de Zwart-van Sluijs, C.L.;60;0;0;1;1;2;0;3;1;0;1;1;1;1;0;31;0;0;2;0;0;0;0;0;1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;2;1;0;1;0;0;0;0;1;3;0;0
;;12;Mohamed, M.;69;7;3;0;1;0;0;0;5;0;1;1;2;3;4;0;0;0;0;0;0;1;0;0;1;6;0;2;1;0;1;2;0;1;1;1;0;0;0;2;7;0;0;0;1;5;0;0;2;0;0;2;1;2;0;1;2;0;0
;;13;Murray, D.D.;44;0;1;1;2;2;1;0;0;0;0;3;1;1;1;1;0;0;0;1;0;0;1;1;4;5;0;3;1;1;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;1;2;1;1;0;0;0;0;1;0;2;2;0;0
;;14;Esteve Rial, M.;55;1;1;3;3;0;0;0;0;3;0;1;0;1;0;0;0;0;0;1;0;0;5;1;8;1;0;6;1;0;0;0;0;0;0;0;0;0;0;0;2;1;2;1;1;0;0;0;1;0;0;1;1;1;0;7;1;0;0
;;15;Versluis, P.;16;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;2;1;0;0;0;0;0;0;0;0;0;0
;;16;Trinidad, B.Z.;19;0;0;0;2;0;0;0;0;0;0;5;1;0;2;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
;;17;van Dijk, A.J.;17;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;3;1;0;0;0;0;0;0;0;0;4;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;2;0
;;18;Zuidmulder, L.;26;1;1;0;1;0;0;0;0;1;0;4;0;2;2;0;0;0;0;2;0;1;0;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0
;;19;Ergül, A.;71;3;3;8;1;0;0;1;0;6;1;0;1;0;1;0;1;0;1;1;1;1;0;0;3;4;0;3;3;0;0;0;0;0;0;0;0;0;2;0;2;0;5;8;1;1;0;0;0;0;0;7;0;1;0;0;1;0;0
;;20;de Graaff-van Winkelhof, M.;26;0;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;16;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0
;;21;Kuijper, P.;6;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;22;de Vries-Boutkan, W.M.;21;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;1;0;0;0;0;0;0;0;0
;;23;Hanssen, M.;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;van Brakel, M.A.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;25;Wesseling, M.M.T.;21;0;0;0;0;0;0;0;0;1;2;0;2;1;0;0;0;1;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;0;2;0;2;0;0;0;0;0;0;0;3;0;0;0;0;0
;;26;Vollering, W.P.L.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Wittenberg, J.;12;1;0;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Correia, M.V.;18;1;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;2;0;0;1;0;0;1;0;0;1;0;0;0
;;29;Manintveld, A.;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;30;de Bruin-Wassink, R.J.M.;11;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;31;Martes, R.J.;23;1;1;1;0;0;1;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;1;1;0;0;0;0;1;1;3;0;1;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0
;;32;van Kammen, W.F.;10;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;2;0;0;0;0;0
;;33;van Zanten, M.;25;0;2;1;1;0;1;2;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;1;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;3;0;2;0;0;1;0;0;0;0;2;0;0;2;0;0
;;34;Koning, A.W.S.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;Brons, J.G.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;Daams, F.;14;1;0;0;0;0;0;0;0;2;0;0;0;0;1;2;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0
;;37;Egeter, N.;13;0;0;1;0;1;0;1;0;0;0;2;2;2;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;Moeken, G.P.F.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
;;39;Wildenbeest, F.;13;0;0;0;0;0;0;0;0;3;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
;;40;Fer, T.K.;10;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;41;Hussein, M.A.H.;40;1;1;0;1;0;0;0;0;3;0;0;1;3;0;0;1;0;0;6;0;0;0;0;0;6;0;0;0;0;0;0;0;0;1;2;0;0;1;0;1;0;0;0;0;5;0;0;2;0;0;0;0;3;0;2;0;0;0
;;42;Waasdorp, E.;20;0;2;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;3;0;1;1;0;2;0;1;0;1;0;0;0;0;0;3;0;0;1;0;0
;;43;Kornaat, M.;4;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;44;Harmsen, R.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;45;Struijk, A.;13;0;0;1;0;0;0;0;1;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;2;0;0
;;46;Witte, G.T.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;47;Broekmeulen-van Enkhuijzen, S.M.;19;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;2;2;0;0;1;0;0;0;2;0;1;0;0
;;48;Rietdijk, G.J.;13;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;2;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;1;0;0;0;0;0;0;0
;;49;Murray-Bolt, M.;19;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;3;0;0;1;0;1;0;0;3;0;0
;;50;Alibegić, D.;29;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;1;6;1;0;2;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;2;0;0;1;1;0;0;1;2;0;1;0;0;0;0;0
3;PVV (Partij voor de Vrijheid);;;3040;71;65;81;93;25;14;50;34;77;34;78;85;62;67;78;35;32;69;86;50;38;53;50;101;95;12;104;83;50;63;74;0;22;48;53;17;70;75;68;68;26;26;47;35;62;28;64;50;27;28;33;34;82;27;59;32;21;29
;;1;Verweij-Talboom, A.T.M.;2112;49;48;57;65;19;10;27;20;56;21;54;53;46;52;61;24;20;52;71;27;27;44;43;70;75;9;87;63;30;33;33;0;15;29;30;10;42;51;39;45;15;20;30;27;48;19;43;37;14;20;26;27;58;18;42;27;12;22
;;2;van Boven, F.W.O.;261;4;1;6;8;1;2;4;1;5;2;2;6;2;2;2;3;1;2;1;1;0;1;0;6;4;0;7;4;14;20;35;0;2;9;18;5;6;5;2;4;2;2;3;0;5;1;5;3;8;3;3;6;4;2;5;0;7;4
;;3;Molenaar-Frances, G.M.;127;6;1;3;3;1;0;1;0;2;3;4;3;0;5;6;1;0;2;2;3;4;3;1;6;5;1;1;5;0;1;3;0;1;5;0;2;8;0;0;2;3;0;3;0;3;1;4;2;3;0;1;0;8;2;2;1;0;0
;;4;van Dongen, J.W.;134;1;3;5;5;3;0;3;3;4;2;3;6;5;3;1;1;5;5;5;6;1;0;0;3;2;0;2;5;4;2;1;0;1;0;2;0;0;4;6;1;1;0;3;2;2;1;5;4;0;1;1;1;3;0;5;2;0;0
;;5;Suarez Velasquez, J.A.;98;1;3;1;5;1;0;5;4;7;0;4;5;1;1;2;0;0;1;3;3;1;1;1;4;7;0;2;1;0;3;0;0;0;1;2;0;3;9;3;2;0;1;0;2;1;1;0;2;0;0;0;0;2;0;2;0;0;0
;;6;Orth-Dits, L.;49;1;1;0;2;0;0;0;0;0;0;1;0;3;0;0;3;0;2;2;3;0;1;2;4;0;2;2;2;0;0;1;0;1;2;0;0;1;1;0;2;0;0;2;2;0;0;0;0;0;3;0;0;1;2;0;0;0;0
;;7;Vissers-Maertens, T.J.M.;50;1;0;5;0;0;1;2;1;2;2;3;3;0;1;1;0;2;2;0;2;2;2;1;0;0;0;0;2;0;0;0;0;0;2;0;0;1;1;3;2;2;0;1;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0
;;8;Balk, R.J.J.;77;3;5;1;1;0;0;3;5;1;0;2;2;2;1;3;1;3;0;1;0;0;0;1;3;0;0;1;0;2;0;0;0;0;0;0;0;1;1;7;6;3;1;3;2;2;0;2;0;0;0;2;0;1;0;1;1;2;1
;;9;Verhoeven, M.;132;5;3;3;4;0;1;5;0;0;4;5;7;3;2;2;2;1;3;1;5;3;1;1;5;2;0;2;1;0;4;1;0;2;0;1;0;8;3;8;4;0;2;2;0;1;5;5;2;0;1;0;0;5;2;2;1;0;2
4;Nissewaard Lokaal;;;3389;65;82;60;97;41;28;42;37;53;42;105;70;90;56;66;42;45;56;57;70;46;69;39;154;106;6;129;129;48;55;38;0;42;47;38;34;110;71;68;72;24;33;81;25;91;73;96;88;10;31;39;39;70;62;57;40;3;22
;;1;Hottentot, C. A.;1801;37;51;34;54;30;11;25;17;34;21;55;42;53;31;40;25;26;29;34;29;17;39;19;83;60;4;72;69;30;27;25;0;7;13;16;14;56;36;39;43;11;18;44;14;49;24;51;49;6;14;23;23;43;32;28;18;1;6
;;2;Smeding, K.;187;1;2;6;5;3;2;2;3;4;1;8;4;5;3;9;3;7;2;4;3;0;4;2;9;9;0;4;14;1;4;0;0;0;0;1;1;1;8;2;2;2;2;4;1;4;2;10;5;0;1;1;2;3;4;6;1;0;0
;;3;Seker, F. P.;105;0;1;2;6;0;0;1;0;0;0;2;1;6;0;0;0;0;1;0;3;1;11;4;3;4;1;3;8;0;1;0;0;0;0;0;0;3;8;1;3;2;1;2;1;4;2;8;5;0;0;1;1;0;0;2;2;0;0
;;4;den Daas, T. C.;103;4;1;1;3;1;2;0;0;0;0;2;2;1;2;3;1;0;2;1;1;4;3;1;7;0;0;5;1;0;2;0;0;0;2;0;1;6;0;1;3;1;2;3;0;1;13;0;3;0;0;0;1;1;11;4;0;0;0
;;5;den Daas-Groenenboom, G. M.;314;6;7;6;10;4;4;3;3;2;5;17;8;12;4;5;6;4;8;7;5;1;5;6;15;12;1;14;8;1;0;2;0;1;5;3;0;7;6;11;7;4;2;7;2;11;4;7;12;0;0;3;3;7;4;7;10;0;0
;;6;van Schijndel, R.;155;4;4;1;2;0;1;5;3;5;3;1;3;0;2;0;1;2;0;1;16;13;2;2;3;2;0;5;2;0;0;0;0;1;0;0;0;12;2;0;0;2;3;5;4;2;16;3;2;0;2;1;2;3;7;1;4;0;0
;;7;Mensink-Boers, E.;157;2;3;0;0;0;1;2;1;1;3;0;0;3;6;1;3;1;6;1;4;1;2;0;5;4;0;6;5;4;11;8;0;31;3;1;2;4;3;2;6;1;0;1;0;2;0;5;3;0;0;0;1;4;0;0;0;2;2
;;8;Poelman, M. A.;126;2;4;4;6;0;3;2;4;2;3;7;2;1;5;2;0;2;2;3;0;3;2;3;5;4;0;8;7;3;0;0;0;1;2;0;1;5;1;3;3;1;1;2;0;2;1;4;1;0;0;1;0;4;0;3;1;0;0
;;9;Vermeulen, J. A. S.;58;4;1;1;0;2;1;0;1;0;0;2;3;1;0;0;2;1;2;2;5;0;0;0;5;3;0;1;1;0;0;0;0;0;0;0;0;2;3;2;1;0;0;1;0;4;1;1;2;0;0;0;1;1;0;1;0;0;0
;;10;Oudekerk, G. E.;20;2;2;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;1;0;1;0;0;2;0;1;0;0;0;0;0;0;0
;;11;van Vliet, M. J.;10;0;0;0;0;0;0;0;0;0;0;0;1;2;1;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;12;Hottentot-Rasenberg, L.;58;0;0;1;3;0;0;1;3;0;5;4;0;2;1;1;0;1;0;0;1;1;1;1;2;1;0;1;3;1;0;0;0;1;1;0;0;3;0;0;0;0;1;4;2;2;2;1;0;0;0;0;2;1;2;1;1;0;0
;;13;van Vliet, A. M.;20;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;2;1;0;1;0;0;0;0;3;0;1;0;0;0;0;1;2;1;1;0;0;0
;;14;Alğan, K.;96;2;2;3;5;0;3;0;2;1;0;1;1;0;0;0;0;0;1;0;2;5;0;0;10;5;0;8;6;0;1;0;0;0;0;0;0;8;1;2;1;0;2;2;0;2;3;3;4;0;0;4;0;0;1;2;3;0;0
;;15;de Bruijn-van 't Hof, I. A. W.;114;0;1;0;0;0;0;1;0;0;0;1;1;1;1;3;0;0;1;1;0;0;0;0;1;0;0;1;0;6;7;3;0;0;21;17;13;0;1;1;0;0;0;2;0;0;0;0;1;2;14;0;1;0;0;0;0;0;12
;;16;Muntz, L.;65;1;3;0;2;1;0;0;0;3;0;4;1;3;0;1;1;1;1;1;0;0;0;1;3;2;0;1;4;1;2;0;0;0;0;0;0;1;1;1;1;0;1;2;0;5;4;2;1;0;0;4;1;1;0;1;0;0;2
5;VVD;;;1866;25;23;29;32;15;12;15;21;25;10;28;23;24;29;55;22;26;27;22;24;12;31;21;107;40;2;80;77;71;70;63;0;37;50;50;48;34;30;16;20;11;12;13;13;37;6;83;44;31;58;14;29;37;14;35;29;24;30
;;1;Bal, I S;963;13;10;20;17;11;8;7;16;8;6;18;7;17;15;28;11;17;18;14;14;6;18;13;55;28;1;46;45;25;23;19;0;13;19;9;18;27;12;11;7;8;10;10;9;27;4;47;29;8;26;9;21;19;2;20;24;9;11
;;2;Speters, D;55;0;1;0;0;0;0;2;0;1;1;0;1;0;1;1;0;2;1;2;0;1;0;0;5;3;0;9;2;1;3;0;0;0;2;1;0;1;1;1;0;0;0;0;1;1;0;4;0;1;1;0;0;0;1;1;2;0;0
;;3;Twisker-Pijnacker, A M;282;8;3;3;6;3;1;2;2;4;3;7;8;5;3;12;5;2;3;0;4;1;2;4;20;2;1;8;12;9;8;22;0;2;2;9;2;3;9;1;5;0;1;1;3;2;1;7;5;9;5;2;4;11;5;8;3;8;1
;;4;van Soest, M;26;1;0;0;2;0;0;1;0;0;0;0;1;0;6;1;0;0;0;0;0;0;0;0;2;1;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;2;0;0;0;1
;;5;Riet, J T;72;0;5;0;0;0;0;0;1;3;0;0;1;0;0;3;0;0;0;0;0;0;1;0;2;0;0;0;2;8;0;2;0;3;8;6;4;0;1;0;0;2;0;0;0;2;0;3;0;0;5;2;1;0;1;0;0;0;6
;;6;van Duijn, D T;43;1;0;0;1;1;0;1;0;1;0;0;1;0;0;3;1;0;0;1;2;0;2;1;4;1;0;3;1;1;2;0;0;0;0;0;0;0;0;0;3;0;1;2;0;2;0;2;1;0;0;0;0;2;0;1;0;0;1
;;7;Seesing, A;15;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;5;0;0;2;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;8;van Baren, M L J;48;0;0;1;0;0;1;0;0;0;0;2;0;1;0;4;0;0;1;0;2;0;2;2;5;3;0;5;2;0;3;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;2;0;0;0
;;9;van Akkeren, R G A;10;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;2;1;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;10;Vermeij, N;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;11;van der Giessen, T;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;6;2;7;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0
;;12;Sprong, J M G;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;2;2;0;1;6;10;5;1;0;0;2;0;0;0;0;0;0;1;1;1;10;0;0;0;0;0;0;0;6
;;13;Weber, A H J;32;0;3;0;1;0;1;1;1;0;0;0;0;0;1;0;0;1;0;0;1;0;3;0;4;0;0;5;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;5;0;0;0;0;1;0;0;0;0;0;0
;;14;Stinissen, D A;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
;;15;Beetstra-Snoeij, H A;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;1;0;0;0;1;0
;;16;Willighagen, A K;5;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;17;van der Stelt, W C;13;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2
;;18;Noordzij, D D;34;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;3;11;0;0;2;1;2;0;0;0;0;0;0;0;0;1;0;0;0;7;0;0;0;0;0;0;0;4;0
