Verkiezing;;Gemeenteraad Zwijndrecht 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Zwijndrecht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0642;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;Spektakel Zwijndrecht;Verenigingsgebouw 'P.V. Steeds Sneller';Kerkgebouw de Hoeksteen;Wijkgebouw 't Klankbord;Gymzaal Welhorst;Capital Sports 'Rob Sterkenzaal';Develhal;NS Station Zwijndrecht;Wijkcentrum Xiejezo;De Nederburgh / Lunenburg;Gymzaal Hart van Meerdervoort;Dorpshuis Heerjansdam;Sporthal Den Dam;Wijkcentrum Kubiek;Kerkgebouw Develhof;Gymzaal Lunenburg;Kerkgebouw de Hoeksteen 2;Gemeentehuis 2;Spektakel Zwijndrecht 2;Wijkcentrum Xiejezo 2;Gymzaal Hart van Meerdervoort 2;Wijkcentrum Kubiek 2;Wijkgebouw 't Klankbord 2;"Locatie ""Nebo""";"Locatie ""Swinhove/Ambachtstaete""";Gemeentehuis maandag;Spektakel Zwijndrecht maandag;Develhal maandag;Sporthal Den Dam maandag;Gemeentehuis dinsdag;Spektakel Zwijndrecht dinsdag;Develhal dinsdag;Sporthal Den Dam dinsdag
;;3;Moorman, C.;299;12;10;20;13;16;9;13;9;14;7;10;10;4;8;13;10;4;11;7;7;5;6;13;7;0;1;7;7;7;2;13;16;7;1
;;4;de Jong, A.;539;2;3;1;2;3;2;1;2;1;3;2;5;129;178;7;4;1;3;5;1;1;3;1;4;0;0;2;0;2;58;3;2;1;107
;;5;de Kool, A.A.;646;42;33;34;28;35;33;12;22;39;12;18;8;3;1;24;25;4;17;31;21;23;16;25;37;0;1;15;14;6;2;26;15;22;2
;;6;Loos, T.;117;6;1;1;2;21;3;4;7;7;0;5;3;2;0;3;4;1;1;4;3;3;4;2;13;0;2;5;1;1;1;3;0;4;0
;;7;Barendrecht, X.D.;273;16;4;8;4;17;8;11;6;5;3;15;10;6;7;10;11;4;13;9;7;8;7;7;20;0;0;7;5;9;0;9;6;15;6
;;8;Pennings, R.P.F.;87;2;1;4;5;5;7;3;3;2;0;2;0;0;0;7;2;3;8;5;3;1;0;2;1;0;0;2;8;2;0;3;4;2;0
;;9;van Genderen, H.K.R.;36;1;0;1;1;0;0;3;1;1;1;1;0;0;2;0;2;0;0;1;1;3;0;0;1;0;0;3;6;1;1;1;2;2;0
;;10;Kahveci, N.;349;13;2;1;0;2;1;26;14;12;64;14;16;0;0;8;4;0;1;11;9;66;27;9;7;0;1;15;3;5;0;7;2;9;0
;;11;Penning, G.A.T.;73;2;7;3;4;3;0;1;0;1;0;0;0;0;0;6;3;0;7;3;3;2;1;2;2;0;1;0;7;3;0;1;3;8;0
;;12;Rietveld, W.J.;79;3;3;4;4;6;0;4;5;1;2;1;4;0;0;4;8;0;0;5;4;1;3;1;1;0;0;5;0;0;1;2;2;5;0
;;13;van Wingerden, M.S.;51;2;1;2;2;2;3;1;5;3;1;1;3;1;0;0;2;0;1;2;0;0;4;2;4;0;0;1;1;0;1;3;3;0;0
;;14;Bosklopper, S.H.Y.;79;5;4;5;2;2;3;4;2;3;2;1;2;0;1;4;2;0;4;5;1;2;1;5;5;0;0;2;3;2;0;2;3;2;0
;;15;van Delden, M.;17;2;0;2;0;0;0;1;0;3;2;1;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;2;0;0;0;0;0
;;16;Groenewoudt, D.;42;2;1;2;0;5;0;1;1;2;0;2;1;0;1;1;2;3;0;2;0;0;4;3;1;0;0;2;0;1;3;0;1;1;0
