Verkiezing;;Gemeenteraad Molenlanden 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Molenlanden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1978;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;De Spil;Verenigingsgebouw Diakonia;Beréa Jeugdgebouw;De Schommel;De Overstap;`t Wingerds Hof;Dorpshuis Ottoland;De Multistee;Sporthal De Reiger;Hof van Ammers;CBS Eben Haëzer Nieuwpoort;Koningskerk;Dorpshuis De Vijf Lelies;Verenigingsgebouw Het Anker;Sporthal De Klipper;IJsclub De Molenhoek;Ontmoetingskerk;Brede school;Partycentrum De Klok;Gemeentekantoor;MFC De Commanderij;Zalen- en partycentrum De Til;De Oude School;Zalencentrum `De Stigt`;MFC Noorderhuis;MFC Den Hoek;MFC De Lingehof (1);MFC De Lingehof (2);Sporthal De Reiger;Sporthal De Reiger;De Spil;De Spil;IJsclub De Molenhoek;IJsclub De Molenhoek;Gemeentekantoor;Gemeentekantoor
;andere verklaring;;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
1;Doe mee! Molenlanden;;;6728;105;88;154;118;118;69;65;123;253;333;358;272;326;169;287;146;207;348;107;276;287;333;88;202;266;220;433;429;60;115;23;34;60;118;62;76
;;1;van de Graaf, J.;1604;36;29;95;38;34;54;28;13;112;164;78;52;75;41;69;34;51;48;36;37;23;60;27;32;32;67;37;36;32;50;10;14;14;26;8;12
;;2;Buddingh, B.J.;583;3;2;5;1;2;1;4;0;0;2;2;9;3;1;1;0;1;5;4;17;12;13;5;8;11;37;211;211;0;2;0;0;0;1;4;5
;;3;Kok, N.E.;357;52;43;32;33;13;9;11;1;3;9;7;4;13;8;11;0;5;8;6;5;3;20;6;3;5;6;4;8;1;2;7;16;0;2;0;1
;;4;Quik, J.;744;1;1;5;1;4;0;0;2;0;0;2;0;5;2;135;84;126;217;52;2;0;0;0;1;0;1;0;0;1;3;0;0;38;60;1;0
;;5;de Lijster, J.H.M.;64;0;0;0;0;0;0;1;57;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;1;0;0;0;0;0
;;6;Brokking, R.A.G.;196;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;0;1;0;0;6;149;2;0;2;0;3;14;7;0;0;1;0;0;0;3;4
;;7;van Rijn, R.J.;434;0;0;1;0;0;2;0;1;6;6;1;1;0;0;1;0;0;1;1;2;5;215;41;127;3;3;0;3;1;2;0;0;0;0;6;5
;;8;de Moel, W.A.P.;391;1;2;1;4;4;0;1;1;36;33;167;72;2;3;2;1;1;0;2;4;0;1;1;5;2;4;3;1;9;27;0;0;0;0;0;1
;;9;Mollema, A.M.;325;1;2;0;2;1;0;0;0;1;0;1;0;0;0;2;0;0;0;0;144;1;9;5;5;10;62;10;6;0;0;0;0;0;0;31;32
;;10;van Helden, M.F.;130;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;12;58;56;0;0;0;0;0;0;0;3
;;11;Bikker, A.C.;348;3;0;7;11;4;0;6;2;73;95;39;25;10;5;4;0;3;4;0;3;0;7;1;5;3;0;1;0;11;19;3;1;2;0;0;1
;;12;van der Spek, T.;39;0;1;2;3;23;0;6;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
;;13;Roth, C.G.N.;180;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;79;93;0;0;0;0;0;0;5;0
;;14;van Hoorne, M.A.;83;1;0;0;2;3;0;3;38;4;5;1;3;3;2;4;1;0;1;0;1;2;0;0;1;2;1;2;0;2;1;0;0;0;0;0;0
;;15;de Jong, E.;241;0;0;0;1;1;0;0;1;2;2;1;1;0;1;0;0;0;0;0;11;1;1;0;3;196;10;2;0;0;0;0;0;0;0;2;5
;;16;Beumken, A.A.A.G.M.;100;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;2;87;3;1;2;0;0;1;1;0;0;0;0;0;0;0;0
;;17;Asmus, M.G.;8;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;2
;;18;van Mastrigt, A.M.;8;0;0;0;1;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Rietveld, J.M.A.;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;37;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;3
;;20;Kant, R.A.;157;0;0;0;0;0;0;1;0;3;2;41;94;0;0;1;2;1;4;0;0;0;0;0;1;0;0;2;0;0;5;0;0;0;0;0;0
;;21;Walsemann-Donker, M.J.;23;3;5;1;1;0;0;0;0;2;0;0;0;0;0;0;1;2;1;3;0;0;1;1;0;0;0;0;0;0;0;0;2;0;0;0;0
;;22;Berkouwer, K.;161;0;0;0;0;0;0;1;0;0;0;0;0;0;1;42;19;13;50;2;0;1;0;0;0;0;0;1;0;0;0;0;0;5;26;0;0
;;23;Kleiwegt, J.M.;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;3;2;0;0;0;0;0;0;0;0;0
;;24;den Haak, C.P.;129;0;0;1;1;0;1;0;0;0;2;3;0;74;38;2;0;0;1;0;0;0;0;0;1;0;0;0;0;2;1;1;0;0;1;0;0
;;25;Hakkesteeg, F.;67;3;3;4;19;26;2;2;0;0;0;2;0;0;0;1;0;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0
;;26;de Bruijn, J.C.;13;0;0;0;0;0;0;0;0;0;0;0;0;9;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;27;de Wit, J.A.D.;13;1;0;0;0;0;0;0;0;0;0;0;0;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;28;Heiden, C.;3;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;29;de Moel, R.J.;7;0;0;0;0;0;0;0;0;0;1;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;van Steenis, T.;19;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;3;7;0;0;0;0;0;0;0;0
;;31;Vlot, G.A.;35;0;0;0;0;0;0;0;0;10;10;6;4;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
;;32;den Haak, R.C.;212;0;0;0;0;2;0;0;0;0;1;0;0;126;57;9;3;1;4;0;1;1;0;0;1;0;2;0;0;0;2;0;0;1;1;0;0
2;CDA;;;3947;73;118;217;148;177;103;219;221;121;143;156;165;131;53;76;44;91;86;43;195;69;255;113;236;223;114;43;61;21;39;28;36;19;18;32;60
;;1;Koorevaar, J.C.;1734;33;54;90;79;62;21;110;194;71;102;91;102;54;16;20;17;29;21;11;46;31;84;53;73;90;55;11;22;12;23;16;13;8;2;6;12
;;2;Tukker-Blok, J.A.C.;261;18;14;22;4;4;3;6;4;4;6;7;0;3;2;20;12;31;36;8;4;0;6;3;1;4;2;3;2;1;2;6;9;6;4;2;2
;;3;Korevaar-den Besten, J.;228;11;18;10;37;62;5;15;3;8;2;6;3;1;0;0;0;1;1;1;3;2;4;6;3;6;6;2;0;3;1;3;5;0;0;0;0
;;4;de Jong, W.W.;178;0;1;0;0;1;0;0;0;1;0;2;0;4;2;0;0;0;0;1;8;9;60;14;63;2;3;1;0;0;0;0;0;0;0;2;4
;;5;Klink, M.C.;171;0;0;0;4;0;0;2;3;1;0;3;1;0;0;0;0;0;0;0;96;2;2;2;8;3;4;0;1;0;0;0;0;0;0;11;28
;;6;de Haan, W.F.;77;0;0;0;1;2;65;2;1;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
;;7;van den Herik, D.D.;169;2;7;6;5;6;0;3;2;0;3;6;0;3;0;27;9;10;17;6;2;2;6;2;13;5;1;1;1;1;3;0;1;4;9;2;4
;;8;van den Berg, W.;127;0;1;5;0;1;1;0;0;3;7;4;6;55;26;0;0;3;1;0;0;0;1;6;1;3;3;0;0;0;0;0;0;0;0;0;0
;;9;Lanser, E.A.;69;0;0;1;0;0;1;1;2;0;0;3;3;2;0;1;0;1;0;2;8;11;10;0;6;2;4;0;8;0;0;0;1;0;0;1;1
;;10;Slob, T.J.;118;0;0;0;2;2;0;5;1;10;2;4;12;1;1;0;0;0;1;0;0;1;3;4;3;56;1;2;0;0;3;0;1;1;1;0;1
;;11;Tuijtel, A.;104;3;3;56;3;1;4;12;0;0;0;0;0;2;2;1;0;1;2;0;1;1;4;2;1;1;1;0;0;0;2;0;1;0;0;0;0
;;12;van Bruchem, G.C.;36;0;0;0;0;0;0;0;0;11;12;2;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0
;;13;de Lange, J.W.;27;0;1;0;0;0;0;0;0;0;4;0;0;1;0;3;4;6;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
;;14;van de Water, H.;44;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;2;17;18;0;0;0;0;0;0;0;0
;;15;Kosten, M.J.F.;14;0;1;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;16;Hartog-de Baat, A.A.J.;94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;33;15;42;1;0;0;0;0;0;0;0;0;0;1;1
;;17;den Besten, J.M.;22;0;0;0;1;3;0;2;9;0;0;0;3;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
;;18;van der Meer, S.;17;0;0;0;0;0;0;0;0;2;0;0;13;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;19;de Jong, C.M.;31;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;3;2;0;0;0;19;0;0;0;0;0;0;0;0;2;0
;;20;Glerum, H.L.;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;8;0;2;0;0;0;0;0;0;0;0;0;0
;;21;Aalberts, M.L.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;5;0;0;0;0;0;0;0;0
;;22;Koesveld-Stam, J.K.;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Aantjes, A.J.;29;0;0;1;1;0;0;15;2;2;1;2;0;1;2;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;24;van der Vlist, C.;36;0;0;0;0;1;0;0;0;0;0;25;8;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
;;25;Beekhof, M.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Swijnenburg, P.;37;0;0;0;0;1;0;28;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;1;0;1;0;1;0;1;0;0;0;0
;;27;van Tuijl, M.P.;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;10;4;9;0;0;0;0;0;0;0;0;0;0;0;1
;;28;van Vuren, H.G.;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;30;2;0;0;0;0;0;0;0;0;0;2
;;29;de Leeuw, R.;10;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
;;30;Kortleve, C.D.;18;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;6;3;0;0;0;0;0;0;0;0;0;1
;;31;Harrewijn, M.;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;1;1;1;1;0;0;0;0;0;0;0;0;0
;;32;Verspui-van der Eijk, P.A.;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;2;0;1;0;1;0;0;0;0;0;0;0;0;1;2
;;33;Stuij, J.C.;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;1;1;0;0;0;0;0;0;0;0;0;0;0;0
;;34;Meerkerk-Boven, M.A.;5;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;Bak, J.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;36;Heijkoop, A.D.;16;2;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;Polinder, S.;11;1;0;0;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;Tuit, J.L.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;39;de Jong, R.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0
;;40;Oosterlee, P.E.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
;;41;Stuij, D.;6;0;0;0;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42;Mulder, J.H.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;43;Boele, J.;22;1;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0
;;44;Brandwijk, H.A.;10;0;0;0;0;7;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
;;45;den Boer, M.;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;46;Breedveld, E.;8;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;47;Kraijo, J.;10;0;0;0;0;0;0;0;0;1;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;48;Meerkerk, C.F.;29;1;2;0;0;7;0;11;0;2;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0
;;49;van Leeuwen-Klink, E.A.G.;7;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
;;50;van Rees, A.J.;11;0;0;0;1;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
3;Staatkundig Gereformeerde Partij (SGP);;;4773;182;284;387;149;121;122;92;87;144;222;107;144;175;59;277;194;463;451;95;63;61;74;63;68;188;65;27;19;35;52;48;65;70;91;10;19
;;1;Egas, C.A.;2456;111;159;166;50;48;80;40;56;92;134;56;80;77;37;123;93;243;228;53;29;30;54;41;44;81;42;15;14;17;31;23;29;27;42;7;4
;;2;Leenman, P.J.P.;526;10;15;11;8;6;7;7;6;7;13;6;6;27;5;63;43;74;107;16;2;3;1;3;5;5;1;1;1;0;2;23;4;22;15;0;1
;;3;Blok, W.C.;354;33;66;34;11;7;13;3;3;6;24;15;9;10;3;10;5;20;21;2;4;5;3;5;3;16;3;1;0;2;0;0;16;0;0;1;0
;;4;de Groot, B.;362;8;20;36;72;50;10;19;4;5;4;6;6;9;2;18;9;19;12;2;1;7;1;5;1;1;2;1;0;4;6;0;8;4;9;0;1
;;5;Akkerman, H.;128;0;0;2;0;0;1;1;4;0;4;4;2;1;0;0;5;0;4;0;23;10;2;0;2;29;10;7;3;0;0;0;0;0;0;2;12
;;6;van der Wal, H.M.;116;1;2;14;2;2;1;0;0;8;12;3;8;21;3;3;4;11;4;1;0;0;2;1;1;1;0;0;0;4;5;0;0;1;1;0;0
;;7;van de Breevaart, J.A.;20;2;0;4;0;0;0;0;0;0;2;0;0;2;0;6;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;8;Vlot, A.;125;2;1;95;0;2;5;0;0;0;4;0;0;1;1;6;0;1;3;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0
;;9;van den Heuvel, A.;23;0;0;0;2;0;0;1;0;3;0;6;8;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0
;;10;Vat, P.;151;0;2;6;0;0;0;0;0;2;1;1;1;1;4;25;18;35;29;4;0;0;0;0;0;2;0;0;0;2;0;1;1;7;9;0;0
;;11;de Ruijter, C.;28;2;0;1;0;0;1;0;0;0;3;0;0;13;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;12;Verhoeve, B.;27;5;6;2;1;1;3;1;0;0;1;0;0;0;0;0;2;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0;0
;;13;de Bruijn, A.;32;0;0;3;1;0;0;9;2;0;1;1;0;3;0;0;0;2;1;0;0;1;1;1;0;0;4;0;0;0;0;0;0;0;2;0;0
;;14;de Jong, A.;41;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;16;13;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;0;0
;;15;van den Dool, I.;43;0;0;0;1;1;0;1;0;12;11;0;1;4;0;0;0;1;0;0;0;0;0;0;2;2;0;0;0;1;2;1;0;0;3;0;0
;;16;Simons, J.;39;0;2;0;0;0;0;1;0;0;1;0;0;0;0;9;6;9;6;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;2;0;0
;;17;Hak, M.;23;1;1;1;0;0;0;1;0;4;6;1;0;1;0;0;0;3;1;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0
;;18;de Jong, A.P.;26;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;1;1;0;3;0;1;13;3;0;0;0;0;0;0;0;0;0;1
;;19;Voogd, A.;13;3;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0
;;20;de Jong, J.L.;82;0;0;0;0;3;0;5;10;2;1;2;11;1;0;0;0;2;0;0;2;2;2;1;0;37;0;0;0;1;0;0;0;0;0;0;0
;;21;Voets, T.J.;23;0;0;0;0;0;0;0;2;2;0;6;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0
;;22;den Ouden, H.;26;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;2;8;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0
;;23;van der Wal, C.;19;1;1;2;0;0;1;0;0;0;0;0;0;1;0;0;1;1;0;10;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;24;de Rooij, C.W.J.M.A.;20;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;1;5;4;5;0;0;1;1;0;0;0;0;0;0;0;0
;;25;Demmers, L.A.;11;0;0;6;0;0;0;0;0;0;0;0;0;1;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Molenaar, J.;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;6;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;de Gruijter, P.;46;3;1;4;1;1;0;1;0;0;0;0;0;1;0;4;5;9;5;3;1;2;0;0;0;0;0;0;0;0;2;0;0;3;0;0;0
4;ChristenUnie;;;3851;85;122;229;111;85;52;118;73;155;189;138;142;162;72;189;96;167;233;57;95;81;268;109;182;174;122;34;18;36;49;18;33;48;65;22;22
;;1;Stam, H.;1603;35;58;100;51;36;18;30;20;57;78;49;55;25;15;145;73;113;163;37;23;24;70;37;46;50;36;11;7;11;14;10;16;33;46;6;5
;;2;Zijlstra-van den Hof, A.S.;426;10;14;24;16;7;7;7;11;6;12;19;13;3;1;3;4;11;8;3;23;5;22;18;10;96;32;7;2;6;3;1;4;3;4;3;8
;;3;van Bruggen, P.J.;268;4;3;7;3;1;0;1;3;8;13;1;4;121;48;11;3;9;10;2;2;1;2;0;2;1;0;0;1;1;1;0;1;2;2;0;0
;;4;Kollenstaart-Muis, M.J.;569;18;22;24;28;26;16;53;32;21;28;36;39;9;4;12;1;16;13;7;6;4;42;13;25;15;12;6;2;6;8;4;7;7;6;1;0
;;5;Timmer, L.;191;2;0;1;0;1;1;2;1;1;1;2;0;0;0;1;1;0;0;0;4;3;75;21;62;1;5;0;1;0;0;0;0;0;0;2;3
;;6;Buijserd-van Bruchem, J.A.;165;3;3;6;1;2;0;4;1;43;37;8;5;1;0;4;2;3;1;2;0;0;1;2;1;1;2;1;2;11;15;0;0;0;2;1;0
;;7;Vermeulen, D.H.;66;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;0;1;37;7;0;4;2;2;0;2;0;0;0;0;0;0;2;3
;;8;de Vogel, J.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0
;;9;van Kalkeren, K.;23;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;15;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;1
