Verkiezing;;Gemeenteraad Zoetermeer 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Zoetermeer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0637;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stembureau Stadhuis;Stembureau Speelboerderij Het Buitenbeest;Stembureau PKN Oosterkerk;Stembureau Buurtvereniging Buytenrode;Stembureau Sportzaal Groen-Blauwlaan 121;Stembureau Gymnasttieklokaal Carmenschouw 9;Stembureau Sportzaal Lijnbaan 311;Stembureau Gymnastieklokaal Velddreef 330;Stembureau Sportzaal Forelsloot 5;Stembureau Pop-up Pilatusdam - Dorp;Stembureau Sportzaal Willem Alexanderplantsoen 6b;Stembureau Pop-up Nieuwlandstraat-1 - Oosterheem;Stembureau Stadhuis;Stembureau Speelboerderij Het Buitenbeest;Stembureau PKN Oosterkerk;Stembureau Buurtvereniging Buytenrode;Stembureau Sportzaal Groen-Blauwlaan 121;Stembureau Gymnastieklokaal Carmenschouw 9;Stembureau Sportzaal Lijnbaan 311;Stembureau Gymnastieklokaal Velddreef 330;Stembureau Sportzaal Forelsloot 5;Stembureau Pop-up Pilatusdam - Dorp;Stembureau Sportzaal Willem Alexanderplantsoen 6b;Stembureau Pop-up Nieuwlandstraat -1 - Oosterheem;Stembureau Stadhuis;Stembureau Speelboerderij Het Buitenbeest;Stembureau PKN Oosterkerk;Stembureau Buurtvereniging Buytenrode;Stembureau Sportzaal Groen-Blauwlaan 121;Stembureau Gymnasttieklokaal Carmenschouw 9;Stembureau Sportzaal Lijnbaan 311;Stembureau Gymnastieklokaal Velddreef 330;Stembureau Sportzaal Forelsloot 5;Stembureau Pop-up Pilatusdam - Dorp;Stembureau Sportzaal Willem Alexanderplantsoen 6b;Stembureau Pop-up Nieuwlandstraat -1 -  Oosterheem;Stembureau Castellum Palensteyn;Stembureau PKN Gemeente De Oase;Stembureau RK Genesarethkerk;Stembureau RK Kerk De Doortocht;Stembureau De Kerk van Jezus Christus;Stembureau Gebouw 't SegheWaert;Stembureau PKN Ichthuskerk;Stembureau RK Kerk Tabor;Stembureau Parochie de Kapelaan;Stembureau Wijkpost Rokkeveen;Stembureau Kerkelijk Centrum De Regenboog;Stembureau RK Kerk De Wijngaard;Stembureau Buurtcentrum De Vlieger;Stembureau CKC & Partners;Stembureau Sporthal De Veur;Stembureau Sporthal De Veur - 2;Stembureau Gymnastieklokaal Steeneikzoom 3;Stembureau Gymnastieklokaal Steeneikzoom 3-2;Stembureau Sportzaal Groen-Blauwlaan 121-2;Stembureau Gymnastieklokaal Kadelaan 206;Stembureau Gymnastieklokaal Nesciohove 115;Stembureau Sportzaal den Brabanderhove 20;Stembureau Sportzaal Lijnbaan 311-2;Stembureau Gymnastieklokaal Irisvaart 10;Stembureau Gymnastieklokaal Velddreef 330-2;Stembureau Sportzaal Forelsloot 5 -2;Stembureau Gymnastieklokaal Fivelingo 88;Stembureau Gymnastieklokaal Spitsbergen 1;Stembureau Gymnastieklokaal Spitsbergen 1-2;Stembureau Gymnastieklokaal Kruiswater 197;Stembureau Gymnastieklokaal Schansbos 7;Stembureau Sportzaal Driesprong;Stembureau Sportzaal Willem Alexanderplantsoen 6b - 2;Stembureau Pop-up stembureau Eesterwaard - Meerzicht;Stembureau Pop-up 5 Meistraat - Dorp;Stembureau Wijkgebouw 't Span;Stembureau Pop-up Sumatra- 1 Oosterheem;Stembureau Pop-up Sumatra- 2 Oosterheem;Stembureau Pop-up Nieuwlandstraat-2 - Oosterheem;Stembureau Pop-up Sartrezijde - De Leyens
Gebiednummer;;;;;101;102;103;104;105;106;107;108;109;110;111;112;201;202;203;204;205;206;207;208;209;210;211;212;301;302;303;304;305;306;307;308;309;310;311;312;313;314;315;316;317;318;319;320;321;322;323;324;325;326;327;328;329;330;331;332;333;334;335;336;337;338;339;340;341;342;343;344;345;346;347;348;349;350;351;352
Postcode;;;;;2711 EC;2715 VP;2721 ND;2717 BG;2718 GH;2726 KG;2728 AG;2727 CV;2724 CA;2712 BD;2713 VM;2729 DV;2711 EC;2715 VP;2721 ND;2717 BG;2718 GH;2726 KG;2728 AG;2727 CV;2724 CA;2712 BD;2713 VM;2729 DV;2711 EC;2715 VP;2721 ND;2717 BG;2718 GH;2726 KG;2728 AG;2727 CV;2724 CA;2712 BD;2713 VM;2729 DV;2722 BN;2715 RP;2716 GT;2725 AR;2723 PA;2724 GE;2724 EZ;2728 AC;2712 AV;2719 CP;2719 CR;2719 AZ;2718 GH;2722 PC;2718 CX;2718 CX;2719 HN;2719 HN;2718 GH;2725 BR;2726 BL;2717 WJ;2728 AG;2724 TT;2727 CV;2724 CA;2716 BG;2721 GP;2721 GP;2715 EP;2716 GV;2712 RB;2713 VM;2716 XH;2712 VD;2728 BR;2711 GG;2711 GG;2729 DV;2725 PR
;opgeroepenen;;;99151;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1907;1907;1907;1907;1907;1907;1907;1907;1907;1907;1907;1907;1907;1907;1907;1907;1907;1907;1907;1907;1907;1907;1907;1907;1907;1907;1907;1907;1907;1907;1907;1907;1907;1907;1907;1907;1907;1907;1907;1906;1906;1906;1906;1906;1906;1906;1906;1906;1906;1906;1906;1906
;geldige stempas;;;46249;651;389;799;400;820;421;591;400;325;404;347;342;661;431;1097;443;1059;475;746;378;427;499;446;456;1151;424;1330;849;636;531;633;416;821;658;427;535;666;372;634;1042;470;465;878;807;364;1244;720;863;432;461;697;575;0;1153;699;887;676;608;654;626;374;0;956;399;399;616;501;546;439;880;546;558;741;265;659;959
;geldig volmachtbewijs;;;5626;74;44;78;38;94;48;61;30;28;44;38;45;57;49;121;51;114;49;73;47;44;60;40;56;121;44;231;106;85;67;92;52;103;68;38;81;86;42;68;124;64;53;115;94;30;167;90;113;42;71;98;77;0;176;91;94;70;59;117;70;44;0;111;72;47;60;62;52;44;111;83;57;116;51;131;103
;geldige kiezerspas;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;51875;725;433;877;438;914;469;652;430;353;448;385;387;718;480;1218;494;1173;524;819;425;471;559;486;512;1272;468;1561;955;721;598;725;468;924;726;465;616;752;414;702;1166;534;518;993;901;394;1411;810;976;474;532;795;652;0;1329;790;981;746;667;771;696;418;0;1067;471;446;676;563;598;483;991;629;615;857;316;790;1062
;geldige stembiljetten;;;51412;722;430;870;428;907;462;650;428;351;444;382;385;707;476;1211;485;1169;518;815;420;467;557;482;510;1250;464;1541;941;711;595;721;462;909;718;462;613;743;408;695;1161;532;516;985;893;393;1402;804;970;465;526;789;651;0;1322;783;968;738;661;764;692;415;0;1057;467;444;663;554;598;477;978;619;611;849;313;788;1055
;blanco stembiljetten;;;319;1;1;7;9;5;5;0;1;0;3;3;1;9;4;7;8;3;6;3;6;3;2;2;1;15;3;11;11;5;3;3;6;10;4;1;2;5;4;6;2;1;1;5;6;0;6;6;3;8;5;5;1;0;6;6;9;4;3;6;5;3;0;9;2;1;7;3;0;2;6;3;2;5;3;1;5
;ongeldige stembiljetten;;;124;0;2;0;0;3;1;2;1;2;1;0;1;2;1;0;0;1;0;1;0;0;0;2;0;7;1;8;2;6;0;1;0;3;4;2;0;4;2;1;2;2;0;2;1;1;2;1;1;1;0;1;0;0;1;1;5;3;3;1;0;0;0;3;2;1;3;5;0;4;5;5;2;2;0;1;2
