Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;OBS Nicolaas Beets;Amicitia;Wijkcentrum Het Oude Raadhuis;Wijkcentrum Oud Rijswijk;Sportcentrum De Schilp;Woonzorgcentrum Vredenburch;speeltuinvereniging Inter Amicos;Amateurspalet;Stadhuis;Belvédère Rijswijk;De Rijswijkse Schouwburg;Nieuwe Kerk;Informatiecentrum in de Bogaard;Sportcentrum De Schilp;Centrum voor Jeugd en gezin;Basisschool Steenvoorde (gymzaal);Basisschool Wethouder Brederode;Petrusschool;Basisschool Het Kristal;Stervoorde;Gemeenschappelijke ruimte  t Hoekje;CBS Melodie;Buurthuis De Drassige Driehoek;Kunstgebouw;Bibliotheek Rijswijk;Rijswijks Lyceum;Best Western;Groepswonen voor Ouderen;Informatiecentrum RijswijkBuiten;Amicitia;Stadhuis;Sporthal de Schilp;Informatiecentrum RijswijkBuiten;Amicitia;Stadhuis;Sporthal de Schilp;Montessorischool Parkrijk;Informatiecentrum RijswijkBuiten
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;15;16;17;18;19;20;21;22;24;25;26;28;30;32;43;44;50;51;52;54;60;61;62;64;65
Postcode;;;;;2281 TH;2281 GA;2282 AL;2282 RZ;2285 SP;2282 SK;2282 KV;2282 HM;2284 DP;2283 XM;2283 GM;2284 EH;2284 DE;2285 SP;2285 XM;2285 VD;2286 MV;2286 RL;2286 GE;2286 BA;2286 GA;2287 BS;2288 CN;2289 BE;2288 AG;2284 GA;;2287 EE;2286 KC;2281 GA;2284 DP;2285 SP;2286 KC;2281 GA;2284 DP;2285 SP;2288 HR;2286 KC
;;14;van de Waart, A.H.;32;0;2;0;3;0;0;3;2;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;5;0;0;0;2;3;0;0;4;4
;;15;Idenburg, P.J.A.;10;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;3;0;0;0;0
;;16;Girjasing, R.;38;1;1;0;4;0;0;0;0;3;0;2;1;0;7;1;1;0;0;2;1;0;0;0;1;0;2;0;2;3;0;1;1;0;1;1;0;2;0
;;17;van Hofwegen, E.;25;0;1;0;0;0;0;2;0;4;0;0;0;2;0;0;1;0;0;3;1;2;0;0;1;1;0;0;2;0;0;1;1;0;0;2;1;0;0
;;18;Fluit, M.;4;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;19;de Beer, R.D.;14;2;3;1;3;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
;;20;Açikgöz, A.;22;1;1;2;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;4;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;4;0
;;21;Haijtink, G.D.;5;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
;;22;Ligterink, J.W.;11;2;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;23;Zoeter, F.H.;10;0;2;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;2;0;0;0;0
;;24;Dönszelmann, C.E.P.;6;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;25;Alsharifi, F.;17;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;2;1;0;0;0;0;1;2;1;2;0;0;0;0;1;0;1;1;1;0;0;0
;;26;Geraads, J.M.G.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Polderman, J.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
;;28;Haijkens, R.;5;0;2;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Reiche, O.M.;8;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;30;Ramman, S.A.;12;0;1;0;0;2;0;0;1;1;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0
;;31;Wassenaar, B.;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;van der Hoeven, H.G.;5;0;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;33;van der Krieken, K.H.J.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;34;Kerkdijk, R.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;ten Harmsen van der Beek, S.W.;2;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;van Loon, S.R.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;37;Nesselaar, F.J.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;de Leeuw, J.;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;39;Nypels-Krijnen, J.M.M.;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;40;Laas, J.R.M.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
;;41;Gooskens, B.J.F.;6;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42;Adriaanse, A.C.;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;43;de Groes, K.M.;3;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;44;Bool, L.;9;0;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0
;;45;Hoekstra, J.;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;46;Coleman, P.G.P.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
;;47;Zitman, G.T.;8;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0
;;48;Nypels, E.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;49;Koopman, M.E.;5;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0
;;50;van Veldhoven-van der Meer, S.;24;2;3;1;0;1;0;2;1;0;0;2;0;0;2;0;0;1;1;0;0;0;0;0;0;0;0;1;1;4;0;0;1;0;0;0;1;0;0
5;Wij.;;;2655;87;75;75;118;119;1;78;76;85;100;108;105;20;119;61;69;102;86;69;128;70;39;60;93;44;19;25;93;104;23;55;56;23;42;82;56;51;39
;;1;van Dam, D.F.A.;1272;41;36;29;48;55;1;42;38;36;48;51;59;11;37;30;34;55;44;34;79;34;20;21;56;30;12;7;27;35;12;32;33;12;20;46;30;18;19
;;2;Dirkx, I.M.;414;18;9;19;24;13;0;12;9;10;13;19;23;3;24;4;4;14;16;7;14;8;3;10;15;7;3;12;10;28;4;9;7;3;9;14;7;3;7
;;3;Kaffa, M.T.F.;49;1;0;0;5;1;0;2;1;1;1;2;2;0;2;2;0;3;2;0;0;1;2;0;0;0;0;0;13;4;0;0;2;0;0;0;2;0;0
;;4;Zoghbi, A.;63;3;1;2;4;7;0;0;1;0;2;2;3;0;9;2;1;1;0;1;1;2;0;0;0;1;0;0;0;5;0;0;3;0;0;2;4;6;0
;;5;Karremans, J.;96;3;6;5;1;4;0;1;3;6;11;3;2;0;3;2;2;1;1;5;2;7;2;1;3;0;0;0;6;0;0;3;2;2;0;4;4;0;1
;;6;Koornneef, M. A.;130;6;7;5;5;4;0;2;2;2;2;6;4;0;9;1;2;3;4;2;6;5;0;11;6;1;0;1;1;6;3;0;1;4;6;0;1;9;3
;;7;Krijgsman, R.;24;0;0;0;0;2;0;1;1;2;1;0;0;0;0;0;2;0;1;4;0;0;2;0;0;0;0;0;1;4;0;0;0;0;0;2;0;1;0
;;8;Boom, S.;47;1;2;0;0;0;0;1;0;3;0;1;0;0;0;0;0;1;1;1;0;0;3;0;0;1;1;0;24;2;0;2;0;1;0;2;0;0;0
;;9;Hageman, S.;54;0;3;1;2;4;0;9;0;1;1;2;0;0;9;5;2;1;2;0;2;4;0;0;2;1;0;0;1;0;0;0;0;0;0;0;1;1;0
;;10;Rennings, M.J.;78;0;5;4;0;3;0;2;1;1;3;2;1;0;1;9;13;4;2;3;1;2;4;0;2;0;1;1;2;1;0;2;4;0;1;2;0;0;1
;;11;Boniarto, B.S.;15;1;0;0;1;3;0;0;2;4;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
;;12;van Dommelen, C.;34;0;2;0;2;2;0;1;1;1;0;1;1;1;2;0;1;0;1;0;2;1;1;0;4;1;0;0;0;3;0;1;0;0;1;1;0;2;1
;;13;Mudde, M.;31;0;0;0;5;1;0;1;4;0;2;7;4;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0
;;14;Sewpersad Jogi, D.;65;4;0;4;0;5;0;1;1;1;4;1;1;2;8;1;0;0;0;3;6;1;1;0;3;2;0;1;3;5;0;0;1;0;0;3;1;2;0
;;15;Heesterman, L.R.;17;0;0;0;3;0;0;1;0;0;0;1;0;0;0;0;1;3;0;0;0;0;1;0;0;0;0;0;2;0;0;0;1;0;0;1;0;3;0
;;16;de Haan, K.;12;1;0;0;1;2;0;0;0;1;0;0;0;0;1;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;17;Verroen, E.P.;23;5;1;2;3;0;0;0;0;0;2;1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;2;0;2;0;1;0;0;0;0;0;1;0;0
;;18;van Leeuwen, R.C.;5;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;19;Girgin, E.;13;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;3;2;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;20;de Vries, N.;24;0;1;0;2;0;0;0;1;1;1;2;1;0;1;2;0;1;2;0;3;0;0;0;0;0;0;0;0;1;0;1;0;0;0;2;0;0;2
;;21;Leenheer, R.;29;0;0;0;4;1;0;0;6;5;1;0;1;0;2;0;0;0;0;0;1;0;0;6;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
;;22;van der Straaten, J.;10;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0
;;23;Hoegen, P.M.;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;24;Huitsing, B.L.;13;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;3;0;0;2;0;0;0;0;3;1
;;25;Steehouwer, D.;6;0;0;1;0;0;0;0;0;2;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;26;Kamphuis, R.H.J.G.;5;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;27;Eikenbroek, J.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Reinders, E.F.A.;6;1;0;0;3;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;29;Kouwer, W.H.F.;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Lugthart Swets, S.C.C.;24;0;0;0;0;0;0;1;0;1;2;0;0;0;2;0;1;10;1;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;31;Sitaram, R.J.;10;0;0;0;0;1;0;0;0;1;2;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0
;;32;van der Burgh, S.;3;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;33;Blom, J.C.;4;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;34;van Pelt, J.J.;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;Brouwer, H.;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;36;Lemmers, G.C.M.;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;Kaan, R.J.;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;38;Hankel, B.;7;0;1;0;0;2;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;39;Allard Czempiel, A.M.;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;40;'t Hoen, A.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;41;Neuteboom, C.D.;3;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42;de Dooij, C.F.E.;6;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0
;;43;Nieuwstad, M.S.;3;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;44;van der Burgh, R.;4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;45;Hasper, S.E.;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;46;Roosendaal, T.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;47;van Bemmelen, F.;9;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;48;van Velzen, J.;8;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
;;49;Bomius - Elshout, A.G.;6;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
;;50;Mangelmans, R.;15;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;8;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0
6;CDA;;;1153;16;43;34;67;32;0;32;28;26;45;52;54;5;27;24;26;53;45;38;37;43;19;14;26;35;23;11;23;27;15;51;41;6;22;43;45;19;6
;;1;van Enk, M. J.;659;9;27;22;44;17;0;28;17;17;23;25;31;2;22;8;18;27;30;19;20;26;13;12;14;21;10;3;12;13;6;24;26;4;17;21;23;6;2
;;2;Geleijnse, S.;116;2;0;1;0;5;0;0;1;3;15;10;5;0;1;0;0;4;2;2;3;1;0;0;1;7;7;4;2;1;1;16;2;1;1;11;5;2;0
;;3;Schröter-Haas, J. C.;116;3;0;8;3;1;0;1;4;2;4;6;4;2;3;4;1;6;4;6;3;6;1;1;9;4;2;2;2;4;0;2;2;1;2;2;4;5;2
;;4;Besteman-de Vries, J. N.;117;0;4;3;3;3;0;1;1;1;1;4;5;0;1;6;6;5;6;9;8;3;4;0;1;2;2;2;6;5;1;6;0;0;1;6;6;4;1
;;5;Hoff, C. J.;19;0;1;0;2;0;0;2;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;1;5;0;0;1;0;2;0
;;6;de Graaf, K.;16;0;0;0;2;0;0;0;0;1;0;2;0;1;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;4;0;0;0;0;0;2;0;0
;;7;Grimberg-Visser, M. L. C. L.;15;0;0;0;3;2;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;2;0;0;0;0;1;0;1;0;0;0;1;0;0;1;1;0;0
;;8;van Schie, W. G.;8;0;1;0;1;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;9;Knigge, J. A.;6;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0
;;10;Hokken, J. W.;17;0;1;0;0;0;0;0;1;0;0;1;2;0;0;4;0;3;0;0;1;2;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
;;11;van Helden, J.;15;0;0;0;1;1;0;0;0;1;0;0;4;0;0;1;1;2;1;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
;;12;Zalmé, R.;10;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0
;;13;van Velthoven, P. J. G.;13;0;2;0;2;1;0;0;0;0;2;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0
;;14;Glen, S. J. J.;26;2;3;0;6;1;0;0;1;0;0;3;0;0;0;0;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;3;0;1
7;Partij van de Arbeid (P.v.d.A.);;;1450;75;94;70;70;31;2;56;55;36;52;48;59;4;32;15;25;36;29;34;28;39;20;74;66;35;8;15;29;28;44;46;28;17;51;44;26;15;14
;;1;van Malsen, G.J.H.;618;22;28;27;28;16;2;8;23;21;20;19;31;4;13;7;11;16;15;12;12;20;12;47;39;14;5;4;15;12;15;28;10;6;19;21;9;4;3
;;2;van Nunen, W.A.A.M.;291;22;28;12;16;6;0;8;16;3;11;11;8;0;10;5;8;5;6;4;7;3;1;9;10;8;1;3;2;4;11;8;8;3;12;9;6;6;1
;;3;van der Veer, E.;60;0;2;5;4;1;0;18;2;1;0;2;2;0;0;0;0;4;1;2;2;1;1;1;2;0;0;0;0;0;5;1;0;0;0;1;2;0;0
;;4;Stuijfzand, M.;43;0;1;1;0;0;0;2;0;1;2;1;1;0;0;1;0;0;2;6;0;0;0;0;0;0;0;0;0;8;0;0;0;6;0;3;1;0;7
;;5;van Rooy, M.C.;146;3;15;11;10;3;0;7;6;2;8;5;1;0;1;0;2;5;1;4;2;5;0;9;5;1;0;0;3;3;10;4;4;2;6;2;1;4;1
;;6;Schwantje, H.J.;4;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;7;van der Hoog, M.J.M.;15;1;2;0;1;1;0;0;0;0;0;1;1;0;1;0;0;1;1;0;0;0;0;2;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0
;;8;Bloemen, M.J.H.;11;2;1;0;1;0;0;0;0;1;2;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;;9;Bolte, J.;44;1;1;3;1;0;0;0;4;4;2;1;6;0;1;0;0;1;0;3;2;5;1;0;0;1;0;3;1;0;0;1;2;0;0;0;0;0;0
;;10;van den Broek, C.B.;17;0;1;0;1;0;0;0;1;0;1;3;0;0;0;1;0;0;0;1;1;0;0;1;0;1;0;1;0;0;0;0;0;0;2;1;0;0;1
;;11;van der Ende, W.P.C.;16;0;0;3;0;0;0;1;0;0;1;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;2;2;0;1;0
;;12;Gaaff, A.;4;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;13;Hagenaars, C.Y.D.;38;5;4;1;1;0;0;3;1;3;0;0;0;0;2;0;2;1;1;1;0;0;0;0;5;0;0;0;0;0;2;0;0;0;3;3;0;0;0
;;14;Kommer, M.M.;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;15;Kooima, M.;23;0;2;0;0;0;0;1;1;0;2;0;2;0;0;0;0;0;1;0;1;0;2;0;0;4;0;0;5;0;0;2;0;0;0;0;0;0;0
;;16;Roldanus, F.J.;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;17;Sablerolle-Van der Kolk, G.A.M.;7;1;0;1;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
;;18;Schoonderwoerd-Zuidwijk, C.H.;7;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0
;;19;Snaterse, T.J.;7;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0
;;20;Strous, S.L.J.;7;0;0;1;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;21;Tavecchio, M.E.;17;3;1;0;1;1;0;1;0;0;0;1;0;0;2;0;0;0;0;0;0;0;1;0;2;3;0;0;0;0;1;0;0;0;0;0;0;0;0
;;22;Wester, R.M.;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;23;Westerduin, M.;21;1;1;1;1;1;0;1;1;0;1;1;0;0;0;0;0;0;1;1;0;1;0;1;0;0;1;1;0;1;0;1;0;0;0;0;4;0;0
;;24;Winter, J.C.M.;3;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;25;de Wreede, U.;43;13;4;1;3;0;0;2;0;0;1;0;1;0;1;0;0;1;0;0;0;1;0;3;2;0;1;0;0;0;0;0;1;0;4;2;1;0;1
8;RijswijksBelang (RB);;;2786;70;80;114;93;104;1;95;106;130;145;109;118;31;84;39;64;144;85;124;83;78;64;18;57;54;33;33;102;40;34;100;62;18;24;109;78;42;21
;;1;Weterings, M.V.;1514;26;20;60;57;59;1;49;51;76;86;63;71;19;42;24;40;73;50;78;47;30;36;14;37;35;13;22;46;25;13;51;40;6;7;57;48;30;12
;;2;Kames-Dame, P.G.;392;10;2;13;8;15;0;13;15;21;14;13;21;1;13;7;12;17;8;14;8;17;10;0;3;6;13;2;39;4;4;15;10;2;4;16;16;4;2
;;3;Koegler-Böhm, A.;85;3;1;3;2;8;0;3;0;4;7;3;1;0;5;1;1;12;0;0;1;0;2;2;3;2;0;0;1;1;0;3;1;0;0;8;2;5;0
;;4;de Haan-Niesen, B.M.B.T.;94;4;1;3;4;3;0;14;2;0;2;6;3;1;7;2;2;2;0;0;5;2;5;0;4;3;3;2;3;2;0;2;1;1;0;4;1;0;0
;;5;ten Brummelaar-Hermans, M.R.;85;0;1;3;3;1;0;3;11;4;10;9;3;1;1;0;4;1;1;2;3;0;0;0;3;0;1;1;0;3;0;2;1;2;2;4;0;1;4
;;6;Pouw, B.;133;17;46;4;2;1;0;4;3;4;2;0;0;1;0;1;0;3;1;4;3;1;0;1;0;0;1;0;2;0;13;3;3;2;9;1;0;1;0
;;7;van Overmeere, J.A.F.;29;0;1;2;1;0;0;0;1;2;6;0;2;0;1;0;0;1;0;0;3;3;0;0;0;0;0;0;0;0;1;2;0;0;0;3;0;0;0
;;8;van de Pieterman, N.L.;61;1;1;8;4;2;0;1;1;1;2;3;2;2;0;0;3;7;1;2;0;1;2;0;1;2;0;0;5;0;0;1;2;0;1;3;2;0;0
;;9;Voshol, T.P.W.;17;1;0;2;0;2;0;0;0;4;0;0;3;0;0;0;0;2;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;10;Verbaan, K.R.G.;34;4;0;0;0;2;0;0;5;2;1;1;0;1;0;1;0;1;8;0;0;0;2;1;0;0;0;0;1;0;0;0;0;2;0;1;0;1;0
;;11;Kadi, F.;26;2;0;0;0;0;0;0;0;1;2;1;2;1;2;0;0;2;1;2;0;0;1;0;0;1;0;0;0;2;0;5;1;0;0;0;0;0;0
