Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;OBS Nicolaas Beets;Amicitia;Wijkcentrum Het Oude Raadhuis;Wijkcentrum Oud Rijswijk;Sportcentrum De Schilp;Woonzorgcentrum Vredenburch;speeltuinvereniging Inter Amicos;Amateurspalet;Stadhuis;Belvédère Rijswijk;De Rijswijkse Schouwburg;Nieuwe Kerk;Informatiecentrum in de Bogaard;Sportcentrum De Schilp;Centrum voor Jeugd en gezin;Basisschool Steenvoorde (gymzaal);Basisschool Wethouder Brederode;Petrusschool;Basisschool Het Kristal;Stervoorde;Gemeenschappelijke ruimte  t Hoekje;CBS Melodie;Buurthuis De Drassige Driehoek;Kunstgebouw;Bibliotheek Rijswijk;Rijswijks Lyceum;Best Western;Groepswonen voor Ouderen;Informatiecentrum RijswijkBuiten;Amicitia;Stadhuis;Sporthal de Schilp;Informatiecentrum RijswijkBuiten;Amicitia;Stadhuis;Sporthal de Schilp;Montessorischool Parkrijk;Informatiecentrum RijswijkBuiten
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;15;16;17;18;19;20;21;22;24;25;26;28;30;32;43;44;50;51;52;54;60;61;62;64;65
Postcode;;;;;2281 TH;2281 GA;2282 AL;2282 RZ;2285 SP;2282 SK;2282 KV;2282 HM;2284 DP;2283 XM;2283 GM;2284 EH;2284 DE;2285 SP;2285 XM;2285 VD;2286 MV;2286 RL;2286 GE;2286 BA;2286 GA;2287 BS;2288 CN;2289 BE;2288 AG;2284 GA;;2287 EE;2286 KC;2281 GA;2284 DP;2285 SP;2286 KC;2281 GA;2284 DP;2285 SP;2288 HR;2286 KC
;;5;Cupedo, D.R.;72;2;0;0;3;1;0;0;1;3;0;3;1;2;5;4;1;2;8;0;1;2;2;0;0;1;0;0;2;10;0;3;3;6;0;5;0;0;1
;;6;van den Berg, A.W.;73;2;1;9;4;7;0;3;0;1;3;1;2;4;13;1;2;2;3;0;3;0;0;1;0;1;1;0;1;0;1;0;3;0;1;0;3;0;0
;;7;Nunnikhoven, R.;172;0;0;5;3;24;0;3;4;2;7;5;4;1;17;12;1;13;9;4;8;2;3;0;0;2;0;7;4;5;1;1;10;0;0;2;7;2;4
;;8;du Chatinier, M.D.;55;0;1;0;2;1;0;3;3;0;1;2;5;1;2;2;0;2;0;1;1;5;2;0;0;1;1;0;0;3;0;0;1;2;2;4;4;1;2
;;9;Beij, M.H.;62;1;2;1;6;1;0;1;1;2;1;0;2;1;1;0;1;2;2;4;1;0;1;0;0;1;0;0;1;2;1;0;0;0;1;0;2;23;0
;;10;van Buul, J.P.G.;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
;;11;Paredes Sanchez, J.C.F.;28;0;0;3;0;1;0;2;0;2;3;0;1;0;1;0;3;1;0;2;0;1;0;0;0;1;0;0;0;3;0;1;1;0;0;2;0;0;0
;;12;Hoek, S.;25;1;1;2;4;2;0;2;1;1;0;1;1;0;1;1;0;1;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;1;0;0
;;13;Jungschlager, C.J.M.;27;0;0;0;0;0;0;0;0;3;3;2;2;0;0;5;0;0;3;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;2;0;2;1;0
;;14;de Vreede, R.;10;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;2;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0
;;15;van der Geer, D.R.;9;1;0;0;0;0;0;0;0;0;3;0;2;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;16;Keijzer, M.J.;13;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;3;0;2;1;2;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;17;Stange - Greven, E.J.;13;0;1;3;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;2;1;0;0;0
;;18;Bertram, D.A.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;19;Snijders, M.P.;6;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0
;;20;Scholten, A.L.;8;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;2;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;21;van Zonneveld, A.A.F.;9;0;1;0;0;0;0;0;3;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
;;22;Peek, I.;17;0;0;0;0;0;0;1;0;3;0;0;2;4;1;0;2;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;23;Greven - Wijnants, A.M.;5;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
;;24;Borsboom, H.C.T.;4;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
;;25;Bentvelzen, R.J.;7;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
;;26;van der Ark, R.J.;5;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;27;Olivier, M.A.;6;0;0;1;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
