Verkiezing;;Gemeenteraad Dordrecht 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Dordrecht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;0505;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Stadhuis;Stadskantoor;Dordrechts Museum;Energiehuis;Centraal Station  Portacabin op bordes;Wooncentrum Schouwstock;Gebouw De Driesprong;Zorgcentrum De Linde;Pinkstergemeente Het Keerpunt;Dordtse Vrije School;Gymzaal Dintelstraat;Wijkcentrum De Koloriet/Kleurrijk;Het Waterwiel;Speeltuin Zeehavenkwartier;Wijkcentrum De Admiraal;Wooncentrum Watersteijn;Postillion Hotel;Trefpunt de Nieuwe Stoof;Gymzaal Deetoshal bureau 1;Gymzaal Deetoshal bureau 2;Cultureel Centrum Sterrenburg;Albert Schweitzerziekenhuis  Dordtwijk;Verpleeghuis De Sterrenlanden;Portacabin Eulerlaan;Gymzaal Ockenburg;Ontmoetingskerk  bureau 1;Verzorgingshuis Dubbelmonde;Hotel De Watertoren;Lucina Verloskundigenpraktijk;Wielborgh  Het Polderwiel;Kandelaarkerk;Speeltuin Stadspolders;Gymzaal  bureau 1;Gymzaal  bureau 2;Het Sinterklaashuis;Gymzaal Van den Broek-Erf;Grote Kerk;Wilhelminakerk  bureau 1;Kerk De Bron;Portocabin;Zwembad/ijsbaan;Theater Inter Amicos;Wilhelminakerk  bureau 2;Jubal Muziek Centrum  bureau 1;Jubal Muziek Centrum  bureau 2;Basisschool Wantij  bureau 1;Basisschool Wantij  bureau 2;Julianakerk  bureau 1;Julianakerk  bureau 2;School Brouwersdijk;Apostolisch genootschap;Portocabin;De Zuidhovenkerk;Gymzaal Atmosfeerstraat;Gymzaal De Weegschaal;Gymzaal Sandenburg;Ontmoetingskerk  bureau 2;Gymzaal Heimerstein;Evangelische Gemeente Jozua;Gymzaal Van Schendelstraat  bureau 1;Deltahal  bureau 1;Deltahal  bureau 2;Gymzaal Van Schendelstraat  bureau 2;Stadskantoor;Kerk De Bron;Zwembad/ijsbaan;Dordtse Vrije School;Portocabin;Wijkcentrum De Admiraal;Trefpunt de Nieuwe Stoof;Hotel De Watertoren;Stadskantoor;Kerk De Bron;Zwembad/ijsbaan;Dordtse Vrije School;Portocabin;Wijkcentrum De Admiraal;Trefpunt de Nieuwe Stoof;Hotel De Watertoren
Gebiednummer;;;;;1;2;5;9;10;11;15;17;19;20;25;44;50;51;52;54;55;65;67;68;72;73;74;77;78;81;91;98;103;106;109;110;202;203;204;205;206;207;211;212;213;214;217;222;223;227;229;233;234;236;237;238;266;275;276;282;283;284;292;293;294;295;297;302;311;313;320;338;352;365;398;402;411;413;420;438;452;465;498
Postcode;;;;;3311 CR;3311 GR;3311 XP;3311 RR;3311 JV;3311 TV;3312 GD;3312 GT;3312 AM;3312 NB;3313 GT;3314 TK;3317 NJ;3317 ZV;3317 BC;3317 NV;3316 EH;3317 LA;3317 KZ;3317 KZ;3318 CB;3318 AT;3328 HN;3328 KC;3328 TG;3328 DN;3319 PH;3319 LC;3315 TD;3315 KA;3315 KW;3315 TR;3315 AS;3315 AS;3311 PP;3315 SB;3311 CJ;3311 LD;3315 KA;3315 WX;3318 AX;3312 EC;3311 LD;3312 KD;3312 KD;3313 EV;3313 EV;3314 LT;3314 LT;3314 GR;3314 BL;;3317 HX;3328 GD;3328 PC;3328 EE;3328 DN;3328 ME;3319 LJ;3319 RN;3319 LC;3319 LC;3319 RN;3311 GR;3315 KA;3318 AX;3312 NB;;3317 BC;3317 LA;3319 LC;3311 GR;3315 KA;3318 AX;3312 NB;;3317 BC;3317 LA;3319 LC
;opgeroepenen;;;96171;2596;2825;1692;1690;2331;1410;1124;200;976;1435;1251;2514;200;946;1361;978;1309;1704;1144;1315;1584;700;1592;1284;848;1392;200;2752;1545;200;1029;1629;1051;1052;2359;2536;1546;778;2022;1746;1398;1794;779;741;742;1343;1285;964;964;1401;1245;2137;964;1147;1398;1698;1102;1893;1370;1845;1795;1439;2585;968;635;322;277;265;200;336;539;958;644;343;269;330;200;379;631
;geldige stempas;;;39784;1143;767;689;952;679;425;1429;25;502;853;346;550;38;72;605;409;255;520;207;197;1456;144;49;861;329;876;143;1225;748;41;639;606;271;305;468;797;627;307;757;664;370;335;362;230;223;320;269;448;519;665;427;429;572;628;336;439;711;690;165;574;591;566;585;583;588;210;310;225;235;187;722;831;824;288;401;369;348;291;942
;geldig volmachtbewijs;;;5273;113;126;83;205;70;44;182;0;64;93;53;109;9;20;92;59;44;50;23;26;166;19;2;118;31;92;4;181;104;6;84;95;35;42;65;95;66;47;92;102;44;19;47;30;23;45;38;77;86;120;54;61;56;90;48;47;88;83;34;61;90;79;77;96;71;33;46;44;29;18;83;107;103;53;54;40;47;32;109
;geldige kiezerspas;;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;toegelaten kiezers;;;45059;1256;893;772;1157;749;469;1611;25;566;946;399;659;47;92;697;468;299;570;230;223;1622;163;51;979;360;968;147;1406;852;47;723;701;306;347;533;892;693;354;849;766;414;354;409;260;246;365;307;525;605;785;481;490;628;720;384;486;799;773;199;635;681;645;662;679;659;243;356;269;264;205;805;938;927;341;455;409;395;323;1051
;geldige stembiljetten;;;44874;1255;885;768;1149;747;467;1600;25;565;940;396;652;46;92;687;461;298;568;230;220;1613;163;51;974;360;966;147;1404;848;47;721;699;304;345;532;893;692;353;847;763;412;352;407;260;244;361;307;522;599;782;476;490;626;719;383;484;799;772;199;633;681;641;662;676;659;242;356;268;262;204;804;930;925;341;454;406;390;322;1051
;blanco stembiljetten;;;76;1;7;2;1;2;1;3;0;1;3;3;4;1;0;5;0;1;0;0;3;4;0;0;3;0;2;0;0;0;0;1;0;2;2;1;0;0;1;0;1;2;0;1;0;0;1;0;1;0;0;1;0;2;0;0;2;2;1;0;0;0;0;0;0;0;1;1;0;0;0;1;2;0;0;1;2;0;0;0
;ongeldige stembiljetten;;;106;0;1;2;7;0;1;8;0;0;3;0;2;0;0;7;7;0;2;0;0;5;0;0;0;0;0;0;2;4;0;1;2;0;0;1;0;1;0;1;1;0;2;1;0;0;3;0;2;4;2;3;1;0;1;1;0;0;0;0;2;0;2;0;3;0;1;0;1;2;2;0;6;2;0;0;1;5;1;0
