Verkiezing;;Gemeenteraad Bodegraven-Reeuwijk 2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Bodegraven-Reeuwijk;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nummer;;1901;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis;De Meent;bij Everts;De Doortocht;Dienstencentrum 'Rijngaarde';Voetbalvereniging ESTO;sporthal 'De Sporthoeve' Hal 1;sporthal 'De Sporthoeve' Hal 2;'Hollandse Boerderij';'t Wierickehuis;Dorpshuis Custwijc;Huiskamer van Waarder;Dorpshuis De Kaag;Zalencentrum De Brug Zaal 1;Zalencentrum De Brug Zaal 2;Consistorie NH-Kerk;Sporthal de Meerkoet Hal 1;Sporthal de Meerkoet Hal 2;Gemeentehuis maandag;sporthal 'De Sporthoeve' maandag;Dorpshuis Custwijc maandag;Zalencentrum De Brug maandag;Gemeentehuis dinsdag;sporthal 'De Sporthoeve' dinsdag;Huiskamer van Waarder dinsdag;Zalencentrum De Brug dinsdag
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;201;207;211;214;301;307;312;314
Postcode;;;;;2411 BD;2411 VV;2411 CV;2411 DS;2411 EV;2411 LL;2411 LG;2411 LG;2411 PK;2415 AW;3465 KG;3466 LN;2811 LE;2811 CA;2811 CA;2811 GC;2811 BM;2811 BM;2411 BD;2411 LG;3465 KG;2811 CA;2411 BD;2411 LG;3466 LN;2811 CA
;aangetroffen stembiljetten;;;15929;1047;603;918;615;924;553;766;641;223;755;813;616;847;928;767;395;272;289;478;419;131;573;671;609;227;849
;meer stembiljetten dan toegelaten kiezers;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;minder stembiljetten dan toegelaten kiezers;;;5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0
;kiezers met stembiljet hebben niet gestemd;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
;andere verklaring;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;VVD;;;2287;148;86;95;115;100;70;68;71;8;90;45;41;178;193;177;101;54;62;58;41;13;142;82;63;17;169
;;1;Kersbergen, R.S.;826;43;44;26;34;43;29;20;26;1;41;26;20;92;47;42;32;12;11;31;28;9;58;27;28;12;44
;;2;Oskam, A.M.W.;644;66;32;44;54;38;27;42;29;7;37;14;12;30;30;25;17;7;11;14;7;2;12;34;28;4;21
;;3;van den Acker, D.A.M.;208;0;0;0;1;2;1;1;2;0;1;2;1;19;36;38;21;8;11;7;0;2;27;2;1;1;24
