Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Bibliotheek Nieuwstraat;Lokhorstkerk;Erfgoed Leiden en Omstreken;Academiegebouw;Herengrachtkerk;Marekerk;Waalse Kerk;COC Leiden;Museum De Lakenhal;MBO Rijnland Storm Buysingstraat;Huis van de Buurt Morschwijck;ROC Mondriaan;Het Waterland;Leidse Reddingsbrigade;Speeltuin Rondom de Maredijk;Studio Moio (De Rondedans);Theehuis Tuin van Noord;Huis van de Buurt Het Gebouw;Huis van de Buurt De Kooi;Speeltuin Ons Eiland;Huis van de Buurt Matilo;Stedelijk Gymnasium Athena;Basisschool Sint Joseph;Vredeskerk;Petruskerk;Llokaal;Speeltuin Zuiderkwartier;Basisschool Er-Risèlèh;Speeltuin Westerkwartier;Basisschool Leimundo;Rosenburch;Korfbalvereniging KZ Danaïden;Schoolgebouw Noachstraat;Basisschool de Astronaut;Speeltuin Prinses Beatrix;De Pelgrim;Huis van de Buurt Op Eigen Wieken;Sportzaal Broekplein;Gymzaal Basisschool De Dukdalf;Kerkelijk Centrum De Regenboog;Huis van de Buurt Stevenshof;Gymzaal Basisschool De Stevenshof;Sociëteit De Dobbegaarde;Basisschool De Arcade;Stadskantoor (Achterzijde Centraal Station);Centraal Station;Lokhorstkerk;Herengrachtkerk;Bibliotheek Nieuwstraat;Bibliotheek Nieuwstraat;Huis van de Buurt Morschwijck;Sportzaal Broekplein;Gymzaal Basisschool De Dukdalf;Kerkelijk Centrum De Regenboog;Gymzaal Basisschool De Stevenshof;Herengrachtkerk;Herengrachtkerk;MBO Rijnland Storm Buysingstraat;MBO Rijnland Storm Buysingstraat;Leidse Reddingsbrigade;Leidse Reddingsbrigade;Huis van de Buurt Het Gebouw;Huis van de Buurt Het Gebouw;Speeltuin Zuiderkwartier;Speeltuin Zuiderkwartier;Korfbalvereniging KZ Danaïden;Korfbalvereniging KZ Danaïden;Huis van de Buurt Op Eigen Wieken;Huis van de Buurt Op Eigen Wieken;Sociëteit De Dobbegaarde;Sociëteit De Dobbegaarde;Centraal Station;Centraal Station
Gebiednummer;;;;;1;2;3;5;8;10;11;12;13;15;16;17;18;19;20;22;23;24;28;29;30;32;33;34;35;37;38;40;42;44;45;46;48;49;50;51;52;54;56;58;60;62;64;66;99;100;102;108;114;115;116;154;156;158;162;814;815;1514;1515;1914;1915;2414;2415;3814;3815;4614;4615;5214;5215;6414;6415;10014;10015
Postcode;;;;;2312 KB;2311 SV;2311 PZ;2311 GJ;2312 LE;2312 GS;2311 CS;2312 NW;2312 RA;2332 VW;2332 JC;2332 AA;2334 EM;2334 CC;2316 VP;2316 NZ;2316 EP;2315 VA;2315 CD;2315 TL;2314 XH;2313 EP;2313 JE;2313 GG;2313 DM;2321 KS;2313 XA;2313 AB;2321 AW;2321 TA;2321 RB;2321 CC;2324 LT;2324 ER;2324 CX;2324 DR;2317 AN;2318 TJ;2317 VX;2317 ST;2331 GW;2331 DV;2331 ML;2314 BN;2333 CW;2312 AJ;2311 SV;2312 LE;2312 KB;2312 KB;2332 JC;2318 TJ;2317 VX;2317 ST;2331 DV;2312 LE;2312 LE;2332 VW;2332 VW;2334 CC;2334 CC;2315 VA;2315 VA;2313 XA;2313 XA;2321 CC;2321 CC;2317 AN;2317 AN;2331 ML;2331 ML;2312 AJ;2312 AJ
;;22;Hazen, T.J.T.;12;0;0;0;0;1;1;0;0;0;2;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
;;23;Tahmasian, F.;46;0;0;1;0;0;2;1;0;2;1;1;1;0;2;0;0;0;0;0;2;0;2;3;2;1;2;0;3;1;0;1;0;2;1;0;0;0;1;0;0;0;0;0;3;0;0;0;0;1;2;0;3;0;1;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0
;;24;Oude Wesselink, F.E.S.;36;1;1;1;2;0;2;1;0;4;1;0;0;0;0;0;0;0;1;2;1;1;0;0;0;1;1;1;0;1;1;0;0;0;1;0;0;0;0;1;0;1;1;0;1;0;1;1;0;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2
;;25;Olieroock, R.L.N.;13;0;0;0;0;0;1;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
;;26;'t Hart, E.L.V.;23;1;0;0;0;0;3;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;1;1;2;1;1;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;1;1;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;27;van Brussel, L.;23;0;0;0;1;0;1;0;0;0;0;1;0;0;3;0;0;0;1;0;2;0;1;1;1;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
;;28;Meijer, D;6;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
;;29;Slagter, R.;15;0;0;1;0;1;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Groen, S.I.A.;22;2;0;2;3;1;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;Bakker, B.;21;1;0;1;2;0;2;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;1;0;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;Verver, V.;35;1;0;0;3;1;3;1;2;0;1;1;0;0;4;2;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;1;1;2;0;0;0;0;0;0;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1
;;33;Arnoldus, C.;13;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;34;Göbel, A.A.;18;1;0;0;0;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
;;35;Krijgsman, E.;4;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;36;Butter, A.E.;12;0;0;1;1;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;Touw, J.C.;28;2;1;1;2;1;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;2;1;0;0;0;1;0;2;2;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;2
;;38;Pieters, J.H.M.;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;39;Overgaauw, P.W.;10;0;0;0;1;0;1;0;0;0;2;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
;;40;Gaulard, M.A.A.;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;41;de Lange, P.H.;3;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;42;Boot, T.G.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;2
;;43;Verschoor, S.T.;9;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1
;;44;Hendriks, R.J.F.;6;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;45;Klein, H.E.;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
;;46;van Meenen, P.H.;28;0;0;1;0;0;0;1;0;0;0;0;0;0;1;2;0;1;0;0;0;1;0;0;3;2;0;0;0;0;2;2;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;4;0;0;0;1;0;0;0;0;1
;;47;Paternotte, J.M.;45;1;1;3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;1;1;0;7;0;3;3;0;2;0;0;0;0;0;0;1;0;0;0;0;2;1;1;1;2;0;0;0;3;0;0;0;1;0;0;2;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;1;1;1
;;48;Köroğlu, V.;135;0;0;0;0;0;0;0;0;0;4;5;0;0;0;0;0;2;11;0;1;0;0;0;2;0;1;0;0;0;12;3;3;4;4;4;4;2;0;4;1;2;2;2;3;1;1;0;0;0;0;1;1;4;4;2;1;0;7;3;1;1;5;9;1;0;0;6;0;6;0;0;2;3
;;49;Dirkse, P.;46;0;0;3;1;0;1;0;0;0;0;2;2;0;1;1;0;1;0;0;0;0;2;0;1;1;0;0;3;0;0;0;0;2;0;1;0;0;3;2;1;0;0;0;2;0;1;0;0;1;1;0;0;3;0;0;0;1;3;1;0;0;2;1;1;0;0;1;0;0;0;0;0;0
;;50;te Velde, A.S.;99;5;2;3;0;1;3;5;3;4;0;1;1;1;0;0;2;1;0;0;0;1;1;0;0;1;3;0;1;1;4;1;0;0;1;1;0;0;0;0;1;0;0;1;2;4;6;0;4;2;4;0;1;0;0;0;2;3;0;0;2;2;0;0;2;1;0;1;0;1;1;0;1;11
2;GROENLINKS;;;12521;428;101;304;428;190;310;233;184;321;124;96;145;117;222;208;109;195;193;139;126;247;321;156;317;286;402;56;200;218;147;187;45;195;93;96;84;86;175;141;112;154;71;91;189;253;506;78;171;178;274;59;161;141;107;76;126;268;93;112;56;116;61;106;132;172;46;91;72;117;55;86;172;394
;;1;North, A.M.;4110;124;18;100;104;52;71;69;68;96;40;41;54;43;59;59;39;73;50;38;44;98;109;52;128;92;110;19;60;78;42;59;11;60;35;42;37;24;79;57;44;63;30;34;92;85;162;17;42;49;95;26;63;59;47;39;41;80;28;34;22;39;19;28;48;54;9;26;29;38;17;47;54;116
;;2;van Noort, P.;1878;43;8;51;54;20;45;18;27;28;14;19;26;23;27;42;24;28;49;37;23;43;54;24;58;40;38;11;27;32;31;31;4;32;21;19;12;14;24;30;14;32;14;17;38;27;48;9;31;25;31;11;26;24;16;16;16;28;13;18;8;22;14;22;18;27;12;15;12;18;15;17;24;49
;;3;Rowaan, R.;223;12;5;1;7;5;6;5;1;4;0;2;4;3;3;2;1;2;5;2;3;3;8;3;6;10;13;1;3;3;1;4;0;1;2;0;0;1;2;2;1;3;2;1;4;7;6;0;3;4;4;0;0;3;2;0;5;5;6;3;0;3;0;1;4;7;0;1;3;3;0;0;2;4
;;4;van Bree, E.J.M.;1309;53;11;30;50;17;32;30;21;47;20;4;17;6;31;28;6;31;13;13;16;28;32;21;23;28;38;5;20;27;17;20;10;20;8;9;8;3;14;11;4;12;6;6;13;24;56;5;20;13;28;6;11;11;13;8;11;28;9;23;7;11;10;5;10;21;4;5;7;12;10;9;27;46
;;5;Kargin, A.F.;285;6;1;10;21;3;9;3;4;4;2;1;2;0;12;6;2;2;7;3;10;2;6;2;4;3;10;2;0;3;3;5;1;5;0;1;4;4;5;1;4;4;2;1;0;8;16;0;4;2;7;4;5;2;4;3;5;4;3;2;0;2;1;4;2;6;1;2;1;1;0;2;5;9
;;6;Schreuder, M.L.;771;38;12;17;41;21;26;32;10;20;6;0;8;8;20;10;7;10;6;7;4;14;26;8;23;31;35;4;10;14;8;14;4;7;6;4;4;4;7;4;10;6;2;2;6;15;28;4;9;20;16;1;5;2;1;2;8;17;5;4;6;8;2;3;7;9;2;9;1;3;0;3;11;14
;;7;van Spronsen, P.I.;273;8;3;6;11;5;2;2;5;4;3;1;1;2;4;4;2;1;6;1;3;1;1;3;5;11;9;1;18;6;6;3;1;1;3;1;0;5;4;2;5;0;1;0;4;6;8;5;2;1;7;1;3;3;3;2;6;8;5;0;1;2;2;3;13;10;2;1;0;4;0;1;2;7
;;8;du Pon, I.L.;660;23;10;16;32;17;25;19;2;28;4;6;6;7;8;10;5;11;9;6;9;9;23;9;11;11;19;1;10;13;7;6;3;16;1;4;2;6;4;5;4;3;1;2;5;18;42;10;15;16;8;0;5;5;2;1;6;20;6;3;1;7;2;6;5;7;0;8;1;6;3;0;4;25
;;9;Friso, A.J.;83;2;0;2;3;3;5;4;1;5;1;0;2;1;4;1;0;1;1;2;1;1;1;0;1;2;2;0;0;4;0;1;0;0;0;3;0;0;3;0;0;0;0;0;0;0;2;2;1;1;6;0;1;0;1;0;0;2;0;0;1;0;0;3;2;0;1;0;0;1;0;0;0;2
;;10;Boutaïbi, H.;267;11;1;6;7;2;12;2;4;4;0;2;1;8;13;3;1;3;6;4;2;1;5;2;4;6;7;1;3;2;6;5;0;8;0;3;0;3;1;1;3;4;0;1;4;14;9;3;7;3;3;2;4;1;1;0;3;8;2;5;3;3;1;4;1;3;1;1;0;3;0;1;7;12
;;11;Hoogeboom, C.L.;391;15;8;10;16;10;14;11;6;7;3;4;3;2;2;5;5;2;8;5;2;5;6;5;6;5;19;3;10;7;4;6;1;11;2;2;2;1;5;3;2;1;0;5;0;7;19;3;9;7;13;3;7;1;1;0;4;16;3;7;1;0;2;3;4;4;0;3;4;2;1;0;4;14
;;12;Schrieks, J.;102;3;1;4;5;2;2;2;0;3;0;0;1;0;1;3;1;0;1;1;1;1;3;1;0;1;4;0;0;1;3;2;0;3;1;1;5;3;0;1;0;1;1;0;0;2;3;0;1;2;4;0;3;1;3;0;0;1;2;2;0;0;1;2;1;0;1;2;0;1;0;0;1;6
;;13;van Oosterom, L.M.;347;10;1;6;16;5;14;8;9;23;6;0;3;2;4;7;3;3;8;2;1;7;4;6;4;6;27;2;6;9;2;2;1;10;2;2;1;0;2;2;2;2;1;2;3;6;19;3;8;5;8;1;1;3;1;0;3;9;1;2;2;0;2;5;4;2;2;1;0;3;3;1;4;12
;;14;Scheinowitz, N.M.A.;170;9;2;2;7;2;6;4;2;8;1;0;0;3;7;1;1;2;3;2;1;0;4;0;2;8;10;0;2;2;0;2;1;4;1;1;1;1;0;1;1;2;2;0;0;6;7;3;1;3;1;0;3;0;0;0;2;2;2;0;1;2;0;3;3;5;1;0;2;1;0;0;4;10
;;15;Burger, S.L.;45;1;0;0;1;0;0;1;2;0;2;2;0;1;0;0;0;2;1;2;0;11;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;3;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3
;;16;Lamers, T.F.;44;2;1;0;2;2;3;0;0;3;0;0;1;0;1;0;0;0;0;2;0;0;1;1;0;4;2;0;1;0;1;0;0;2;0;0;0;0;0;0;1;0;0;2;0;0;4;0;0;0;0;0;1;0;0;0;0;2;0;0;0;1;0;1;0;1;0;0;0;0;0;0;2;0
;;17;Bosman, Y.A.;77;2;0;0;4;1;0;0;0;0;0;1;1;0;2;1;1;2;1;0;0;0;0;1;2;5;9;0;1;0;0;3;0;2;1;0;1;2;0;0;0;2;1;1;1;1;2;1;2;1;4;0;0;0;0;0;0;3;0;0;0;0;0;1;0;1;0;1;0;0;0;0;2;10
;;18;van Peijpe, R.M.;502;30;8;17;20;8;14;11;13;13;6;3;1;2;7;3;3;7;7;4;2;8;12;8;17;9;25;1;6;5;4;12;3;7;4;2;3;1;4;3;2;3;4;2;9;14;32;6;6;12;17;2;0;3;0;1;3;11;1;4;1;5;0;4;2;4;2;5;0;5;0;0;5;24
;;19;van der Velden, J.;45;1;1;3;3;0;1;2;0;1;1;1;0;0;0;2;0;0;0;1;0;1;1;0;0;1;3;0;2;0;0;0;0;0;2;0;0;0;2;1;0;3;0;0;0;0;2;1;0;2;1;0;1;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0
;;20;Visscher, M.H.;18;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1;2;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0
;;21;Harthoorn, J.;16;1;1;0;1;0;1;0;0;3;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
;;22;Leeuwrik Nieborg, J.M.A.E.;9;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
;;23;van Middelkoop, E.E.;50;3;0;0;2;0;2;0;0;1;1;0;0;0;4;1;0;1;0;0;0;0;0;0;1;1;1;0;2;1;0;0;0;0;0;0;0;2;3;1;1;1;0;1;1;0;3;0;0;1;0;0;3;0;1;0;0;1;0;0;0;0;0;1;0;2;0;0;0;1;1;0;3;2
;;24;Mohajerani, K.;43;3;0;0;1;0;0;1;1;0;2;0;0;0;0;0;0;0;1;0;0;0;2;0;1;1;0;0;1;1;1;1;0;1;0;0;0;1;1;0;0;0;0;0;1;1;5;1;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;2;1;1;2;2;2;1
;;25;Cengiz, Ü.S.;100;5;1;4;2;2;4;1;0;4;0;1;3;0;0;2;2;0;3;1;0;3;1;1;0;0;2;0;10;0;1;1;1;1;0;0;1;3;2;0;0;1;0;6;3;2;1;0;1;0;2;0;1;3;0;0;0;2;1;0;0;0;2;2;0;2;0;2;2;0;0;0;2;3
;;26;Bakker, S.J.;61;1;2;1;3;1;2;1;0;2;2;2;1;3;2;1;0;2;0;0;0;3;4;0;3;0;2;0;1;1;0;1;0;1;0;0;0;0;1;2;0;0;0;1;0;2;5;0;0;1;1;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1
;;27;Ogier, J.S.;41;0;0;0;2;1;1;1;1;1;1;0;1;0;3;0;1;2;0;0;0;1;0;0;0;0;1;0;1;1;2;0;1;0;0;0;0;1;1;0;0;3;0;0;0;0;2;1;0;0;1;0;0;0;1;0;0;1;1;0;0;0;1;0;1;1;2;1;0;0;0;0;0;1
;;28;Boersema, J.J.;22;0;0;1;0;0;2;1;0;0;0;0;1;0;1;0;0;0;0;2;0;0;0;1;0;0;2;0;0;0;1;0;0;0;2;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;0;1;0;0;0
;;29;Veldkamp, T.J.;76;2;2;3;2;0;1;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0;1;1;0;4;6;1;0;0;0;0;0;0;0;1;0;0;12;6;5;1;0;2;0;0;0;2;0;0;1;0;0;0;7;5;0;0;0;3
;;30;van der Wal, W.H.A.;28;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2;0;0;1;0;0;1;3;4;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;2;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;1
;;31;van Lint, R.J.T.;7;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;van Hees, G.J.A.;25;0;0;1;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;3;0;3;2;0;0;0;0;0;0;0;1;0;0;0;1;2;2;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0
;;33;Leewis, M.E.F.;20;1;0;0;0;1;1;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;2;0;0;1;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
;;34;Laurier, J.P.;28;0;1;2;0;0;0;1;2;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1;2;0;0;0;3;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;1;0;0;2
;;35;van den Broek, J.M.;16;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;36;Duijndam, A.J.;12;0;0;1;1;1;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;37;Jordanova, E.S.;69;4;0;0;1;1;0;1;1;2;0;0;0;0;1;6;0;5;1;0;0;0;2;1;0;1;0;0;1;0;1;0;0;0;0;1;0;0;1;1;0;4;0;1;0;4;1;1;0;2;2;0;0;6;1;0;0;2;1;0;0;2;0;1;0;1;0;0;0;1;0;1;0;6
;;38;Cornel, G.J.M.;65;2;0;1;1;2;4;1;0;1;0;0;0;0;1;5;3;1;2;3;0;0;1;1;2;0;0;0;0;2;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;1;3;1;2;4;3;0;0;2;0;0;0;3;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;5
;;39;van Gaal, G.;46;4;1;0;3;0;0;2;0;1;1;0;0;0;0;1;0;0;0;1;1;3;3;0;5;0;2;1;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;2;0;0;1;1;0;0;0;0;0;1;0;0;4;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1
;;40;van Peijpe, W.R.A.;34;2;1;3;1;0;1;0;1;2;1;1;0;0;0;0;0;0;0;0;1;0;0;1;2;0;2;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;4;0;0;0;2;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0
;;41;van Delft, Y.A.;153;5;1;4;3;1;3;0;2;2;5;2;5;2;3;1;1;0;1;0;1;3;5;0;5;5;7;1;0;6;4;3;1;2;0;0;0;0;3;1;1;1;1;2;0;1;7;0;2;0;1;1;2;2;1;3;2;3;3;4;0;3;2;1;2;3;3;1;0;4;1;1;3;4
3;VVD;;;6367;168;36;136;176;87;113;91;81;79;77;112;58;68;103;64;26;69;59;51;58;238;191;110;177;140;125;17;68;114;61;95;32;111;68;75;106;27;108;80;81;188;71;119;233;98;153;28;60;75;126;46;84;85;88;74;60;77;66;60;31;59;24;34;51;58;56;59;60;68;60;97;71;112
;;1;de Crom, M.;2766;53;9;61;47;29;43;31;43;34;40;64;21;31;49;24;13;36;21;28;24;89;75;56;88;58;55;4;28;40;28;55;18;57;40;30;67;12;49;38;46;92;27;62;90;38;42;8;13;31;35;22;37;50;47;40;21;35;37;30;14;19;15;20;22;19;33;33;18;34;23;53;30;42
;;2;Voorwald, A.;1214;37;9;28;25;15;29;7;13;11;14;17;11;14;19;15;5;13;10;15;11;26;25;20;41;32;12;5;15;19;15;17;4;15;10;26;13;7;38;28;19;32;8;14;40;22;35;1;11;4;20;10;30;18;24;17;11;11;9;18;4;8;6;1;10;10;7;11;31;18;9;18;19;22
;;3;Leest, T.;243;3;0;2;0;2;0;1;3;1;3;2;0;2;0;3;1;1;3;0;4;31;8;3;4;1;6;1;1;0;3;2;1;5;1;2;2;1;4;1;0;4;2;1;63;3;4;1;1;4;4;0;0;0;0;6;1;4;9;3;0;1;0;1;1;6;0;1;3;2;0;4;0;6
