Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Bibliotheek Nieuwstraat;Lokhorstkerk;Erfgoed Leiden en Omstreken;Academiegebouw;Herengrachtkerk;Marekerk;Waalse Kerk;COC Leiden;Museum De Lakenhal;MBO Rijnland Storm Buysingstraat;Huis van de Buurt Morschwijck;ROC Mondriaan;Het Waterland;Leidse Reddingsbrigade;Speeltuin Rondom de Maredijk;Studio Moio (De Rondedans);Theehuis Tuin van Noord;Huis van de Buurt Het Gebouw;Huis van de Buurt De Kooi;Speeltuin Ons Eiland;Huis van de Buurt Matilo;Stedelijk Gymnasium Athena;Basisschool Sint Joseph;Vredeskerk;Petruskerk;Llokaal;Speeltuin Zuiderkwartier;Basisschool Er-Risèlèh;Speeltuin Westerkwartier;Basisschool Leimundo;Rosenburch;Korfbalvereniging KZ Danaïden;Schoolgebouw Noachstraat;Basisschool de Astronaut;Speeltuin Prinses Beatrix;De Pelgrim;Huis van de Buurt Op Eigen Wieken;Sportzaal Broekplein;Gymzaal Basisschool De Dukdalf;Kerkelijk Centrum De Regenboog;Huis van de Buurt Stevenshof;Gymzaal Basisschool De Stevenshof;Sociëteit De Dobbegaarde;Basisschool De Arcade;Stadskantoor (Achterzijde Centraal Station);Centraal Station;Lokhorstkerk;Herengrachtkerk;Bibliotheek Nieuwstraat;Bibliotheek Nieuwstraat;Huis van de Buurt Morschwijck;Sportzaal Broekplein;Gymzaal Basisschool De Dukdalf;Kerkelijk Centrum De Regenboog;Gymzaal Basisschool De Stevenshof;Herengrachtkerk;Herengrachtkerk;MBO Rijnland Storm Buysingstraat;MBO Rijnland Storm Buysingstraat;Leidse Reddingsbrigade;Leidse Reddingsbrigade;Huis van de Buurt Het Gebouw;Huis van de Buurt Het Gebouw;Speeltuin Zuiderkwartier;Speeltuin Zuiderkwartier;Korfbalvereniging KZ Danaïden;Korfbalvereniging KZ Danaïden;Huis van de Buurt Op Eigen Wieken;Huis van de Buurt Op Eigen Wieken;Sociëteit De Dobbegaarde;Sociëteit De Dobbegaarde;Centraal Station;Centraal Station
Gebiednummer;;;;;1;2;3;5;8;10;11;12;13;15;16;17;18;19;20;22;23;24;28;29;30;32;33;34;35;37;38;40;42;44;45;46;48;49;50;51;52;54;56;58;60;62;64;66;99;100;102;108;114;115;116;154;156;158;162;814;815;1514;1515;1914;1915;2414;2415;3814;3815;4614;4615;5214;5215;6414;6415;10014;10015
Postcode;;;;;2312 KB;2311 SV;2311 PZ;2311 GJ;2312 LE;2312 GS;2311 CS;2312 NW;2312 RA;2332 VW;2332 JC;2332 AA;2334 EM;2334 CC;2316 VP;2316 NZ;2316 EP;2315 VA;2315 CD;2315 TL;2314 XH;2313 EP;2313 JE;2313 GG;2313 DM;2321 KS;2313 XA;2313 AB;2321 AW;2321 TA;2321 RB;2321 CC;2324 LT;2324 ER;2324 CX;2324 DR;2317 AN;2318 TJ;2317 VX;2317 ST;2331 GW;2331 DV;2331 ML;2314 BN;2333 CW;2312 AJ;2311 SV;2312 LE;2312 KB;2312 KB;2332 JC;2318 TJ;2317 VX;2317 ST;2331 DV;2312 LE;2312 LE;2332 VW;2332 VW;2334 CC;2334 CC;2315 VA;2315 VA;2313 XA;2313 XA;2321 CC;2321 CC;2317 AN;2317 AN;2331 ML;2331 ML;2312 AJ;2312 AJ
;aangetroffen stembiljetten;;;55300;1501;427;1290;1603;710;1245;859;668;1024;703;672;696;513;813;687;547;825;727;697;521;1380;1343;790;1411;1139;1306;293;649;821;664;888;297;865;531;580;640;443;806;700;830;1231;519;647;1039;854;1793;262;669;843;1199;359;780;685;655;544;545;864;547;621;288;393;327;477;523;668;355;478;453;656;431;599;629;1263
;meer stembiljetten dan toegelaten kiezers;;;7;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;kiezers met stembiljet hebben niet gestemd;;;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;2;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;7;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;andere verklaring;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;D66;;;8647;235;68;249;266;129;191;156;101;147;104;86;93;85;195;101;73;142;109;74;87;264;266;144;261;177;180;38;108;118;111;111;48;145;75;65;63;48;140;122;104;131;59;76;222;149;306;38;118;142;199;44;137;111;73;47;101;126;72;89;66;64;48;69;79;116;44;71;68;105;36;82;86;194
;;1;Spijker, F.;4557;100;34;139;122;61;76;69;50;50;45;45;43;46;112;48;41;76;46;29;43;163;161;86;158;78;97;23;50;67;44;50;25;84;32;35;41;30;94;86;68;98;34;46;150;67;145;11;47;68;91;27;89;76;45;29;51;58;27;44;27;36;23;31;38;75;25;32;46;62;24;58;40;90
