Verkiezing;;Gemeenteraad Leiderdorp 2022;;;;;;;;;;;;;;;;;
Datum;;2022-03-16;;;;;;;;;;;;;;;;;
Gebied;;Gemeente Leiderdorp;;;;;;;;;;;;;;;;;
Nummer;;0547;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Gemeentehuis Leiderdorp;Gebouw Irene;Winkelhofplein;Scheppingskerk;Gymzaal Zijlkwartier;Gymzaal Klerkenhof;Dwars;Sport- en Recreatiecentrum De Does;Korfbalvereniging Velocitas;Mobiel stembureau Ommedijk;Mobiel stembureau Van Alphenstaete en Huis ter Does;Gebouw Irene Maandag;Gebouw Irene Dinsdag;Winkelhof Maandag;Winkelhof Dinsdag
1;Partij van de Arbeid / GROENLINKS;;;2832;118;241;473;333;200;250;89;100;185;3;11;118;131;238;342
;;1;Macdaniel, O.C.;875;28;75;159;94;56;84;32;11;56;2;8;33;39;80;118
;;2;Vastenhoud, B.;198;8;10;36;14;13;15;4;7;17;0;0;14;6;27;27
;;3;Schmidt, R.;53;2;0;11;5;2;3;4;1;3;0;0;3;4;2;13
;;4;van Beek, M.D.;617;24;56;97;87;48;52;14;19;36;0;2;26;27;54;75
;;5;van Roemburg, S.M.A.;272;10;25;38;28;24;28;11;22;20;0;1;15;8;20;22
;;6;Brouwer de Koning, T.J.;104;4;6;13;12;12;9;3;4;9;0;0;2;7;10;13
;;7;van Reijn, J.J.E.;134;9;11;15;23;8;12;0;6;8;1;0;4;6;15;16
;;8;van der Steenhoven, M.V.;99;4;10;18;13;9;6;3;7;7;0;0;5;7;3;7
;;9;Overduin, S.;154;11;26;23;16;4;11;9;11;14;0;0;5;14;3;7
;;10;van Malkenhorst, N.G.;25;1;3;8;5;1;0;0;2;1;0;0;0;2;2;0
;;11;Zandvliet, H.;8;1;0;3;1;0;0;0;0;0;0;0;0;0;0;3
;;12;Snik - van den Burg, A.;70;3;9;8;9;4;4;3;5;3;0;0;5;3;6;8
;;13;Reijken, J.G.;17;0;0;7;0;0;3;0;0;0;0;0;0;0;3;4
;;14;Bah, I.L.;94;6;5;17;13;12;14;1;3;6;0;0;3;1;4;9
;;15;Menger, O.M.;2;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0
;;16;van de Walle, A.;12;1;0;0;1;0;2;4;1;0;0;0;0;0;0;3
;;17;Dutour Geerling, A.C.;18;1;1;5;1;1;1;0;1;1;0;0;0;0;2;4
;;18;van der Vos, F.;14;1;1;3;4;3;1;0;0;0;0;0;0;1;0;0
;;19;Vons, C.W.;35;2;0;7;7;1;0;0;0;2;0;0;3;3;5;5
;;20;Hoekstra, R.;9;2;2;1;0;0;1;1;0;0;0;0;0;1;0;1
;;21;Vons, G.;4;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0
;;22;van Zandwijk, L.;18;0;0;2;0;1;4;0;0;1;0;0;0;2;1;7
2;Lokale Partij Leiderdorp;;;2921;125;244;451;373;199;359;94;71;247;1;27;68;126;212;324
;;1;Langenberg, H.K.;1480;58;115;240;206;102;149;50;27;123;1;15;36;70;118;170
;;2;Bruggeman, J.L.M.;147;4;13;21;20;7;23;4;4;15;0;1;4;9;9;13
;;3;Verheggen, H.P.M.;76;8;7;15;4;3;5;3;3;11;0;2;4;8;2;1
;;4;Filemon, E;335;6;37;37;35;29;64;17;8;22;0;4;7;6;22;41
;;5;Balak, K;375;30;38;59;43;22;39;9;15;25;0;2;8;12;33;40
;;6;van Beelen, R.S.L.M.;37;6;4;5;3;8;5;3;0;1;0;0;0;0;0;2
;;7;Zuidervaart, J.E.P.M.;226;6;19;32;33;16;30;4;5;20;0;1;3;12;13;32
;;8;Koen-Geelhoed, I.L.;132;5;4;30;16;11;24;2;3;8;0;0;2;5;8;14
;;9;Koster, J.A.;113;2;7;12;13;1;20;2;6;22;0;2;4;4;7;11
3;VVD;;;1961;156;167;288;165;117;178;94;73;141;2;12;83;116;164;205
;;1;Breedveld, M.;1296;104;96;199;108;70;111;61;43;95;2;8;51;76;129;143
;;2;van Noort, F.;154;9;13;16;12;7;16;7;9;22;0;1;12;12;8;10
;;3;Verwers, N.;52;4;4;10;2;1;7;6;1;5;0;0;1;0;2;9
;;4;Groentjes, T.H.J.;28;3;3;4;5;1;1;1;1;2;0;1;3;1;2;0
;;5;de Jong, G.J.A.M.;22;1;2;5;3;0;5;2;1;0;0;0;0;1;0;2
;;6;van Elburg, B.A.M.;100;7;16;19;7;6;15;2;1;2;0;0;4;4;6;11
;;7;Meiners, D.;20;1;3;2;0;1;3;0;1;3;0;1;1;1;1;2
;;8;Joosten, W.N.A.;61;5;8;9;9;5;2;1;0;2;0;0;3;7;4;6
;;9;Cooijmans-Ommering, C.;50;7;8;5;2;2;3;4;5;2;0;0;0;4;5;3
;;10;Zonneveld, F.T.M.;10;1;2;0;0;1;0;0;0;0;0;0;0;1;1;4
;;11;Suijkerbuijk, J.B.P.M.;62;3;7;4;10;7;5;5;8;4;0;0;5;4;0;0
;;12;van Arkel, J.E.C.;6;0;0;1;0;0;0;1;0;1;0;0;0;2;1;0
;;13;van der Horst, R.;4;1;0;1;0;1;0;0;0;0;0;0;0;0;0;1
;;14;Bresters, J.T.O.;4;0;0;0;0;1;1;0;0;0;0;0;0;2;0;0
;;15;Reidsma, B.Y.;12;2;0;2;1;2;0;0;0;0;0;0;0;1;2;2
;;16;Gerrese, J.;6;0;0;2;0;2;0;0;0;0;0;1;0;0;0;1
;;17;Zilverentant, H.L.;39;6;4;6;4;6;2;2;1;0;0;0;2;0;0;6
;;18;Wassenaar, C.J.M.W.;35;2;1;3;2;4;7;2;2;3;0;0;1;0;3;5
4;D66;;;1911;112;228;293;212;144;153;71;86;129;2;6;60;87;150;178
;;1;Hendriks, J.H.W.;715;41;88;106;80;52;58;26;33;40;0;4;24;32;57;74
;;2;Van Brandenburg-Kulkarni, P.;248;11;23;44;38;23;18;6;10;24;0;1;5;7;17;21
;;3;van Ulden, M.;566;25;67;96;63;35;52;26;26;33;1;0;13;27;45;57
;;4;Barendse-Wijminga, H.C.;143;24;24;16;6;10;4;5;10;6;0;1;12;10;5;10
;;5;van Boxsel, J.A.M.;44;0;2;2;1;4;2;3;2;8;0;0;1;3;12;4
;;6;Visser, R.P.L.S.;14;1;0;4;1;0;1;1;1;1;0;0;0;0;2;2
;;7;van Houwelingen, J.A.W.;13;1;3;3;1;0;1;0;0;0;0;0;0;3;1;0
;;8;van de Zande, N.C.;33;3;4;6;1;3;4;1;1;2;0;0;0;2;4;2
;;9;Grootaarts, E.J.;24;0;3;1;9;3;2;1;2;1;0;0;1;0;1;0
;;10;Kikkert, W.;5;0;1;1;1;1;0;0;0;0;1;0;0;0;0;0
;;11;Goossens, M.;7;0;0;1;1;0;0;0;0;2;0;0;0;0;2;1
;;12;de Jongh-Langereis, L.;33;2;7;2;2;3;4;0;1;6;0;0;2;1;1;2
;;13;Kuggeleijn, J.;10;0;1;2;3;4;0;0;0;0;0;0;0;0;0;0
;;14;van Haasteren, S.A.G.;56;4;5;9;5;6;7;2;0;6;0;0;2;2;3;5
5;CDA;;;1439;75;140;188;178;79;97;36;37;113;4;12;62;89;167;162
;;1;Hempen, M.;752;43;60;113;109;43;58;10;10;43;1;9;27;43;100;83
;;2;van der Stelt, M.;183;6;19;19;18;12;9;7;4;17;1;1;8;12;24;26
;;3;den Outer, S.;84;6;15;14;7;2;7;1;1;12;0;1;1;0;6;11
;;4;Huisman, J.C.P.;97;0;10;7;11;3;3;2;7;27;0;0;6;6;9;6
;;5;Gardeniers, J.J.F.M.;56;6;2;9;3;2;3;4;4;3;1;0;6;5;3;5
;;6;Stevers, J.M.;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
;;7;Muntinghe, A.H.L.;12;0;0;1;0;0;2;0;0;0;0;0;0;0;5;4
;;8;den Dekker- van der Meijden, J.;19;0;2;3;4;1;1;0;0;1;0;0;0;2;4;1
;;9;Vogels, E.M.;23;2;6;3;1;4;0;0;1;1;0;0;0;3;0;2
;;10;van Jaarsveld, N.H.M.;10;2;0;2;0;3;1;0;0;0;0;1;0;0;0;1
;;11;van der Does, G.;14;0;1;1;3;0;0;0;0;0;0;0;2;5;1;1
;;12;van Overloop, P.A.M.;31;1;4;1;2;3;1;6;1;2;0;0;5;1;1;3
;;13;van Diepen- van Wijk, M.A.J.;10;0;2;1;1;1;0;0;0;1;0;0;1;1;2;0
;;14;Bos, J.H.;9;2;2;0;2;0;0;0;1;0;0;0;0;2;0;0
;;15;van Trigt, J.M.;25;0;12;0;2;0;1;0;0;0;0;0;6;4;0;0
;;16;van Huut, J.H.M.;112;7;5;14;14;4;11;6;8;6;1;0;0;5;12;19
6;ChristenUnie-SGP;;;592;22;49;81;86;55;54;21;14;39;2;0;28;27;62;52
;;1;Janssen, A.N.;275;8;24;38;48;30;20;13;6;8;2;0;14;18;32;14
;;2;van Nieuw Amerongen, M.A.;16;1;0;1;1;3;2;0;0;2;0;0;2;1;3;0
;;3;Tax, B.A.M.;52;0;3;3;4;6;13;0;1;8;0;0;1;0;8;5
;;4;Westeneng, M.C.;7;0;1;0;1;1;0;0;0;1;0;0;0;0;0;3
;;5;Roos, M.;11;2;1;2;0;1;1;0;0;1;0;0;0;0;0;3
;;6;de Wilde, J.A.;9;1;2;0;1;2;0;0;0;1;0;0;0;1;0;1
;;7;Pikart-van den Berg, M.F.N.;79;3;4;14;12;5;8;1;2;7;0;0;4;1;10;8
;;8;Schipaanboord-van Hattem, J.T.;23;1;0;3;5;3;1;2;0;2;0;0;0;2;0;4
;;9;Bil, A.S.;7;0;0;0;0;0;4;0;0;0;0;0;1;0;0;2
;;10;Domburg-de Rooij, C.;47;1;8;10;8;0;2;2;3;5;0;0;4;1;3;0
;;11;Nijsse, P.G.J.;3;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0
;;12;Grigorian, A.;14;0;1;3;2;0;1;0;2;0;0;0;0;0;0;5
;;13;Scholten, H.J.;4;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0
;;14;Zwaan, A.L.;7;3;0;0;0;0;0;1;0;0;0;0;0;0;2;1
;;15;van den Born-Oudenaarden, C.;3;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0
;;16;Naaktgeboren, P.J.;8;0;3;1;0;0;1;0;0;0;0;0;0;0;2;1
;;17;Brinkhuis, J.D.A.;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2
;;18;Anker, G.;7;1;1;2;0;0;1;0;0;0;0;0;0;0;0;2
;;19;Geluk-van Popering, C.N.;5;1;0;1;1;0;0;0;0;2;0;0;0;0;0;0
;;20;Schipaanboord, G.P.;12;0;1;2;0;2;0;0;0;2;0;0;2;0;2;1
