Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Nieuwe Kerk;Nieuwe Kerk (2);Rietveld Theater;Open Delft;Stadskantoor gemeente Delft;Museum Prinsenhof Delft;Hoogheemraadschap Delfland;Locatie Crommelinplein 1;Wijkcentrum De Parel;Locatie Het Kristal (stemtent);Stanislaskapel Delft;Gymzaal Van Alkemadestraat;Gymzaal Van Tienhovestraat;Hofkerk;Virgiel;Locatie Schrobbelaarstraat (stemtent);Prins Mauritsschool;Wijkcentrum Delft Noord;Betlehemkerk;Gymzaal Maria Duystlaan;Buccaneer Delft;Buurthuis Onder de Schie;Lijm en Cultuur;TU Aula;The Student Hotel;Vrijetijdscentrum De Wipmolen;Locatie Werkse!;Wijkwerk Wippolder;Buurthuis De Wending;Buurthuis Het Voorhof;Jongerencentrum The Culture;Marcuskerk;Abtswoude bloeit;Wijkcentrum De Vleugel;Vierhovenkerk;Locatie Fuutlaan 166;Locatie Tanthof West (stemtent);Wijkcentrum Het Buitenhuis;Wijkcentrum De Hofstee;Gebouw Het Westlandhof;Locatie Tanthof Oost (stemtent);Verpleeghuis De Bieslandhof;Woonzorgcentrum Delfshove;Woonzorgcentrum Stefanna;Wooncentrum Die Buytenweye;GGZ Delfland gebouw De Draeck;Open Delft 14 maart;Stadskantoor gemeente Delft 14 maart;Wijkcentrum De Parel 14 maart;Locatie Het Kristal (stemtent)  14 maart;Wijkcentrum Delft Noord 14 maart;Buccaneer Delft 14 maart;Lijm en Cultuur 14 maart;Jongerencentrum The Culture 14 maart;Wijkcentrum De Hofstee 14 maart;PRO Grotius College 14 maart;Open Delft 15 maart;Stadskantoor gemeente Delft 15 maart;Wijkcentrum De Parel 15 maart;Locatie Het Kristal (stemtent) 15 maart;Wijkcentrum Delft Noord 15 maart;Buccaneer Delft 15 maart;Lijm en Cultuur 15 maart;Jongerencentrum The Culture 15 maart;Wijkcentrum De Hofstee 15 maart;PRO Grotius College 15 maart
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69
Postcode;;;;;2611 GW;2611 GW;2611 LH;2611 WG;2611 BV;2611 HR;2611 AL;2627 BM;2614 HE;2614 SH;2613 GK;2614 EP;2613 XC;2613 WP;2611 BC;2613 MH;2628 GJ;2612 CB;2612 GK;2612 SR;2611 PA;2628 AJ;2628 AT;2628 CC;2611 DW;2628 JR;2624 AV;2628 JN;2613 RW;2624 XL;2625 CZ;2624 TH;2624 LJ;2624 LD;2625 XN;2623 MS;;2625 RE;2622 DW;2614 HX;2623 NV;2612 VC;2624 DS;2624 LW;2625 TD;2612 GA;2611 WG;2611 BV;2614 HE;;2612 CB;2611 PA;2628 AT;2625 CZ;2622 DW;2624 AX;2611 WG;2611 BV;2614 HE;;2612 CB;2611 PA;2628 AT;2625 CZ;2622 DW;2624 AX
;aangetroffen stembiljetten;;;42892;1582;1229;356;1098;1622;1012;797;591;740;1216;927;370;381;678;822;437;896;455;614;1063;773;910;443;1990;231;442;409;424;785;417;923;1206;603;730;495;1079;1360;1249;1166;834;577;22;23;18;35;20;388;685;263;237;144;356;197;368;704;206;627;1218;331;428;226;526;289;484;866;299
;meer stembiljetten dan toegelaten kiezers;;;12;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0
;minder stembiljetten dan toegelaten kiezers;;;25;3;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0
;kiezers met stembiljet hebben niet gestemd;;;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te weinig stembiljetten uitgereikt;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;er zijn te veel stembiljetten uitgereikt;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;geen verklaring;;;33;3;2;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;1;1;0;2;0;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;1;3;0;0;0;1;0;1;1;0
;andere verklaring;;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;GROENLINKS;;;5831;258;188;87;205;295;174;149;90;91;127;170;46;61;122;58;45;124;44;70;126;139;145;63;271;37;41;58;61;147;46;100;137;52;76;30;132;152;141;137;97;74;3;0;1;3;5;55;94;28;29;16;56;25;31;76;25;105;187;38;58;27;87;33;47;90;46
;;1;Wessels, R.M.;2929;108;74;49;116;143;68;80;54;55;66;101;26;44;75;21;27;61;28;43;68;79;79;23;106;19;13;23;32;81;19;49;48;25;25;16;71;77;67;84;49;54;2;0;0;2;3;29;50;18;18;12;26;6;14;45;8;52;84;25;37;13;39;14;22;48;16
