Lijstnummer;Aanduiding;Volgnummer;Naam kandidaat;Totaal;Nieuwe Kerk;Nieuwe Kerk (2);Rietveld Theater;Open Delft;Stadskantoor gemeente Delft;Museum Prinsenhof Delft;Hoogheemraadschap Delfland;Locatie Crommelinplein 1;Wijkcentrum De Parel;Locatie Het Kristal (stemtent);Stanislaskapel Delft;Gymzaal Van Alkemadestraat;Gymzaal Van Tienhovestraat;Hofkerk;Virgiel;Locatie Schrobbelaarstraat (stemtent);Prins Mauritsschool;Wijkcentrum Delft Noord;Betlehemkerk;Gymzaal Maria Duystlaan;Buccaneer Delft;Buurthuis Onder de Schie;Lijm en Cultuur;TU Aula;The Student Hotel;Vrijetijdscentrum De Wipmolen;Locatie Werkse!;Wijkwerk Wippolder;Buurthuis De Wending;Buurthuis Het Voorhof;Jongerencentrum The Culture;Marcuskerk;Abtswoude bloeit;Wijkcentrum De Vleugel;Vierhovenkerk;Locatie Fuutlaan 166;Locatie Tanthof West (stemtent);Wijkcentrum Het Buitenhuis;Wijkcentrum De Hofstee;Gebouw Het Westlandhof;Locatie Tanthof Oost (stemtent);Verpleeghuis De Bieslandhof;Woonzorgcentrum Delfshove;Woonzorgcentrum Stefanna;Wooncentrum Die Buytenweye;GGZ Delfland gebouw De Draeck;Open Delft 14 maart;Stadskantoor gemeente Delft 14 maart;Wijkcentrum De Parel 14 maart;Locatie Het Kristal (stemtent)  14 maart;Wijkcentrum Delft Noord 14 maart;Buccaneer Delft 14 maart;Lijm en Cultuur 14 maart;Jongerencentrum The Culture 14 maart;Wijkcentrum De Hofstee 14 maart;PRO Grotius College 14 maart;Open Delft 15 maart;Stadskantoor gemeente Delft 15 maart;Wijkcentrum De Parel 15 maart;Locatie Het Kristal (stemtent) 15 maart;Wijkcentrum Delft Noord 15 maart;Buccaneer Delft 15 maart;Lijm en Cultuur 15 maart;Jongerencentrum The Culture 15 maart;Wijkcentrum De Hofstee 15 maart;PRO Grotius College 15 maart
Gebiednummer;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69
Postcode;;;;;2611 GW;2611 GW;2611 LH;2611 WG;2611 BV;2611 HR;2611 AL;2627 BM;2614 HE;2614 SH;2613 GK;2614 EP;2613 XC;2613 WP;2611 BC;2613 MH;2628 GJ;2612 CB;2612 GK;2612 SR;2611 PA;2628 AJ;2628 AT;2628 CC;2611 DW;2628 JR;2624 AV;2628 JN;2613 RW;2624 XL;2625 CZ;2624 TH;2624 LJ;2624 LD;2625 XN;2623 MS;;2625 RE;2622 DW;2614 HX;2623 NV;2612 VC;2624 DS;2624 LW;2625 TD;2612 GA;2611 WG;2611 BV;2614 HE;;2612 CB;2611 PA;2628 AT;2625 CZ;2622 DW;2624 AX;2611 WG;2611 BV;2614 HE;;2612 CB;2611 PA;2628 AT;2625 CZ;2622 DW;2624 AX
;;29;Koorneef-Goudeau, F.M.;15;2;2;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
;;30;Rörig-Dolleman, A.;11;1;0;0;0;0;0;0;0;0;1;3;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;31;van Bemmel, A.A.W.;5;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;32;de Jonge, S.;12;0;2;1;0;2;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
;;33;Radelaar, E.M.;9;0;1;0;0;0;1;0;0;0;2;1;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;34;de Graaf, P.A.;8;0;1;0;0;0;0;1;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;35;Turkenburg, M.J.C.;9;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0
;;36;Stals, J.B.A.;10;0;0;0;0;0;0;0;1;0;1;0;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0
;;37;Bot, W.;7;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0
;;38;Zijlstra, J.K.;15;1;2;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0
;;39;Özkaya, N.;67;2;1;0;1;5;0;0;0;0;3;0;0;0;1;0;0;1;1;0;2;0;0;1;3;0;3;2;2;2;4;5;1;0;4;2;4;1;0;1;1;0;1;0;0;0;0;0;0;1;0;0;1;0;2;0;0;2;1;1;2;0;0;2;0;0;1
;;40;Grashoff, H.J.;16;0;1;0;1;0;0;0;1;1;0;1;0;1;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;41;Bolten, S.C.C.M.;16;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;3;0;0;0;1;0;1;0;0;0;0;0;0;0;0
;;42;Maarleveld, P.R.;6;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;43;Brandligt, S.M.;17;2;1;1;0;0;0;0;0;0;0;0;0;0;5;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
;;44;Hofemann, C.;31;0;0;0;0;4;1;3;0;0;2;0;1;1;3;0;0;2;0;0;0;1;2;0;0;0;0;2;0;2;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;1;0
;;45;Töns, T.;8;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
;;46;Bij de Vaate, C.M.;16;1;0;0;0;0;2;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1
;;47;Lips, I.C.;22;2;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;3;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0
;;48;van Vliet, F.W.J.;70;6;4;5;4;2;2;1;3;0;3;1;0;0;0;0;0;0;1;1;1;4;0;1;1;1;0;1;1;1;1;4;1;0;0;0;1;4;1;1;1;0;0;0;0;0;0;1;0;0;1;0;2;0;0;0;1;1;5;0;0;0;1;0;0;0;0
2;Studenten Techniek in Politiek (STIP);;;6760;388;342;60;172;369;257;194;61;63;114;114;49;29;44;473;114;120;57;47;146;99;86;174;822;46;33;70;38;97;60;81;264;64;78;26;93;103;181;64;68;36;0;0;1;1;2;36;88;10;17;6;35;41;22;23;22;58;257;21;37;22;71;93;33;34;34
;;1;de Boer, I.O.;2599;110;93;20;87;129;90;54;29;30;82;56;24;15;22;74;37;51;22;23;52;45;44;64;294;19;8;25;18;41;36;45;89;29;29;9;51;65;81;35;36;22;0;0;0;1;0;16;36;7;9;1;12;20;10;15;11;30;103;9;21;12;31;27;14;17;12
;;2;Enthoven, J.M.;471;37;21;2;9;17;11;8;2;6;5;8;6;1;5;20;7;8;1;5;11;2;6;21;64;1;2;7;1;5;3;5;27;4;12;1;4;8;20;8;3;1;0;0;0;0;0;2;6;0;0;0;3;5;2;1;0;5;15;2;3;0;1;12;5;7;7
;;3;Dag, D.;136;10;5;0;3;9;4;2;0;2;1;1;3;0;0;6;1;2;1;0;1;2;1;6;18;3;0;2;1;2;1;0;11;1;5;0;1;1;5;0;5;0;0;0;1;0;0;2;1;1;0;2;0;0;0;1;1;1;3;0;1;0;1;4;1;0;0
;;4;van den Brink, R.C.;176;13;8;1;4;15;4;0;0;2;0;5;0;0;0;15;2;6;3;0;2;1;2;1;35;0;0;1;0;3;3;0;8;2;1;0;2;1;4;1;1;0;0;0;0;0;0;2;6;0;2;0;1;0;0;1;2;1;4;2;1;2;1;3;0;1;1
;;5;Cüppers, T.D.A.;135;7;4;1;7;3;5;3;0;2;0;1;2;0;1;16;2;1;0;1;1;0;1;6;11;0;0;6;2;4;0;5;12;0;2;0;3;4;0;1;2;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;2;3;0;3;0;0;3;3;0;1
;;6;Wentink, S.J.;385;25;19;2;10;22;26;8;4;2;9;5;0;1;5;10;5;4;3;6;7;4;8;14;48;4;0;9;1;6;5;2;14;4;4;1;11;7;12;2;6;2;0;0;0;0;0;2;4;0;1;0;3;0;0;2;1;3;9;1;2;2;6;8;0;2;2
;;7;Fung Fen Chung, L.M.;517;34;42;5;9;26;22;10;5;3;4;8;4;2;0;97;8;4;2;1;6;4;7;9;57;4;4;3;2;10;3;5;15;3;6;4;2;2;10;5;3;3;0;0;0;0;0;1;8;0;1;2;1;1;2;0;1;7;16;0;2;0;9;9;1;0;3
;;8;Verduijn, B.M.J.;79;4;5;1;0;1;4;1;0;1;0;1;2;1;0;10;1;2;2;0;5;1;1;4;10;0;0;0;0;0;0;0;1;2;2;0;0;0;5;0;1;0;0;0;0;0;0;0;2;0;0;0;1;1;0;0;0;0;2;0;0;0;1;2;0;2;0
;;9;Raijmakers, T.;61;2;4;1;0;7;0;3;0;0;0;0;0;0;0;3;1;0;0;1;1;1;2;2;8;0;0;0;0;2;1;3;3;1;1;0;1;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;3;0;0;0;0;1;0;1;0
;;10;Loonen, W.E.E.;172;10;10;0;5;11;6;1;0;2;1;2;0;0;1;18;6;3;0;1;2;1;4;5;23;1;7;1;4;2;0;4;9;3;0;1;0;2;3;1;2;1;0;0;0;0;1;0;1;0;1;0;0;2;0;0;2;1;5;0;1;1;0;1;2;0;1
;;11;Swart, J.M.;55;4;2;0;2;2;0;0;0;0;0;1;0;0;0;2;0;1;0;0;0;1;0;3;17;0;0;0;0;0;0;1;6;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;3;0;0;0;0;3;0;0;1
;;12;Pelk, E.A.;144;5;7;4;3;8;5;1;1;0;0;3;0;2;0;5;0;1;2;1;3;2;2;4;36;1;0;3;0;2;1;0;8;6;2;1;4;1;8;2;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;0;1;1;0;0;0;2;1;1;0;0
;;13;Gommers, J.;50;2;1;1;2;2;2;2;2;2;0;0;0;0;1;1;1;0;1;0;0;0;0;1;5;1;0;1;0;4;0;1;1;0;1;1;1;0;1;1;1;2;0;0;0;0;0;0;1;0;0;0;1;0;1;1;0;0;2;0;0;0;0;1;1;0;0
;;14;Mastboom, R.M.;58;2;2;0;1;1;0;3;0;1;0;1;0;1;0;7;2;2;0;0;1;3;0;2;16;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1;3;0;0;0;0;1;0;0;2
;;15;van Teeffelen, M.O.A.;70;3;2;0;1;4;3;2;0;0;0;0;0;0;0;19;2;1;1;0;1;0;0;2;11;0;0;2;0;0;0;1;5;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;2;0;0;0;0
;;16;van den Brink, E.M.M.;76;8;4;2;4;7;2;4;0;0;1;3;1;0;1;4;0;2;0;1;2;1;0;1;7;1;0;1;0;0;0;0;1;0;0;1;0;2;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;2;0;2;2;0;1;1;2;2
;;17;Pinna, S.H.;53;4;1;0;3;3;1;1;0;2;2;0;1;0;0;0;0;0;0;0;0;3;1;0;4;1;0;0;0;0;0;0;3;0;0;0;3;0;2;1;3;0;0;0;0;0;0;2;2;0;0;0;3;0;1;0;0;0;2;1;0;0;3;0;0;0;0
;;18;Stehouwer, A.J.;66;7;5;1;2;7;4;4;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;3;9;0;1;0;1;0;0;1;2;0;0;2;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;1;5;1;0;0
;;19;Tilman, J.H.S.;39;2;2;0;0;3;1;3;1;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;9;0;0;0;0;1;1;0;4;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
;;20;Vermeulen, E.S.;39;6;0;0;0;2;3;1;0;0;1;1;0;0;0;7;1;1;1;0;0;1;0;0;4;0;0;0;0;0;1;0;1;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;1;0;0;0;0;0;0
;;21;Verhoeven, A.S.;65;3;5;0;1;5;5;1;0;0;0;0;0;0;0;9;2;2;0;0;2;1;0;1;7;0;1;1;0;4;1;1;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;4;0;0;0;0;1;0;0;0
;;22;Bak, M.C.;69;11;7;0;3;1;2;1;0;0;0;0;0;0;1;5;2;0;2;2;2;3;0;0;16;0;0;0;0;0;0;0;3;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;3;0;0;0;0;0;0;0;0
;;23;van der Linden, N.B.;27;2;2;0;0;1;0;0;0;1;2;1;0;1;0;1;0;0;0;0;0;1;0;0;5;0;0;0;1;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;2;0;0;0
;;24;Meerburg, W.;28;2;2;1;0;1;1;0;1;0;0;0;0;0;0;0;0;2;0;0;0;2;0;1;8;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0
;;25;van den Hurk, S.A.;78;7;6;0;1;2;2;0;0;1;0;0;0;0;0;19;4;1;0;0;4;2;1;0;11;1;1;1;0;2;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;4;1;0;0;1;0;0;0;0
;;26;Vennink, T.;48;2;6;0;0;1;2;1;0;0;0;0;0;0;0;7;6;1;1;0;6;2;0;0;1;0;0;1;0;0;0;0;5;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;27;van der Most, M.O.;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;28;Pannekeet, M.J.C.;44;1;0;1;1;5;0;0;2;2;0;2;0;0;0;4;1;1;0;0;0;0;0;4;2;0;0;4;0;0;0;0;4;0;0;0;2;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;1
;;29;Bulten, M.C.A.;9;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
;;30;Staats, D.P.;16;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;7;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;31;Molkenboer, W.B.;31;2;3;1;0;2;6;0;0;0;0;1;1;0;0;2;1;2;0;0;0;1;0;1;2;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0
;;32;Luijpen, M.W.;20;0;1;0;0;0;0;0;0;0;0;1;0;0;0;4;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;2;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;1;0;0
;;33;Brink, M.L.A.;12;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0
;;34;Klein, M.E.;22;1;3;0;2;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;3;0;0;0;0;2;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;1;0;0;0;0;0;0;0;0
;;35;Pater, M.C.;9;1;1;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;36;Vermaat, M.;17;4;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;37;van Seters, N.S.;369;23;25;6;6;34;35;68;6;0;1;3;0;3;0;29;10;8;5;1;20;4;1;1;16;2;0;0;2;2;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;6;0;0;0;2;0;0;0;0;1;35;0;0;2;6;0;1;0;0
;;38;Oetelmans, P.M.;125;4;9;0;0;4;6;2;1;0;0;1;0;0;0;57;5;3;3;0;2;2;0;1;9;0;4;0;1;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0
;;39;Lansen, D.W.;53;4;6;6;0;4;1;3;0;1;0;2;1;1;0;0;0;0;1;0;1;0;1;1;2;3;2;0;0;2;0;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;1;2;0;0;0;0;0;0;0;0
;;40;de Nooijer, M.M.;24;2;2;0;0;2;0;1;0;0;0;0;0;0;0;3;1;0;0;0;6;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;41;Nawar, S.;26;1;1;0;0;1;0;0;0;1;0;1;0;0;0;4;1;1;0;0;2;0;0;1;5;1;0;0;0;0;0;0;1;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
;;42;de Bie, M.;17;0;0;2;1;0;0;0;0;0;1;0;0;1;4;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;43;Winkel, T.;62;12;8;0;1;7;0;0;0;0;0;0;1;0;2;2;2;0;0;0;1;1;0;2;8;0;1;0;2;0;2;0;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;2;0;0;0;0;0;1;0;0;0;0;1;0;0;0
;;44;Voskuilen, J.G.C.;35;0;3;0;0;1;1;0;1;0;0;1;1;0;0;3;0;1;0;0;0;0;1;5;7;0;0;0;0;0;0;0;4;0;0;0;0;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
;;45;Marks, J.;38;2;2;1;0;3;0;0;1;0;2;3;0;0;0;1;1;1;0;3;0;2;1;0;1;0;1;0;0;0;1;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;4;0;0;0;0
;;46;den Boer, T.J.;13;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;2;0;0;0;0;0;0;0;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
;;47;Veth, H.R.;24;2;2;0;0;1;0;0;1;0;0;0;0;0;0;2;0;1;0;0;0;0;1;2;1;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;2;0;0;0
;;48;Mangroe, R.S.;13;1;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
;;49;van Stiphout, J.A.;27;1;2;0;3;3;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;3;0;0;2;0;0;0;0;0;0;0;3;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0
;;50;Vollebregt, T.C.S.;53;3;5;1;1;6;1;3;3;0;1;1;0;0;0;1;0;2;0;0;2;1;0;1;4;2;0;0;1;0;0;2;0;0;1;0;1;0;1;1;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;0;0
3;D66;;;6206;278;204;54;200;267;195;140;122;82;252;204;53;66;102;118;42;90;45;124;109;154;185;63;303;51;42;49;36;128;37;103;126;79;78;49;119;128;187;136;128;63;0;0;0;5;1;66;99;32;42;14;55;25;46;74;16;103;186;46;78;16;93;37;67;92;22
;;1;Maruf, S.;2030;60;61;25;82;82;50;34;45;28;78;65;17;14;28;25;18;26;16;35;38;36;72;16;83;17;16;27;9;35;16;48;37;31;30;18;47;46;71;50;46;28;0;0;0;3;0;17;31;9;15;2;17;9;32;22;8;31;64;21;24;6;27;11;38;28;9
;;2;van Velzen, M.G.;1394;49;38;11;40;52;39;24;24;24;80;62;17;28;33;18;7;17;8;42;23;38;44;12;46;11;5;8;11;29;6;13;31;26;11;11;20;39;28;41;38;15;0;0;0;1;1;14;19;10;9;4;12;2;6;29;2;28;34;11;29;4;19;6;13;17;5
;;3;Gerritsen, J.;554;38;13;2;14;35;21;20;9;8;16;9;5;3;5;16;2;7;1;6;9;16;15;6;47;7;6;3;4;10;2;13;11;5;5;3;9;7;13;7;6;3;0;0;0;1;0;5;11;3;2;0;4;4;3;5;1;11;26;3;4;1;14;7;0;12;0
;;4;Vuik, M.;594;38;26;10;22;29;24;23;10;4;23;19;2;6;8;8;6;5;4;15;14;20;17;7;24;2;4;3;4;11;4;7;14;9;10;3;11;11;17;5;14;4;0;0;0;0;0;7;8;5;5;2;8;2;1;3;0;7;13;4;2;0;7;2;4;13;4
;;5;Schuurman, H.J.;221;12;12;0;6;9;7;6;5;3;12;8;1;3;8;2;3;5;1;6;2;10;8;2;5;2;0;0;0;5;0;2;2;3;0;1;2;4;9;6;6;1;0;0;0;0;0;2;3;1;5;1;4;1;0;1;2;1;7;1;2;0;2;1;3;3;2
;;6;Dijk, H.L.O.;253;15;9;0;7;7;11;2;6;3;11;10;2;2;5;7;0;5;1;6;6;1;12;1;10;2;2;0;2;14;1;2;5;3;6;0;5;3;13;7;1;3;0;0;0;0;0;2;5;0;1;1;0;1;2;2;0;3;8;1;6;1;2;1;4;5;0
;;7;Analikwu, B.O.;171;11;5;0;2;5;9;3;1;1;1;4;2;0;0;2;2;2;1;1;1;2;2;12;36;0;2;1;1;2;1;2;14;0;2;5;7;3;7;0;1;0;0;0;0;0;0;1;1;1;0;0;1;1;0;0;0;0;6;1;0;0;0;4;2;0;0
;;8;van der Goot, J.J.;28;1;0;0;1;1;0;1;0;1;0;0;0;0;2;2;0;0;0;0;1;1;0;0;1;1;0;0;0;1;0;1;2;0;0;1;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;2;0;0;0;0;1;0
;;9;Oderwald-Ruijsbroek, M.;223;16;8;0;10;4;4;5;3;0;5;12;2;2;2;7;0;7;3;5;3;4;4;3;13;0;0;2;3;4;1;2;9;1;3;0;3;1;6;8;0;3;0;0;0;0;0;3;3;0;1;4;2;2;0;1;2;7;7;1;5;2;6;1;0;7;1
;;10;Back, N.W.;34;2;1;0;1;0;2;1;0;0;1;1;0;0;0;4;0;3;0;1;0;2;1;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;2;0;0;0;1;0;0;1;0;2;1;0;0;0;1;0;0;0;0
;;11;Groeneveld, J.H.;20;1;1;0;1;1;0;1;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;3;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0
